row_type,old_path,new_path,disposition,commit,detail,note
FILE,.gitignore,.gitignore,REWRITE-IN-PLACE,2,,absorb paper1/.gitignore; data/ + results paths re-rooted
FILE,README.md,README.md,REWRITE-IN-PLACE,4,,rewritten to the supervisor README skeleton (10 sections)
FILE,paper1/.gitignore,,DELETE,2,,merged into the root .gitignore
FILE,paper1/CLAIMS.md,docs/claims.md,MOVE,2,,"BEYOND-PLAN: 7th docs file; machine-checked by tests/test_result_consistency.py, must exist"
FILE,paper1/PROTOCOL.md,docs/experiment_protocol.md,MOVE,2,,"THE normative source; configs/ are derived copies, never the reverse"
FILE,paper1/README.md,,DELETE,4,,content redistributed: root README + docs/model_zoo.md + results/README.md
FILE,paper1/REPRODUCE.md,docs/reproducibility.md,MOVE,2,,
FILE,paper1/analysis_tools/MAP_REPRODUCTION_CHANGELOG.md,baselines/importance_map_jscc/CHANGELOG.md,MOVE,2,,
FILE,paper1/analysis_tools/build_bler_sionna.py,projects/ca_tosg/communication/ldpc_qam.py + tools/build_bler_table.py,SPLIT,2,,PLAN split
FILE,paper1/analysis_tools/build_bler_sionna_ofdm.py,projects/ca_tosg/communication/channel.py + tools/build_bler_table.py,SPLIT,2,,PLAN split
FILE,paper1/analysis_tools/build_ldpc_qam_bler_table.py,,DELETE,2,,builds the DEPRECATED 40-block table (quantisation floor); superseded by build_bler_sionna.py
FILE,paper1/analysis_tools/inference_subset.py,baselines/importance_map_jscc/inference_subset.py,MOVE,2,,WCSP2023 ImportanceMapJSCC reproduction
FILE,paper1/analysis_tools/ldpc_qam_physical_sanity_n1000_ebn0.py,tests/test_channel.py,MOVE,2,,PLAN tests/test_channel.py: the physical-layer sanity gate
FILE,paper1/analysis_tools/make_fig1_framework.py,,DELETE,2,,"generated the retired matplotlib fig1; the overview figure is now the hand-drawn figs/ca_tosg_overview.svg (REPRODUCE sec 3 marks fig:overview ""manual"")"
FILE,paper1/analysis_tools/plot_bler_compare.py,projects/ca_tosg/evaluation/figures/plot_bler_compare.py,MOVE,2,,
FILE,paper1/analysis_tools/plot_paper_figures.py,projects/ca_tosg/evaluation/figures/plot_paper_figures.py,MOVE,2,,
FILE,paper1/analysis_tools/run_awgn_baseline_FIX.sh,baselines/importance_map_jscc/scripts/run_awgn_baseline_FIX.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
FILE,paper1/analysis_tools/run_awgn_learned_compare.sh,baselines/importance_map_jscc/scripts/run_awgn_learned_compare.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
FILE,paper1/analysis_tools/run_awgn_stage2_gate.sh,baselines/importance_map_jscc/scripts/run_awgn_stage2_gate.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
FILE,paper1/analysis_tools/run_codec32_reproduction.sh,baselines/importance_map_jscc/scripts/run_codec32_reproduction.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
FILE,paper1/analysis_tools/run_full_reproduction.sh,baselines/importance_map_jscc/scripts/run_full_reproduction.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
FILE,paper1/analysis_tools/run_jscc_eval.py,baselines/importance_map_jscc/run_jscc_eval.py,MOVE,2,,WCSP2023 ImportanceMapJSCC reproduction
FILE,paper1/analysis_tools/run_learned_rayleigh_ofdm.sh,baselines/importance_map_jscc/scripts/run_learned_rayleigh_ofdm.sh,MOVE,2,,legacy JSCC run drivers; kept verbatim as the record of how the checkpoints were produced
