frame,n_cav,f1_full_clean,blocks_conf,blocks_norm,overlap_conf_norm,f1_conf_clean,identity_control_ok,f1_conf_ideal_p0.001_r0,cw_ideal_p0.001_r0,f1_conf_packet_p0.001_r0,cw_packet_p0.001_r0,f1_conf_ideal_p0.001_r1,cw_ideal_p0.001_r1,f1_conf_packet_p0.001_r1,cw_packet_p0.001_r1,f1_conf_ideal_p0.001_r2,cw_ideal_p0.001_r2,f1_conf_packet_p0.001_r2,cw_packet_p0.001_r2,f1_conf_ideal_p0.001_r3,cw_ideal_p0.001_r3,f1_conf_packet_p0.001_r3,cw_packet_p0.001_r3,f1_norm_clean,f1_norm_ideal_p0.001_r0,f1_norm_packet_p0.001_r0,f1_norm_ideal_p0.001_r1,f1_norm_packet_p0.001_r1,f1_norm_ideal_p0.001_r2,f1_norm_packet_p0.001_r2,f1_norm_ideal_p0.001_r3,f1_norm_packet_p0.001_r3,f1_rand0_clean,f1_rand0_ideal_p0.001_r0,f1_rand0_packet_p0.001_r0,f1_rand0_ideal_p0.001_r1,f1_rand0_packet_p0.001_r1,f1_rand0_ideal_p0.001_r2,f1_rand0_packet_p0.001_r2,f1_rand0_ideal_p0.001_r3,f1_rand0_packet_p0.001_r3,f1_rand1_clean,f1_rand1_ideal_p0.001_r0,f1_rand1_packet_p0.001_r0,f1_rand1_ideal_p0.001_r1,f1_rand1_packet_p0.001_r1,f1_rand1_ideal_p0.001_r2,f1_rand1_packet_p0.001_r2,f1_rand1_ideal_p0.001_r3,f1_rand1_packet_p0.001_r3,f1_rand2_clean,f1_rand2_ideal_p0.001_r0,f1_rand2_packet_p0.001_r0,f1_rand2_ideal_p0.001_r1,f1_rand2_packet_p0.001_r1,f1_rand2_ideal_p0.001_r2,f1_rand2_packet_p0.001_r2,f1_rand2_ideal_p0.001_r3,f1_rand2_packet_p0.001_r3,f1_rand3_clean,f1_rand3_ideal_p0.001_r0,f1_rand3_packet_p0.001_r0,f1_rand3_ideal_p0.001_r1,f1_rand3_packet_p0.001_r1,f1_rand3_ideal_p0.001_r2,f1_rand3_packet_p0.001_r2,f1_rand3_ideal_p0.001_r3,f1_rand3_packet_p0.001_r3,f1_rand4_clean,f1_rand4_ideal_p0.001_r0,f1_rand4_packet_p0.001_r0,f1_rand4_ideal_p0.001_r1,f1_rand4_packet_p0.001_r1,f1_rand4_ideal_p0.001_r2,f1_rand4_packet_p0.001_r2,f1_rand4_ideal_p0.001_r3,f1_rand4_packet_p0.001_r3,f1_rand5_clean,f1_rand5_ideal_p0.001_r0,f1_rand5_packet_p0.001_r0,f1_rand5_ideal_p0.001_r1,f1_rand5_packet_p0.001_r1,f1_rand5_ideal_p0.001_r2,f1_rand5_packet_p0.001_r2,f1_rand5_ideal_p0.001_r3,f1_rand5_packet_p0.001_r3,f1_rand6_clean,f1_rand6_ideal_p0.001_r0,f1_rand6_packet_p0.001_r0,f1_rand6_ideal_p0.001_r1,f1_rand6_packet_p0.001_r1,f1_rand6_ideal_p0.001_r2,f1_rand6_packet_p0.001_r2,f1_rand6_ideal_p0.001_r3,f1_rand6_packet_p0.001_r3,f1_rand7_clean,f1_rand7_ideal_p0.001_r0,f1_rand7_packet_p0.001_r0,f1_rand7_ideal_p0.001_r1,f1_rand7_packet_p0.001_r1,f1_rand7_ideal_p0.001_r2,f1_rand7_packet_p0.001_r2,f1_rand7_ideal_p0.001_r3,f1_rand7_packet_p0.001_r3
0,2,0.9565217391304348,0 6 7 8 10 16 17 18 19 28 29 30 39 40 41 43 44 49 50 51 52 53 54,6 7 10 16 17 18 21 29 32 40 41 43 44 45 46 47 48 49 50 51 52 53 54,17,0.9565217391304348,1,0.9565217391304348,5,0.9565217391304348,5,0.9565217391304348,9,0.9565217391304348,9,0.9565217391304348,10,0.9565217391304348,42,0.9565217391304348,4,0.9565217391304348,20,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
33,2,0.9411764705882353,7 8 9 17 18 19 27 28 29 30 31 37 38 39 40 41 42 47 48 49 50 52 53,4 6 10 16 21 27 28 32 37 38 39 43 44 45 46 47 48 49 50 51 52 53 54,11,0.9142857142857143,1,0.9142857142857143,3,0.9142857142857143,19,0.9142857142857143,7,0.9142857142857143,7,0.9142857142857143,3,0.9142857142857143,35,0.9142857142857143,6,0.9142857142857143,22,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706
66,2,0.9433962264150945,13 15 22 24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 40 41 44 50 52,2 15 16 17 18 24 25 26 27 36 37 38 39 44 45 46 47 48 49 51 52 53 54,11,0.962962962962963,1,0.962962962962963,6,0.962962962962963,6,0.962962962962963,6,0.962962962962963,6,0.962962962962963,2,0.962962962962963,2,0.962962962962963,4,0.962962962962963,4,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9019607843137255,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945,0.9433962264150945
99,2,0.8936170212765957,12 18 24 25 26 27 28 29 30 31 33 34 35 36 37 38 39 45 46 47 48 49 50,14 15 16 17 25 26 27 28 35 37 38 39 44 45 46 47 48 49 50 51 52 53 54,14,0.9166666666666666,1,0.9166666666666666,4,0.9166666666666666,4,0.9166666666666666,10,0.9166666666666666,26,0.9166666666666666,3,0.9166666666666666,19,0.9166666666666666,5,0.9166666666666666,21,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.7755102040816326,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.8260869565217392,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7659574468085107,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7500000000000001,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999
132,2,0.9600000000000001,0 3 4 5 6 7 10 16 17 18 21 27 28 29 32 38 43 44 45 48 49 51 54,4 5 6 10 14 16 17 21 27 28 32 43 44 45 46 47 48 49 50 51 52 53 54,17,0.9600000000000001,1,0.9600000000000001,6,0.9600000000000001,6,0.9600000000000001,5,0.9600000000000001,5,0.9600000000000001,6,0.9600000000000001,6,0.9600000000000001,7,0.9600000000000001,7,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9600000000000001,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.9387755102040816,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.8979591836734695,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999
165,2,1.0,0 3 4 5 6 10 14 15 16 17 18 21 26 27 28 29 32 38 39 43 44 48 54,5 6 10 14 15 16 17 26 27 28 29 43 44 45 46 47 48 49 50 51 52 53 54,15,1.0,1,1.0,2,1.0,2,1.0,4,1.0,20,1.0,6,1.0,6,1.0,7,1.0,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777
198,2,0.8717948717948718,0 3 4 5 6 10 14 15 16 17 18 21 26 27 28 29 32 39 41 43 44 48 54,5 10 13 14 15 16 17 26 27 28 29 43 44 45 46 47 48 49 50 51 52 53 54,14,0.9268292682926829,1,0.9268292682926829,9,0.9268292682926829,24,0.9268292682926829,4,0.9268292682926829,4,0.9268292682926829,4,0.9268292682926829,4,0.9268292682926829,8,0.9268292682926829,8,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9268292682926829,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
231,2,0.9090909090909091,0 1 2 3 4 5 10 12 13 14 15 16 18 19 24 25 26 27 28 29 30 44 54,12 15 16 17 23 24 25 26 27 28 29 30 44 45 46 47 48 49 50 51 52 53 54,12,0.9090909090909091,1,0.9090909090909091,5,0.9090909090909091,5,0.9090909090909091,4,0.9090909090909091,4,0.9090909090909091,7,0.9090909090909091,39,0.9090909090909091,7,0.9090909090909091,7,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548,0.8387096774193548
264,2,0.8181818181818181,0 1 2 3 4 10 12 13 14 15 16 18 19 20 24 25 27 29 30 31 40 44 54,12 15 16 17 19 23 24 25 26 27 28 29 44 45 46 47 48 49 50 51 52 53 54,10,0.8181818181818181,1,0.8181818181818181,0,0.8181818181818181,0,0.8181818181818181,2,0.8181818181818181,2,0.8181818181818181,4,0.8181818181818181,4,0.8181818181818181,4,0.8181818181818181,20,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8695652173913044,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.8181818181818181,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762,0.761904761904762
297,2,0.9230769230769231,5 6 10 11 12 13 15 16 17 18 22 23 24 25 26 27 28 33 34 39 50 51 52,2 3 4 7 10 15 16 17 26 27 28 40 44 45 46 47 48 49 50 51 52 53 54,10,0.888888888888889,1,0.888888888888889,2,0.888888888888889,2,0.888888888888889,6,0.888888888888889,38,0.888888888888889,2,0.888888888888889,2,0.888888888888889,3,0.888888888888889,3,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8148148148148148,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
