split,subset,group,n,C_activation_rate,C16_rate,gain_good_channel,n_good
validate,Long-range (far points),subset (top 1/3),663,0.115,0.115,0.0252,97
validate,Long-range (far points),complement,1317,0.145,0.145,0.0213,204
validate,Sparse LiDAR (few points),subset (top 1/3),663,0.157,0.157,0.0205,93
validate,Sparse LiDAR (few points),complement,1317,0.124,0.124,0.0235,208
validate,Occlusion* (late FP high),subset (top 1/3),954,0.169,0.169,0.0308,163
validate,Occlusion* (late FP high),complement,1026,0.103,0.103,0.0128,138
test,Long-range (far points),subset (top 1/3),724,0.117,0.117,0.0053,104
test,Long-range (far points),complement,1446,0.124,0.124,0.0148,219
test,Sparse LiDAR (few points),subset (top 1/3),724,0.137,0.137,0.0329,111
test,Sparse LiDAR (few points),complement,1446,0.114,0.114,0.0006,212
test,Occlusion* (late FP high),subset (top 1/3),903,0.124,0.124,0.0325,127
test,Occlusion* (late FP high),complement,1267,0.12,0.12,-0.0018,196
