split,lam,frac_C256,frac_C16,frac_L,payload,f1
validate,0.0,0.0,0.13973,0.86027,0.0898,0.9158
validate,0.001,0.01684,0.11953,0.86364,0.0841,0.9158
validate,0.00124,0.01684,0.11953,0.86364,0.0841,0.9158
validate,0.00155,0.01684,0.11953,0.86364,0.0841,0.9158
validate,0.00193,0.01684,0.11785,0.86532,0.0833,0.9158
validate,0.0024,0.01684,0.11785,0.86532,0.0833,0.9158
validate,0.00298,0.01852,0.11616,0.86532,0.0829,0.9158
validate,0.00371,0.01852,0.11448,0.867,0.0821,0.9158
validate,0.00461,0.01852,0.11448,0.867,0.0821,0.9158
validate,0.00574,0.01684,0.11448,0.86869,0.0817,0.9158
validate,0.00714,0.01684,0.11448,0.86869,0.0817,0.9158
validate,0.00888,0.01684,0.11448,0.86869,0.0817,0.9158
validate,0.01105,0.01515,0.11448,0.87037,0.0813,0.9158
validate,0.01374,0.01515,0.11448,0.87037,0.0813,0.9158
validate,0.0171,0.01515,0.11448,0.87037,0.0813,0.9158
validate,0.02127,0.01515,0.11448,0.87037,0.0813,0.9158
validate,0.02647,0.01515,0.10774,0.8771,0.0781,0.9157
validate,0.03293,0.01515,0.10269,0.88215,0.0758,0.9156
validate,0.04096,0.01515,0.09091,0.89394,0.0702,0.9154
validate,0.05096,0.01515,0.08249,0.90236,0.0662,0.9152
validate,0.0634,0.01515,0.06397,0.92088,0.0575,0.9147
validate,0.07887,0.01515,0.05556,0.92929,0.0536,0.9145
validate,0.09812,0.01684,0.0404,0.94276,0.0468,0.9138
validate,0.12207,0.0101,0.03199,0.95791,0.0413,0.9133
validate,0.15186,0.0101,0.02525,0.96465,0.0382,0.9128
validate,0.18892,0.00842,0.0101,0.98148,0.0306,0.9116
validate,0.23504,0.00505,0.00673,0.98822,0.0283,0.9111
validate,0.2924,0.00337,0.00168,0.99495,0.0255,0.9104
validate,0.36377,0.00168,0.0,0.99832,0.0244,0.91
validate,0.45255,0.0,0.0,1.0,0.024,0.9098
validate,0.56301,0.0,0.0,1.0,0.024,0.9098
validate,0.70042,0.0,0.0,1.0,0.024,0.9098
validate,0.87138,0.0,0.0,1.0,0.024,0.9098
validate,1.08406,0.0,0.0,1.0,0.024,0.9098
validate,1.34865,0.0,0.0,1.0,0.024,0.9098
validate,1.67781,0.0,0.0,1.0,0.024,0.9098
validate,2.08732,0.0,0.0,1.0,0.024,0.9098
validate,2.59677,0.0,0.0,1.0,0.024,0.9098
validate,3.23057,0.0,0.0,1.0,0.024,0.9098
validate,4.01906,0.0,0.0,1.0,0.024,0.9098
validate,5.0,0.0,0.0,1.0,0.024,0.9098
test,0.0,0.0,0.15346,0.84654,0.0963,0.9137
test,0.001,0.02627,0.12719,0.84654,0.0898,0.9137
test,0.00124,0.02627,0.12719,0.84654,0.0898,0.9137
test,0.00155,0.02627,0.12719,0.84654,0.0898,0.9137
test,0.00193,0.02627,0.12673,0.847,0.0896,0.9137
test,0.0024,0.02627,0.12673,0.847,0.0896,0.9137
test,0.00298,0.02627,0.12673,0.847,0.0896,0.9137
test,0.00371,0.02627,0.12673,0.847,0.0896,0.9137
test,0.00461,0.02627,0.12673,0.847,0.0896,0.9137
test,0.00574,0.02627,0.12627,0.84747,0.0893,0.9137
test,0.00714,0.02627,0.12581,0.84793,0.0891,0.9137
test,0.00888,0.02673,0.12488,0.84839,0.0888,0.9137
test,0.01105,0.02673,0.12396,0.84931,0.0884,0.9137
test,0.01374,0.02673,0.12304,0.85023,0.0879,0.9137
test,0.0171,0.02719,0.12166,0.85115,0.0874,0.9137
test,0.02127,0.02811,0.12074,0.85115,0.0872,0.9137
test,0.02647,0.02857,0.11935,0.85207,0.0866,0.9137
test,0.03293,0.02949,0.11613,0.85438,0.0853,0.9137
test,0.04096,0.02995,0.11152,0.85853,0.0832,0.9136
test,0.05096,0.03088,0.10092,0.8682,0.0784,0.9134
test,0.0634,0.03134,0.09309,0.87558,0.0748,0.9131
test,0.07887,0.03041,0.08203,0.88756,0.0694,0.9128
test,0.09812,0.02949,0.07281,0.8977,0.0649,0.9124
test,0.12207,0.02949,0.06083,0.90968,0.0592,0.9117
test,0.15186,0.02719,0.04747,0.92535,0.0524,0.9108
test,0.18892,0.02581,0.03594,0.93825,0.0467,0.9098
test,0.23504,0.02488,0.02719,0.94793,0.0424,0.9089
test,0.2924,0.0212,0.01843,0.96037,0.0374,0.9076
test,0.36377,0.01797,0.01106,0.97097,0.0332,0.9063
test,0.45255,0.01244,0.00415,0.98341,0.0287,0.9044
test,0.56301,0.00737,0.00184,0.99078,0.0265,0.9033
test,0.70042,0.00461,0.00092,0.99447,0.0255,0.9026
test,0.87138,0.00092,0.00046,0.99862,0.0244,0.9018
test,1.08406,0.00092,0.00046,0.99862,0.0244,0.9018
test,1.34865,0.0,0.00046,0.99954,0.0242,0.9016
test,1.67781,0.0,0.00046,0.99954,0.0242,0.9016
test,2.08732,0.0,0.00046,0.99954,0.0242,0.9016
test,2.59677,0.0,0.0,1.0,0.024,0.9011
test,3.23057,0.0,0.0,1.0,0.024,0.9011
test,4.01906,0.0,0.0,1.0,0.024,0.9011
test,5.0,0.0,0.0,1.0,0.024,0.9011
culver,0.0,0.0,0.26,0.74,0.1465,0.8905
culver,0.001,0.03636,0.22364,0.74,0.1375,0.8905
culver,0.00124,0.03636,0.22364,0.74,0.1375,0.8905
culver,0.00155,0.03636,0.22364,0.74,0.1375,0.8905
culver,0.00193,0.03636,0.22364,0.74,0.1375,0.8905
culver,0.0024,0.03636,0.22364,0.74,0.1375,0.8905
culver,0.00298,0.03636,0.22182,0.74182,0.1366,0.8905
culver,0.00371,0.03636,0.22182,0.74182,0.1366,0.8905
culver,0.00461,0.03636,0.21818,0.74545,0.1349,0.8905
culver,0.00574,0.03818,0.21455,0.74727,0.1336,0.8905
culver,0.00714,0.03818,0.21455,0.74727,0.1336,0.8905
culver,0.00888,0.04,0.21091,0.74909,0.1323,0.8905
culver,0.01105,0.04,0.21091,0.74909,0.1323,0.8905
culver,0.01374,0.04,0.21091,0.74909,0.1323,0.8905
culver,0.0171,0.04,0.20909,0.75091,0.1314,0.8905
culver,0.02127,0.04,0.20364,0.75636,0.1289,0.8904
culver,0.02647,0.04,0.19455,0.76545,0.1246,0.8903
culver,0.03293,0.04,0.18727,0.77273,0.1211,0.8902
culver,0.04096,0.04182,0.17455,0.78364,0.1156,0.89
culver,0.05096,0.04364,0.16545,0.79091,0.1117,0.8898
culver,0.0634,0.04364,0.15273,0.80364,0.1057,0.8895
culver,0.07887,0.04545,0.14545,0.80909,0.1027,0.8893
culver,0.09812,0.04182,0.12909,0.82909,0.0941,0.8885
culver,0.12207,0.03818,0.11091,0.85091,0.0848,0.8875
culver,0.15186,0.03636,0.07455,0.88909,0.0672,0.8851
culver,0.18892,0.03273,0.05818,0.90909,0.0587,0.8836
culver,0.23504,0.02364,0.04364,0.93273,0.0498,0.8817
