channel,codec,snr_db,ap50,ap50_std,bler_frame
awgn,LDPC-16,0,0.6116,0.0,1.0
awgn,LDPC-16,4,0.6116,0.0,1.0
awgn,LDPC-16,8,0.7918,0.0041,0.4024
awgn,LDPC-16,12,0.9169,0.0,0.0
awgn,LDPC-16,16,0.9169,0.0,0.0
awgn,LDPC-16,20,0.9169,0.0,0.0
awgn,LDPC-256,0,0.6116,0.0,1.0
awgn,LDPC-256,4,0.6116,0.0,1.0
awgn,LDPC-256,8,0.6116,0.0,1.0
awgn,LDPC-256,12,0.6116,0.0,1.0
awgn,LDPC-256,16,0.6116,0.0,1.0
awgn,LDPC-256,20,0.9169,0.0,0.0
awgn,JSCC,0,0.6953,0.0,
awgn,JSCC,4,0.7006,0.0,
awgn,JSCC,8,0.7045,0.0,
awgn,JSCC,12,0.7096,0.0,
awgn,JSCC,16,0.7112,0.0,
awgn,JSCC,20,0.7117,0.0,
rayleigh,LDPC-16,0,0.6116,0.0,1.0
rayleigh,LDPC-16,4,0.6116,0.0,1.0
rayleigh,LDPC-16,8,0.6116,0.0,1.0
rayleigh,LDPC-16,12,0.6116,0.0,1.0
rayleigh,LDPC-16,16,0.6116,0.0,1.0
rayleigh,LDPC-16,20,0.6116,0.0,1.0
rayleigh,LDPC-256,0,0.6116,0.0,1.0
rayleigh,LDPC-256,4,0.6116,0.0,1.0
rayleigh,LDPC-256,8,0.6116,0.0,1.0
rayleigh,LDPC-256,12,0.6116,0.0,1.0
rayleigh,LDPC-256,16,0.6116,0.0,1.0
rayleigh,LDPC-256,20,0.6116,0.0,1.0
rayleigh,JSCC,0,0.6906,0.0,
rayleigh,JSCC,4,0.7004,0.0,
rayleigh,JSCC,8,0.7102,0.0,
rayleigh,JSCC,12,0.7193,0.0,
rayleigh,JSCC,16,0.7264,0.0,
rayleigh,JSCC,20,0.7308,0.0,
ofdm,LDPC-16,0,0.6116,0.0,1.0
ofdm,LDPC-16,4,0.6116,0.0,1.0
ofdm,LDPC-16,8,0.6116,0.0,1.0
ofdm,LDPC-16,12,0.6116,0.0,1.0
ofdm,LDPC-16,16,0.6116,0.0,1.0
ofdm,LDPC-16,20,0.6116,0.0,1.0
ofdm,LDPC-256,0,0.6116,0.0,1.0
ofdm,LDPC-256,4,0.6116,0.0,1.0
ofdm,LDPC-256,8,0.6116,0.0,1.0
ofdm,LDPC-256,12,0.6116,0.0,1.0
ofdm,LDPC-256,16,0.6116,0.0,1.0
ofdm,LDPC-256,20,0.6116,0.0,1.0
ofdm,JSCC,0,0.6614,0.0,
ofdm,JSCC,4,0.7022,0.0,
ofdm,JSCC,8,0.7225,0.0,
ofdm,JSCC,12,0.7302,0.0,
ofdm,JSCC,16,0.7328,0.0,
ofdm,JSCC,20,0.7322,0.0,
