channel,regime,eval_split,train_split,n,rf_f1,frozen_tau,threshold_f1,edge_rf_minus_threshold,edge_ci_lo,edge_ci_hi,edge_significant,rf_payload,interp_bias
awgn,ldpc,validate,validate,1980,0.9165,9.5,0.9132,0.00329,0.00277,0.00382,True,0.3103,0.0
awgn,ldpc,test,validate,2170,0.9155,9.5,0.9175,-0.00204,-0.00278,-0.00127,True,0.3751,0.0
awgn,ldpc,culver,validate,550,0.8791,9.5,0.9013,-0.02225,-0.02497,-0.01958,True,0.1355,0.0
awgn,jscc,validate,validate,1980,0.9111,20.0,0.9067,0.00442,0.00334,0.00557,True,0.1626,0.0012
awgn,jscc,test,validate,2170,0.897,20.0,0.9011,-0.00417,-0.00717,-0.00137,True,0.4256,0.0012
awgn,jscc,culver,validate,550,0.8731,20.0,0.8722,0.00098,-0.00152,0.00333,False,0.365,0.0012
rayleigh,ldpc,validate,validate,1980,0.9071,0.0,0.9067,0.00038,0.00018,0.00061,True,0.0342,0.0
rayleigh,ldpc,test,validate,2170,0.9011,0.0,0.9011,0.0,0.0,0.0,False,0.024,0.0
rayleigh,ldpc,culver,validate,550,0.8722,0.0,0.8722,0.0,0.0,0.0,False,0.024,0.0
rayleigh,jscc,validate,validate,1980,0.9108,0.0,0.9067,0.00404,0.00298,0.00516,True,0.1536,0.0012
rayleigh,jscc,test,validate,2170,0.893,0.0,0.9011,-0.00816,-0.01059,-0.00581,True,0.3424,0.0012
rayleigh,jscc,culver,validate,550,0.8698,0.0,0.8722,-0.00232,-0.00395,-0.00075,True,0.2228,0.0012
ofdm,ldpc,validate,validate,1980,0.9071,0.0,0.9067,0.00038,0.00018,0.00061,True,0.0342,0.0
ofdm,ldpc,test,validate,2170,0.9011,0.0,0.9011,0.0,0.0,0.0,False,0.024,0.0
ofdm,ldpc,culver,validate,550,0.8722,0.0,0.8722,0.0,0.0,0.0,False,0.024,0.0
ofdm,jscc,validate,validate,1980,0.9104,0.0,0.9067,0.00365,0.00259,0.00474,True,0.1604,0.0012
ofdm,jscc,test,validate,2170,0.8959,0.0,0.9011,-0.00525,-0.00782,-0.00285,True,0.3832,0.0012
ofdm,jscc,culver,validate,550,0.8721,0.0,0.8722,-2e-05,-0.00247,0.00242,False,0.3289,0.0012
