channel,regime,split,n,all_L,oracle,oracle_headroom,kfold_rf_f1,kfold_threshold_f1,kfold_edge,edge_ci_lo,edge_ci_hi,edge_significant,kfold_rf_payload
awgn,ldpc,validate,1980,0.9067,0.9192,0.0125,0.915,0.9132,0.00178,0.00125,0.00231,True,0.3051
awgn,ldpc,test,2170,0.9011,0.928,0.0269,0.9196,0.9179,0.00169,0.00084,0.00255,True,0.3795
awgn,ldpc,culver,550,0.8722,0.9058,0.0336,0.904,0.9027,0.00136,0.00076,0.00197,True,0.5091
awgn,jscc,validate,1980,0.9067,0.9132,0.0064,0.9097,0.9067,0.00293,0.00183,0.00409,True,0.1506
awgn,jscc,test,2170,0.9011,0.9324,0.0313,0.9235,0.9011,0.02237,0.02003,0.02481,True,0.3952
awgn,jscc,culver,550,0.8722,0.8888,0.0166,0.8843,0.8722,0.01217,0.00955,0.01479,True,0.4339
rayleigh,ldpc,validate,1980,0.9067,0.9071,0.0004,0.9069,0.9067,0.00014,-8e-05,0.00039,False,0.0374
rayleigh,ldpc,test,2170,0.9011,0.9047,0.0035,0.9011,0.9011,-2e-05,-0.00077,0.00072,False,0.0969
rayleigh,ldpc,culver,550,0.8722,0.8722,0.0,0.8722,0.8722,0.0,0.0,0.0,False,0.024
rayleigh,jscc,validate,1980,0.9067,0.9129,0.0062,0.9097,0.9067,0.00297,0.00193,0.00407,True,0.1412
rayleigh,jscc,test,2170,0.9011,0.9285,0.0274,0.9189,0.9011,0.01774,0.01552,0.02004,True,0.3458
rayleigh,jscc,culver,550,0.8722,0.8871,0.0149,0.883,0.8722,0.01089,0.0084,0.01338,True,0.4325
ofdm,ldpc,validate,1980,0.9067,0.9071,0.0004,0.9069,0.9067,0.00013,-9e-05,0.00038,False,0.0375
ofdm,ldpc,test,2170,0.9011,0.9047,0.0035,0.901,0.9011,-0.00012,-0.00089,0.00063,False,0.0988
ofdm,ldpc,culver,550,0.8722,0.8722,0.0,0.8722,0.8722,0.0,0.0,0.0,False,0.024
ofdm,jscc,validate,1980,0.9067,0.9127,0.006,0.9089,0.9067,0.00222,0.00112,0.00333,True,0.1545
ofdm,jscc,test,2170,0.9011,0.9314,0.0302,0.9212,0.9011,0.02006,0.01773,0.0224,True,0.3862
ofdm,jscc,culver,550,0.8722,0.8925,0.0203,0.8874,0.8722,0.01528,0.01222,0.01842,True,0.4742
