rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload,attempted,frozen_validate_f1,frozen_validate_payload,budget_passed
0,8,400,10.0,2,sqrt,balanced,0.02,0.908069,0.909128,0.089708,True,0.9121,0.161907,False
1,36,400,10.0,4,sqrt,balanced,0.02,0.907949,0.909227,0.088333,True,0.9121,0.161969,False
2,91,400,,4,sqrt,balanced,0.0,0.90763,0.907787,0.059216,True,0.9133,0.157489,False
3,78,400,,2,0.5,balanced,0.02,0.907499,0.907392,0.050368,True,0.9129,0.119588,False
4,63,400,,2,sqrt,balanced,0.0,0.907265,0.907546,0.061633,True,0.9133,0.157539,False
5,77,400,,2,0.5,balanced,0.0,0.907195,0.907618,0.08879,True,0.9133,0.157583,False
6,58,400,,2,sqrt,,0.05,0.907039,0.906987,0.055978,True,0.9111,0.067887,True
7,92,400,,4,sqrt,balanced,0.02,0.906934,0.907137,0.041941,False,,,
8,2,400,10.0,2,sqrt,,0.05,0.906925,0.9068,0.02808,False,,,
9,86,400,,4,sqrt,,0.05,0.906809,0.906616,0.027659,False,,,
10,37,400,10.0,4,sqrt,balanced,0.05,0.906801,0.907158,0.037261,False,,,
11,9,400,10.0,2,sqrt,balanced,0.05,0.906734,0.907064,0.037128,False,,,
12,11,400,10.0,2,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
13,25,400,10.0,2,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
14,30,400,10.0,4,sqrt,,0.05,0.906725,0.906433,0.024,False,,,
15,39,400,10.0,4,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
16,53,400,10.0,4,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
17,65,400,,2,sqrt,balanced,0.05,0.906725,0.906433,0.024,False,,,
18,66,400,,2,sqrt,balanced,0.1,0.906725,0.906433,0.024,False,,,
19,67,400,,2,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
20,68,400,,2,sqrt,balanced,0.35,0.906725,0.906433,0.024,False,,,
21,69,400,,2,sqrt,balanced,0.5,0.906725,0.906433,0.024,False,,,
22,80,400,,2,0.5,balanced,0.1,0.906725,0.906433,0.024,False,,,
23,81,400,,2,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
24,82,400,,2,0.5,balanced,0.35,0.906725,0.906433,0.024,False,,,
25,83,400,,2,0.5,balanced,0.5,0.906725,0.906433,0.024,False,,,
26,93,400,,4,sqrt,balanced,0.05,0.906725,0.906433,0.024,False,,,
27,94,400,,4,sqrt,balanced,0.1,0.906725,0.906433,0.024,False,,,
28,95,400,,4,sqrt,balanced,0.2,0.906725,0.906433,0.024,False,,,
29,96,400,,4,sqrt,balanced,0.35,0.906725,0.906433,0.024,False,,,
30,97,400,,4,sqrt,balanced,0.5,0.906725,0.906433,0.024,False,,,
31,108,400,,4,0.5,balanced,0.1,0.906725,0.906433,0.024,False,,,
32,109,400,,4,0.5,balanced,0.2,0.906725,0.906433,0.024,False,,,
33,110,400,,4,0.5,balanced,0.35,0.906725,0.906433,0.024,False,,,
34,111,400,,4,0.5,balanced,0.5,0.906725,0.906433,0.024,False,,,
35,3,400,10.0,2,sqrt,,0.1,0.906637,0.906337,0.023977,False,,,
36,64,400,,2,sqrt,balanced,0.02,0.906628,0.906734,0.032981,False,,,
