rank,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,frame_weighted_f1,scene_mean_f1,frame_weighted_payload
0,56,400,,2,sqrt,,0.0,0.90938,0.910072,0.245147
1,7,400,10.0,2,sqrt,balanced,0.0,0.909279,0.91052,0.1312
2,35,400,10.0,4,sqrt,balanced,0.0,0.90925,0.910429,0.131489
3,84,400,,4,sqrt,,0.0,0.90922,0.909241,0.226453
4,57,400,,2,sqrt,,0.02,0.908969,0.908951,0.215887
5,85,400,,4,sqrt,,0.02,0.908787,0.908595,0.211477
6,0,400,10.0,2,sqrt,,0.0,0.908715,0.908254,0.209106
7,1,400,10.0,2,sqrt,,0.02,0.908693,0.908203,0.197463
8,28,400,10.0,4,sqrt,,0.0,0.908598,0.908201,0.170452
9,29,400,10.0,4,sqrt,,0.02,0.908453,0.908068,0.156082
10,8,400,10.0,2,sqrt,balanced,0.02,0.908069,0.909128,0.089708
11,22,400,10.0,2,0.5,balanced,0.02,0.908054,0.910355,0.105204
12,36,400,10.0,4,sqrt,balanced,0.02,0.907949,0.909227,0.088333
13,91,400,,4,sqrt,balanced,0.0,0.90763,0.907787,0.059216
14,78,400,,2,0.5,balanced,0.02,0.907499,0.907392,0.050368
15,63,400,,2,sqrt,balanced,0.0,0.907265,0.907546,0.061633
16,77,400,,2,0.5,balanced,0.0,0.907195,0.907618,0.08879
17,58,400,,2,sqrt,,0.05,0.907039,0.906987,0.055978
18,92,400,,4,sqrt,balanced,0.02,0.906934,0.907137,0.041941
19,2,400,10.0,2,sqrt,,0.05,0.906925,0.9068,0.02808
20,86,400,,4,sqrt,,0.05,0.906809,0.906616,0.027659
21,37,400,10.0,4,sqrt,balanced,0.05,0.906801,0.907158,0.037261
22,9,400,10.0,2,sqrt,balanced,0.05,0.906734,0.907064,0.037128
23,11,400,10.0,2,sqrt,balanced,0.2,0.906725,0.906433,0.024
24,25,400,10.0,2,0.5,balanced,0.2,0.906725,0.906433,0.024
25,30,400,10.0,4,sqrt,,0.05,0.906725,0.906433,0.024
26,39,400,10.0,4,sqrt,balanced,0.2,0.906725,0.906433,0.024
27,53,400,10.0,4,0.5,balanced,0.2,0.906725,0.906433,0.024
28,65,400,,2,sqrt,balanced,0.05,0.906725,0.906433,0.024
29,66,400,,2,sqrt,balanced,0.1,0.906725,0.906433,0.024
30,67,400,,2,sqrt,balanced,0.2,0.906725,0.906433,0.024
31,68,400,,2,sqrt,balanced,0.35,0.906725,0.906433,0.024
32,69,400,,2,sqrt,balanced,0.5,0.906725,0.906433,0.024
33,80,400,,2,0.5,balanced,0.1,0.906725,0.906433,0.024
34,81,400,,2,0.5,balanced,0.2,0.906725,0.906433,0.024
35,82,400,,2,0.5,balanced,0.35,0.906725,0.906433,0.024
36,83,400,,2,0.5,balanced,0.5,0.906725,0.906433,0.024
37,93,400,,4,sqrt,balanced,0.05,0.906725,0.906433,0.024
38,94,400,,4,sqrt,balanced,0.1,0.906725,0.906433,0.024
39,95,400,,4,sqrt,balanced,0.2,0.906725,0.906433,0.024
40,96,400,,4,sqrt,balanced,0.35,0.906725,0.906433,0.024
41,97,400,,4,sqrt,balanced,0.5,0.906725,0.906433,0.024
42,108,400,,4,0.5,balanced,0.1,0.906725,0.906433,0.024
43,109,400,,4,0.5,balanced,0.2,0.906725,0.906433,0.024
44,110,400,,4,0.5,balanced,0.35,0.906725,0.906433,0.024
45,111,400,,4,0.5,balanced,0.5,0.906725,0.906433,0.024
46,3,400,10.0,2,sqrt,,0.1,0.906637,0.906337,0.023977
47,64,400,,2,sqrt,balanced,0.02,0.906628,0.906734,0.032981
48,12,400,10.0,2,sqrt,balanced,0.35,0.906604,0.905875,0.023988
49,40,400,10.0,4,sqrt,balanced,0.35,0.906604,0.905875,0.023988
50,38,400,10.0,4,sqrt,balanced,0.1,0.906588,0.90643,0.029078
51,13,400,10.0,2,sqrt,balanced,0.5,0.90658,0.905836,0.023976
52,26,400,10.0,2,0.5,balanced,0.35,0.90658,0.905836,0.023976
53,41,400,10.0,4,sqrt,balanced,0.5,0.90658,0.905836,0.023976
54,54,400,10.0,4,0.5,balanced,0.35,0.90658,0.905836,0.023976
55,24,400,10.0,2,0.5,balanced,0.1,0.906565,0.906506,0.041963
56,52,400,10.0,4,0.5,balanced,0.1,0.906564,0.906505,0.041941
57,10,400,10.0,2,sqrt,balanced,0.1,0.906511,0.906351,0.030121
58,27,400,10.0,2,0.5,balanced,0.5,0.906439,0.905607,0.023903
59,55,400,10.0,4,0.5,balanced,0.5,0.906439,0.905607,0.023903
60,87,400,,4,sqrt,,0.1,0.906126,0.90578,0.023851
61,4,400,10.0,2,sqrt,,0.2,0.906084,0.905734,0.023818
62,31,400,10.0,4,sqrt,,0.1,0.90596,0.905599,0.023796
63,106,400,,4,0.5,balanced,0.02,0.905834,0.906955,0.052398
64,105,400,,4,0.5,balanced,0.0,0.90499,0.907283,0.093363
65,49,400,10.0,4,0.5,balanced,0.0,0.90477,0.909309,0.139158
66,79,400,,2,0.5,balanced,0.05,0.903316,0.905421,0.023721
67,21,400,10.0,2,0.5,balanced,0.0,0.90171,0.908398,0.13663
68,59,400,,2,sqrt,,0.1,0.901375,0.900606,0.022697
69,60,400,,2,sqrt,,0.2,0.901293,0.900517,0.022679
70,43,400,10.0,4,0.5,,0.02,0.901045,0.90072,0.161826
71,98,400,,4,0.5,,0.0,0.900975,0.902483,0.159813
72,99,400,,4,0.5,,0.02,0.900895,0.900729,0.124304
73,42,400,10.0,4,0.5,,0.0,0.90079,0.901962,0.157104
74,14,400,10.0,2,0.5,,0.0,0.90067,0.901728,0.157348
75,15,400,10.0,2,0.5,,0.02,0.900592,0.900645,0.163601
76,70,400,,2,0.5,,0.0,0.900588,0.901372,0.159876
77,71,400,,2,0.5,,0.02,0.900513,0.901296,0.139029
78,32,400,10.0,4,sqrt,,0.2,0.900503,0.899656,0.0225
79,88,400,,4,sqrt,,0.2,0.900406,0.899551,0.022473
80,50,400,10.0,4,0.5,balanced,0.02,0.900122,0.908033,0.107385
81,16,400,10.0,2,0.5,,0.05,0.899766,0.898893,0.086338
82,44,400,10.0,4,0.5,,0.05,0.899752,0.898967,0.046602
83,72,400,,2,0.5,,0.05,0.899706,0.899012,0.068176
84,100,400,,4,0.5,,0.05,0.899665,0.899008,0.074185
85,23,400,10.0,2,0.5,balanced,0.05,0.898677,0.905252,0.059185
86,6,400,10.0,2,sqrt,,0.5,0.898128,0.897069,0.021952
