sample_id,scene,timestamp,scene_cav_set
0,2021_08_20_21_48_35,000071,2149|2158|2167|2176|2185
1,2021_08_20_21_48_35,000073,2149|2158|2167|2176|2185
2,2021_08_20_21_48_35,000075,2149|2158|2167|2176|2185
3,2021_08_20_21_48_35,000077,2149|2158|2167|2176|2185
4,2021_08_20_21_48_35,000079,2149|2158|2167|2176|2185
5,2021_08_20_21_48_35,000081,2149|2158|2167|2176|2185
6,2021_08_20_21_48_35,000083,2149|2158|2167|2176|2185
7,2021_08_20_21_48_35,000085,2149|2158|2167|2176|2185
8,2021_08_20_21_48_35,000087,2149|2158|2167|2176|2185
9,2021_08_20_21_48_35,000089,2149|2158|2167|2176|2185
10,2021_08_20_21_48_35,000091,2149|2158|2167|2176|2185
11,2021_08_20_21_48_35,000093,2149|2158|2167|2176|2185
12,2021_08_20_21_48_35,000095,2149|2158|2167|2176|2185
13,2021_08_20_21_48_35,000097,2149|2158|2167|2176|2185
14,2021_08_20_21_48_35,000099,2149|2158|2167|2176|2185
15,2021_08_20_21_48_35,000101,2149|2158|2167|2176|2185
16,2021_08_20_21_48_35,000103,2149|2158|2167|2176|2185
17,2021_08_20_21_48_35,000105,2149|2158|2167|2176|2185
18,2021_08_20_21_48_35,000107,2149|2158|2167|2176|2185
19,2021_08_20_21_48_35,000109,2149|2158|2167|2176|2185
20,2021_08_20_21_48_35,000111,2149|2158|2167|2176|2185
21,2021_08_20_21_48_35,000113,2149|2158|2167|2176|2185
22,2021_08_20_21_48_35,000115,2149|2158|2167|2176|2185
23,2021_08_20_21_48_35,000117,2149|2158|2167|2176|2185
24,2021_08_20_21_48_35,000119,2149|2158|2167|2176|2185
25,2021_08_20_21_48_35,000121,2149|2158|2167|2176|2185
26,2021_08_20_21_48_35,000123,2149|2158|2167|2176|2185
27,2021_08_20_21_48_35,000125,2149|2158|2167|2176|2185
28,2021_08_20_21_48_35,000127,2149|2158|2167|2176|2185
29,2021_08_20_21_48_35,000129,2149|2158|2167|2176|2185
30,2021_08_20_21_48_35,000131,2149|2158|2167|2176|2185
31,2021_08_20_21_48_35,000133,2149|2158|2167|2176|2185
32,2021_08_20_21_48_35,000135,2149|2158|2167|2176|2185
33,2021_08_20_21_48_35,000137,2149|2158|2167|2176|2185
34,2021_08_20_21_48_35,000139,2149|2158|2167|2176|2185
35,2021_08_20_21_48_35,000141,2149|2158|2167|2176|2185
36,2021_08_20_21_48_35,000143,2149|2158|2167|2176|2185
37,2021_08_20_21_48_35,000145,2149|2158|2167|2176|2185
38,2021_08_20_21_48_35,000147,2149|2158|2167|2176|2185
39,2021_08_20_21_48_35,000149,2149|2158|2167|2176|2185
40,2021_08_20_21_48_35,000151,2149|2158|2167|2176|2185
41,2021_08_20_21_48_35,000153,2149|2158|2167|2176|2185
42,2021_08_20_21_48_35,000155,2149|2158|2167|2176|2185
43,2021_08_20_21_48_35,000157,2149|2158|2167|2176|2185
44,2021_08_20_21_48_35,000159,2149|2158|2167|2176|2185
45,2021_08_20_21_48_35,000161,2149|2158|2167|2176|2185
46,2021_08_20_21_48_35,000163,2149|2158|2167|2176|2185
47,2021_08_20_21_48_35,000165,2149|2158|2167|2176|2185
48,2021_08_20_21_48_35,000167,2149|2158|2167|2176|2185
49,2021_08_20_21_48_35,000169,2149|2158|2167|2176|2185
50,2021_08_20_21_48_35,000171,2149|2158|2167|2176|2185
51,2021_08_20_21_48_35,000173,2149|2158|2167|2176|2185
52,2021_08_20_21_48_35,000175,2149|2158|2167|2176|2185
53,2021_08_20_21_48_35,000177,2149|2158|2167|2176|2185
54,2021_08_20_21_48_35,000179,2149|2158|2167|2176|2185
55,2021_08_20_21_48_35,000181,2149|2158|2167|2176|2185
56,2021_08_20_21_48_35,000183,2149|2158|2167|2176|2185
57,2021_08_20_21_48_35,000185,2149|2158|2167|2176|2185
58,2021_08_20_21_48_35,000187,2149|2158|2167|2176|2185
59,2021_08_20_21_48_35,000189,2149|2158|2167|2176|2185
60,2021_08_20_21_48_35,000191,2149|2158|2167|2176|2185
61,2021_08_20_21_48_35,000193,2149|2158|2167|2176|2185
62,2021_08_20_21_48_35,000195,2149|2158|2167|2176|2185
63,2021_08_20_21_48_35,000197,2149|2158|2167|2176|2185
64,2021_08_20_21_48_35,000199,2149|2158|2167|2176|2185
65,2021_08_20_21_48_35,000201,2149|2158|2167|2176|2185
66,2021_08_20_21_48_35,000203,2149|2158|2167|2176|2185
67,2021_08_20_21_48_35,000205,2149|2158|2167|2176|2185
68,2021_08_20_21_48_35,000207,2149|2158|2167|2176|2185
69,2021_08_20_21_48_35,000209,2149|2158|2167|2176|2185
70,2021_08_20_21_48_35,000211,2149|2158|2167|2176|2185
71,2021_08_20_21_48_35,000213,2149|2158|2167|2176|2185
72,2021_08_20_21_48_35,000215,2149|2158|2167|2176|2185
73,2021_08_20_21_48_35,000217,2149|2158|2167|2176|2185
74,2021_08_20_21_48_35,000219,2149|2158|2167|2176|2185
75,2021_08_20_21_48_35,000221,2149|2158|2167|2176|2185
76,2021_08_20_21_48_35,000223,2149|2158|2167|2176|2185
77,2021_08_20_21_48_35,000225,2149|2158|2167|2176|2185
78,2021_08_20_21_48_35,000227,2149|2158|2167|2176|2185
79,2021_08_20_21_48_35,000229,2149|2158|2167|2176|2185
80,2021_08_20_21_48_35,000231,2149|2158|2167|2176|2185
81,2021_08_20_21_48_35,000233,2149|2158|2167|2176|2185
82,2021_08_20_21_48_35,000235,2149|2158|2167|2176|2185
83,2021_08_20_21_48_35,000237,2149|2158|2167|2176|2185
84,2021_08_20_21_48_35,000239,2149|2158|2167|2176|2185
85,2021_08_20_21_48_35,000241,2149|2158|2167|2176|2185
86,2021_08_20_21_48_35,000243,2149|2158|2167|2176|2185
87,2021_08_20_21_48_35,000245,2149|2158|2167|2176|2185
88,2021_08_20_21_48_35,000247,2149|2158|2167|2176|2185
89,2021_08_20_21_48_35,000249,2149|2158|2167|2176|2185
90,2021_08_20_21_48_35,000251,2149|2158|2167|2176|2185
91,2021_08_20_21_48_35,000253,2149|2158|2167|2176|2185
92,2021_08_20_21_48_35,000255,2149|2158|2167|2176|2185
93,2021_08_20_21_48_35,000257,2149|2158|2167|2176|2185
94,2021_08_20_21_48_35,000259,2149|2158|2167|2176|2185
95,2021_08_20_21_48_35,000261,2149|2158|2167|2176|2185
96,2021_08_20_21_48_35,000263,2149|2158|2167|2176|2185
97,2021_08_20_21_48_35,000265,2149|2158|2167|2176|2185
98,2021_08_20_21_48_35,000267,2149|2158|2167|2176|2185
99,2021_08_20_21_48_35,000269,2149|2158|2167|2176|2185
100,2021_08_20_21_48_35,000271,2149|2158|2167|2176|2185
101,2021_08_20_21_48_35,000273,2149|2158|2167|2176|2185
102,2021_08_20_21_48_35,000275,2149|2158|2167|2176|2185
103,2021_08_20_21_48_35,000277,2149|2158|2167|2176|2185
104,2021_08_20_21_48_35,000279,2149|2158|2167|2176|2185
105,2021_08_20_21_48_35,000281,2149|2158|2167|2176|2185
106,2021_08_20_21_48_35,000283,2149|2158|2167|2176|2185
107,2021_08_20_21_48_35,000285,2149|2158|2167|2176|2185
108,2021_08_20_21_48_35,000287,2149|2158|2167|2176|2185
109,2021_08_20_21_48_35,000289,2149|2158|2167|2176|2185
110,2021_08_20_21_48_35,000291,2149|2158|2167|2176|2185
111,2021_08_20_21_48_35,000293,2149|2158|2167|2176|2185
112,2021_08_21_17_30_41,000069,2488|2497|2506
113,2021_08_21_17_30_41,000071,2488|2497|2506
114,2021_08_21_17_30_41,000073,2488|2497|2506
115,2021_08_21_17_30_41,000075,2488|2497|2506
116,2021_08_21_17_30_41,000077,2488|2497|2506
117,2021_08_21_17_30_41,000079,2488|2497|2506
118,2021_08_21_17_30_41,000081,2488|2497|2506
119,2021_08_21_17_30_41,000083,2488|2497|2506
120,2021_08_21_17_30_41,000085,2488|2497|2506
121,2021_08_21_17_30_41,000087,2488|2497|2506
122,2021_08_21_17_30_41,000089,2488|2497|2506
123,2021_08_21_17_30_41,000091,2488|2497|2506
124,2021_08_21_17_30_41,000093,2488|2497|2506
125,2021_08_21_17_30_41,000095,2488|2497|2506
126,2021_08_21_17_30_41,000097,2488|2497|2506
127,2021_08_21_17_30_41,000099,2488|2497|2506
128,2021_08_21_17_30_41,000101,2488|2497|2506
129,2021_08_21_17_30_41,000103,2488|2497|2506
130,2021_08_21_17_30_41,000105,2488|2497|2506
131,2021_08_21_17_30_41,000107,2488|2497|2506
132,2021_08_21_17_30_41,000109,2488|2497|2506
133,2021_08_21_17_30_41,000111,2488|2497|2506
134,2021_08_21_17_30_41,000113,2488|2497|2506
135,2021_08_21_17_30_41,000115,2488|2497|2506
136,2021_08_21_17_30_41,000117,2488|2497|2506
137,2021_08_21_17_30_41,000119,2488|2497|2506
138,2021_08_21_17_30_41,000121,2488|2497|2506
139,2021_08_21_17_30_41,000123,2488|2497|2506
140,2021_08_21_17_30_41,000125,2488|2497|2506
141,2021_08_21_17_30_41,000127,2488|2497|2506
142,2021_08_21_17_30_41,000129,2488|2497|2506
143,2021_08_21_17_30_41,000131,2488|2497|2506
144,2021_08_21_17_30_41,000133,2488|2497|2506
145,2021_08_21_17_30_41,000135,2488|2497|2506
146,2021_08_21_17_30_41,000137,2488|2497|2506
147,2021_08_21_17_30_41,000139,2488|2497|2506
148,2021_08_21_17_30_41,000141,2488|2497|2506
149,2021_08_21_17_30_41,000143,2488|2497|2506
150,2021_08_21_17_30_41,000145,2488|2497|2506
151,2021_08_21_17_30_41,000147,2488|2497|2506
152,2021_08_21_17_30_41,000149,2488|2497|2506
153,2021_08_21_17_30_41,000151,2488|2497|2506
154,2021_08_21_17_30_41,000153,2488|2497|2506
155,2021_08_21_17_30_41,000155,2488|2497|2506
156,2021_08_21_17_30_41,000157,2488|2497|2506
157,2021_08_21_17_30_41,000159,2488|2497|2506
158,2021_08_21_17_30_41,000161,2488|2497|2506
159,2021_08_21_17_30_41,000163,2488|2497|2506
160,2021_08_21_17_30_41,000165,2488|2497|2506
161,2021_08_21_17_30_41,000167,2488|2497|2506
162,2021_08_21_17_30_41,000169,2488|2497|2506
163,2021_08_21_17_30_41,000171,2488|2497|2506
164,2021_08_21_17_30_41,000173,2488|2497|2506
165,2021_08_21_17_30_41,000175,2488|2497|2506
166,2021_08_21_17_30_41,000177,2488|2497|2506
167,2021_08_21_17_30_41,000179,2488|2497|2506
168,2021_08_21_17_30_41,000181,2488|2497|2506
169,2021_08_21_17_30_41,000183,2488|2497|2506
170,2021_08_21_17_30_41,000185,2488|2497|2506
171,2021_08_21_17_30_41,000187,2488|2497|2506
172,2021_08_21_17_30_41,000189,2488|2497|2506
173,2021_08_21_17_30_41,000191,2488|2497|2506
174,2021_08_21_17_30_41,000193,2488|2497|2506
175,2021_08_21_17_30_41,000195,2488|2497|2506
176,2021_08_21_17_30_41,000197,2488|2497|2506
177,2021_08_21_17_30_41,000199,2488|2497|2506
178,2021_08_21_17_30_41,000201,2488|2497|2506
179,2021_08_21_17_30_41,000203,2488|2497|2506
180,2021_08_21_17_30_41,000205,2488|2497|2506
181,2021_08_21_17_30_41,000207,2488|2497|2506
182,2021_08_21_17_30_41,000209,2488|2497|2506
183,2021_08_21_17_30_41,000211,2488|2497|2506
184,2021_08_21_17_30_41,000213,2488|2497|2506
185,2021_08_21_17_30_41,000215,2488|2497|2506
186,2021_08_21_17_30_41,000217,2488|2497|2506
187,2021_08_21_17_30_41,000219,2488|2497|2506
188,2021_08_21_17_30_41,000221,2488|2497|2506
189,2021_08_21_17_30_41,000223,2488|2497|2506
190,2021_08_21_17_30_41,000225,2488|2497|2506
191,2021_08_21_17_30_41,000227,2488|2497|2506
192,2021_08_21_17_30_41,000229,2488|2497|2506
193,2021_08_21_17_30_41,000231,2488|2497|2506
194,2021_08_21_17_30_41,000233,2488|2497|2506
195,2021_08_21_17_30_41,000235,2488|2497|2506
196,2021_08_21_17_30_41,000237,2488|2497|2506
197,2021_08_21_17_30_41,000239,2488|2497|2506
198,2021_08_21_17_30_41,000241,2488|2497|2506
199,2021_08_21_17_30_41,000243,2488|2497|2506
200,2021_08_21_17_30_41,000245,2488|2497|2506
201,2021_08_21_17_30_41,000247,2488|2497|2506
202,2021_08_21_17_30_41,000249,2488|2497|2506
203,2021_08_21_17_30_41,000251,2488|2497|2506
204,2021_08_21_17_30_41,000253,2488|2497|2506
205,2021_08_21_17_30_41,000255,2488|2497|2506
206,2021_08_21_17_30_41,000257,2488|2497|2506
207,2021_08_21_17_30_41,000259,2488|2497|2506
208,2021_08_21_17_30_41,000261,2488|2497|2506
209,2021_08_21_17_30_41,000263,2488|2497|2506
210,2021_08_21_17_30_41,000265,2488|2497|2506
211,2021_08_21_17_30_41,000267,2488|2497|2506
212,2021_08_21_17_30_41,000269,2488|2497|2506
213,2021_08_21_17_30_41,000271,2488|2497|2506
214,2021_08_21_17_30_41,000273,2488|2497|2506
215,2021_08_21_17_30_41,000275,2488|2497|2506
216,2021_08_21_17_30_41,000277,2488|2497|2506
217,2021_08_21_17_30_41,000279,2488|2497|2506
218,2021_08_21_17_30_41,000281,2488|2497|2506
219,2021_08_21_17_30_41,000283,2488|2497|2506
220,2021_08_21_17_30_41,000285,2488|2497|2506
221,2021_08_21_17_30_41,000287,2488|2497|2506
222,2021_08_21_17_30_41,000289,2488|2497|2506
223,2021_08_21_17_30_41,000291,2488|2497|2506
224,2021_08_21_17_30_41,000293,2488|2497|2506
225,2021_08_21_17_30_41,000295,2488|2497|2506
226,2021_08_21_17_30_41,000297,2488|2497|2506
227,2021_08_21_17_30_41,000299,2488|2497|2506
228,2021_08_21_17_30_41,000301,2488|2497|2506
229,2021_08_21_17_30_41,000303,2488|2497|2506
230,2021_08_21_17_30_41,000305,2488|2497|2506
231,2021_08_21_17_30_41,000307,2488|2497|2506
232,2021_08_21_17_30_41,000309,2488|2497|2506
233,2021_08_21_17_30_41,000311,2488|2497|2506
234,2021_08_21_17_30_41,000313,2488|2497|2506
235,2021_08_21_17_30_41,000315,2488|2497|2506
