fold_scene,candidate_index,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,lambda,realised_f1,realised_payload
2021_08_20_21_48_35,0,400,10.0,2,sqrt,,0.0,0.932725,0.07575
2021_08_21_17_30_41,0,400,10.0,2,sqrt,,0.0,0.92542,0.040781
2021_08_22_13_37_16,0,400,10.0,2,sqrt,,0.0,0.971686,0.024
2021_08_22_22_01_17,0,400,10.0,2,sqrt,,0.0,0.9878,0.22659
2021_08_23_10_51_24,0,400,10.0,2,sqrt,,0.0,0.891573,0.12554
2021_08_23_13_17_21,0,400,10.0,2,sqrt,,0.0,0.918524,0.06242
2021_08_23_19_42_07,0,400,10.0,2,sqrt,,0.0,0.800953,0.024
2021_09_09_19_27_35,0,400,10.0,2,sqrt,,0.0,0.802222,0.267748
2021_09_11_00_33_16,0,400,10.0,2,sqrt,,0.0,0.943381,0.287984
2021_08_20_21_48_35,1,400,10.0,2,sqrt,,0.02,0.932292,0.068693
2021_08_21_17_30_41,1,400,10.0,2,sqrt,,0.02,0.925246,0.038823
2021_08_22_13_37_16,1,400,10.0,2,sqrt,,0.02,0.971686,0.024
2021_08_22_22_01_17,1,400,10.0,2,sqrt,,0.02,0.987921,0.237459
2021_08_23_10_51_24,1,400,10.0,2,sqrt,,0.02,0.890849,0.114562
2021_08_23_13_17_21,1,400,10.0,2,sqrt,,0.02,0.919131,0.034977
2021_08_23_19_42_07,1,400,10.0,2,sqrt,,0.02,0.800953,0.024
2021_09_09_19_27_35,1,400,10.0,2,sqrt,,0.02,0.802508,0.254068
2021_09_11_00_33_16,1,400,10.0,2,sqrt,,0.02,0.943238,0.266736
2021_08_20_21_48_35,2,400,10.0,2,sqrt,,0.05,0.931928,0.064773
2021_08_21_17_30_41,2,400,10.0,2,sqrt,,0.05,0.923348,0.024
2021_08_22_13_37_16,2,400,10.0,2,sqrt,,0.05,0.971686,0.024
2021_08_22_22_01_17,2,400,10.0,2,sqrt,,0.05,0.987693,0.040086
2021_08_23_10_51_24,2,400,10.0,2,sqrt,,0.05,0.886513,0.024
2021_08_23_13_17_21,2,400,10.0,2,sqrt,,0.05,0.91825,0.024
2021_08_23_19_42_07,2,400,10.0,2,sqrt,,0.05,0.800953,0.024
2021_09_09_19_27_35,2,400,10.0,2,sqrt,,0.05,0.799479,0.024
2021_09_11_00_33_16,2,400,10.0,2,sqrt,,0.05,0.941354,0.024353
2021_08_20_21_48_35,3,400,10.0,2,sqrt,,0.1,0.928938,0.024
2021_08_21_17_30_41,3,400,10.0,2,sqrt,,0.1,0.923348,0.024
2021_08_22_13_37_16,3,400,10.0,2,sqrt,,0.1,0.971686,0.024
2021_08_22_22_01_17,3,400,10.0,2,sqrt,,0.1,0.986508,0.023779
2021_08_23_10_51_24,3,400,10.0,2,sqrt,,0.1,0.886513,0.024
2021_08_23_13_17_21,3,400,10.0,2,sqrt,,0.1,0.91825,0.024
2021_08_23_19_42_07,3,400,10.0,2,sqrt,,0.1,0.800953,0.024
2021_09_09_19_27_35,3,400,10.0,2,sqrt,,0.1,0.799479,0.024
2021_09_11_00_33_16,3,400,10.0,2,sqrt,,0.1,0.941361,0.024
2021_08_20_21_48_35,4,400,10.0,2,sqrt,,0.2,0.928938,0.024
2021_08_21_17_30_41,4,400,10.0,2,sqrt,,0.2,0.923348,0.024
2021_08_22_13_37_16,4,400,10.0,2,sqrt,,0.2,0.971686,0.024
2021_08_22_22_01_17,4,400,10.0,2,sqrt,,0.2,0.981081,0.022218
2021_08_23_10_51_24,4,400,10.0,2,sqrt,,0.2,0.886513,0.024
2021_08_23_13_17_21,4,400,10.0,2,sqrt,,0.2,0.91825,0.024
2021_08_23_19_42_07,4,400,10.0,2,sqrt,,0.2,0.800953,0.024
2021_09_09_19_27_35,4,400,10.0,2,sqrt,,0.2,0.799479,0.024
2021_09_11_00_33_16,4,400,10.0,2,sqrt,,0.2,0.941361,0.024
2021_08_20_21_48_35,5,400,10.0,2,sqrt,,0.35,0.928938,0.024
2021_08_21_17_30_41,5,400,10.0,2,sqrt,,0.35,0.923348,0.024
2021_08_22_13_37_16,5,400,10.0,2,sqrt,,0.35,0.971686,0.024
2021_08_22_22_01_17,5,400,10.0,2,sqrt,,0.35,0.902315,0.003683
2021_08_23_10_51_24,5,400,10.0,2,sqrt,,0.35,0.886513,0.024
2021_08_23_13_17_21,5,400,10.0,2,sqrt,,0.35,0.91825,0.024
2021_08_23_19_42_07,5,400,10.0,2,sqrt,,0.35,0.800953,0.024
2021_09_09_19_27_35,5,400,10.0,2,sqrt,,0.35,0.799479,0.024
2021_09_11_00_33_16,5,400,10.0,2,sqrt,,0.35,0.941031,0.023936
2021_08_20_21_48_35,6,400,10.0,2,sqrt,,0.5,0.928938,0.024
2021_08_21_17_30_41,6,400,10.0,2,sqrt,,0.5,0.923348,0.024
2021_08_22_13_37_16,6,400,10.0,2,sqrt,,0.5,0.971686,0.024
2021_08_22_22_01_17,6,400,10.0,2,sqrt,,0.5,0.903095,0.003921
2021_08_23_10_51_24,6,400,10.0,2,sqrt,,0.5,0.886513,0.024
2021_08_23_13_17_21,6,400,10.0,2,sqrt,,0.5,0.91825,0.024
2021_08_23_19_42_07,6,400,10.0,2,sqrt,,0.5,0.800953,0.024
2021_09_09_19_27_35,6,400,10.0,2,sqrt,,0.5,0.799479,0.024
2021_09_11_00_33_16,6,400,10.0,2,sqrt,,0.5,0.941361,0.024
2021_08_20_21_48_35,7,400,10.0,2,sqrt,balanced,0.0,0.935951,0.263148
2021_08_21_17_30_41,7,400,10.0,2,sqrt,balanced,0.0,0.930693,0.28242
2021_08_22_13_37_16,7,400,10.0,2,sqrt,balanced,0.0,0.971686,0.024
2021_08_22_22_01_17,7,400,10.0,2,sqrt,balanced,0.0,0.987626,0.209418
2021_08_23_10_51_24,7,400,10.0,2,sqrt,balanced,0.0,0.893795,0.178368
2021_08_23_13_17_21,7,400,10.0,2,sqrt,balanced,0.0,0.917161,0.166705
2021_08_23_19_42_07,7,400,10.0,2,sqrt,balanced,0.0,0.812584,0.242005
2021_09_09_19_27_35,7,400,10.0,2,sqrt,balanced,0.0,0.803853,0.1872
2021_09_11_00_33_16,7,400,10.0,2,sqrt,balanced,0.0,0.941335,0.028532
2021_08_20_21_48_35,8,400,10.0,2,sqrt,balanced,0.02,0.934408,0.234528
2021_08_21_17_30_41,8,400,10.0,2,sqrt,balanced,0.02,0.926272,0.200196
2021_08_22_13_37_16,8,400,10.0,2,sqrt,balanced,0.02,0.971686,0.024
2021_08_22_22_01_17,8,400,10.0,2,sqrt,balanced,0.02,0.987345,0.041607
2021_08_23_10_51_24,8,400,10.0,2,sqrt,balanced,0.02,0.89401,0.180426
