split,budget,cls,precision,recall,f1,support,rf_vs_oracle_acc,confusion_row
validate,0.1,E,0.8333,1.0,0.9091,335,0.9073,335|0|0
validate,0.1,L,0.9035,1.0,0.9493,37197,0.9073,0|37197|0
validate,0.1,F,1.0,0.33,0.4962,6028,0.9073,67|3972|1989
validate,0.2,E,0.8679,1.0,0.9293,335,0.9386,335|0|0
validate,0.2,L,0.9347,0.9994,0.9659,37197,0.9386,0|37173|24
validate,0.2,F,0.9929,0.5604,0.7164,6028,0.9386,51|2599|3378
validate,0.3,E,1.0,1.0,1.0,335,0.9994,335|0|0
validate,0.3,L,0.9994,1.0,0.9997,37197,0.9994,0|37197|0
validate,0.3,F,1.0,0.996,0.998,6028,0.9994,0|24|6004
test,0.1,E,0.4934,0.0179,0.0346,6303,0.7204,113|6129|61
test,0.1,L,0.7285,0.972,0.8328,33991,0.7204,92|33039|860
test,0.1,F,0.574,0.1667,0.2583,7446,0.7204,24|6181|1241
test,0.2,E,1.0,0.0043,0.0085,6303,0.7205,27|6177|99
test,0.2,L,0.7346,0.9557,0.8307,33991,0.7205,0|32484|1507
test,0.2,F,0.5401,0.2533,0.3449,7446,0.7205,0|5560|1886
test,0.3,E,1.0,0.0063,0.0126,6303,0.7398,40|5879|384
test,0.3,L,0.7766,0.9068,0.8366,33991,0.7398,0|30822|3169
test,0.3,F,0.5564,0.5986,0.5767,7446,0.7398,0|2989|4457
culver,0.1,E,0.0,0.0,0.0,1095,0.6714,0|1095|0
culver,0.1,L,0.6705,0.9993,0.8025,8085,0.6714,0|8079|6
culver,0.1,F,0.8824,0.0154,0.0303,2920,0.6714,0|2875|45
culver,0.2,E,0.0,0.0,0.0,1095,0.6845,0|1095|0
culver,0.2,L,0.6797,0.9985,0.8088,8085,0.6845,0|8073|12
culver,0.2,F,0.9459,0.0719,0.1337,2920,0.6845,0|2710|210
culver,0.3,E,0.0,0.0,0.0,1095,0.7846,0|1095|0
culver,0.3,L,0.7626,0.9839,0.8593,8085,0.7846,0|7955|130
culver,0.3,F,0.9221,0.5271,0.6707,2920,0.7846,0|1381|1539
