split,budget,e_type,oracle_E_cells,missed_by_rf,F1_cost_sum,F1_cost_per_gridcell,payload_extra_sum,payload_extra_per_gridcell
validate,0.1,strict-benefit,21,0,0.0,0.0,0.0,0.0
validate,0.1,tie-saving,38,0,0.0,0.0,0.0,0.0
validate,0.1,lambda-induced,342,0,0.0,0.0,0.0,0.0
validate,0.2,strict-benefit,21,0,0.0,0.0,0.0,0.0
validate,0.2,tie-saving,37,0,0.0,0.0,0.0,0.0
validate,0.2,lambda-induced,327,6,-0.090228,-2.07e-06,5.94,0.000136
validate,0.3,strict-benefit,21,0,0.0,0.0,0.0,0.0
validate,0.3,tie-saving,37,0,0.0,0.0,0.0,0.0
validate,0.3,lambda-induced,277,0,0.0,0.0,0.0,0.0
test,0.1,strict-benefit,231,231,12.794232,0.000268,21.966,0.00046
test,0.1,tie-saving,3798,3684,0.857813,1.797e-05,107.736,0.002257
test,0.1,lambda-induced,2778,2778,130.465375,0.00273283,114.972,0.002408
test,0.2,strict-benefit,231,231,12.794232,0.000268,17.136,0.000359
test,0.2,tie-saving,3655,3628,2.234676,4.681e-05,142.134,0.002977
test,0.2,lambda-induced,2634,2634,122.53796,0.00256678,115.38,0.002417
test,0.3,strict-benefit,231,231,15.056682,0.00031539,102.144,0.00214
test,0.3,tie-saving,3587,3547,13.436044,0.00028144,291.852,0.006113
test,0.3,lambda-induced,2520,2520,117.081667,0.00245249,128.1,0.002683
culver,0.1,strict-benefit,0,0,0.0,0.0,0.0,0.0
culver,0.1,tie-saving,1170,1170,0.0,0.0,28.08,0.002321
culver,0.1,lambda-induced,22,22,0.466664,3.857e-05,0.528,4.4e-05
culver,0.2,strict-benefit,0,0,0.0,0.0,0.0,0.0
culver,0.2,tie-saving,1097,1097,0.0,0.0,26.328,0.002176
culver,0.2,lambda-induced,15,15,0.31818,2.63e-05,0.36,3e-05
culver,0.3,strict-benefit,0,0,0.0,0.0,0.0,0.0
culver,0.3,tie-saving,1080,1080,0.0,0.0,25.92,0.002142
culver,0.3,lambda-induced,15,15,0.31818,2.63e-05,0.36,3e-05
