split,budget,cls,precision,recall,f1,support,rf_vs_budgetoracle_acc,confusion_row
validate,0.1,E,0.9975,1.0,0.9988,401,0.9997,401|0|0
validate,0.1,L,0.9997,1.0,0.9998,41156,0.9997,0|41156|0
validate,0.1,F,1.0,0.993,0.9965,2003,0.9997,1|13|1989
validate,0.2,E,0.9819,0.9844,0.9831,385,0.974,379|0|6
validate,0.2,L,0.9744,0.9974,0.9858,38855,0.974,0|38754|101
validate,0.2,F,0.9685,0.7627,0.8534,4320,0.974,7|1018|3295
validate,0.3,E,1.0,1.0,1.0,335,0.9994,335|0|0
validate,0.3,L,0.9994,1.0,0.9997,37197,0.9994,0|37197|0
validate,0.3,F,1.0,0.996,0.998,6028,0.9994,0|24|6004
test,0.1,E,0.4978,0.0167,0.0324,6807,0.7599,114|6606|87
test,0.1,L,0.7754,0.9677,0.861,36338,0.7599,95|35165|1078
test,0.1,F,0.4611,0.217,0.2951,4595,0.7599,20|3578|997
test,0.2,E,1.0,0.0041,0.0082,6520,0.7309,27|6370|123
test,0.2,L,0.7477,0.9548,0.8386,34630,0.7309,0|33064|1566
test,0.2,F,0.5163,0.2736,0.3577,6590,0.7309,0|4787|1803
test,0.3,E,1.0,0.0063,0.0125,6338,0.7392,40|5914|384
test,0.3,L,0.7758,0.9067,0.8362,33961,0.7392,0|30792|3169
test,0.3,F,0.5564,0.599,0.5769,7441,0.7392,0|2984|4457
culver,0.1,E,0.0,0.0,0.0,1192,0.7603,0|1192|0
culver,0.1,L,0.7627,0.9956,0.8637,9231,0.7603,0|9190|41
culver,0.1,F,0.1961,0.006,0.0116,1677,0.7603,0|1667|10
culver,0.2,E,0.0,0.0,0.0,1112,0.7119,0|1112|0
culver,0.2,L,0.709,0.9966,0.8285,8450,0.7119,0|8421|29
culver,0.2,F,0.8694,0.076,0.1399,2538,0.7119,0|2345|193
culver,0.3,E,0.0,0.0,0.0,1095,0.7846,0|1095|0
culver,0.3,L,0.7626,0.9839,0.8593,8085,0.7846,0|7955|130
culver,0.3,F,0.9221,0.5271,0.6707,2920,0.7846,0|1381|1539
