frame,snr_db,channel,eff_E,eff_L,eff_F,bler_F,raw_oracle,budget_oracle,rf,e_class
0,13.841,rayleigh,0.90909,0.97872,0.90909,1.0,L,L,L,
1,8.224,awgn,0.93333,1.0,0.9625,0.35741,L,L,L,
2,3.987,rayleigh,0.88889,1.0,0.88889,1.0,L,L,L,
3,9.88,awgn,0.95652,1.0,0.99895,0.02405,L,L,L,
4,18.64,awgn,0.86364,1.0,0.95833,0.0,L,L,L,
5,9.932,rayleigh,0.86364,1.0,0.86364,1.0,L,L,L,
6,17.965,rayleigh,0.84444,0.97872,0.84444,1.0,L,L,L,
7,17.193,rayleigh,0.90909,0.95833,0.90909,1.0,L,L,L,
8,1.175,rayleigh,0.85714,0.95652,0.85714,1.0,L,L,L,
9,18.197,awgn,0.85714,0.95652,0.97872,0.0,F,L,L,
10,13.67,awgn,0.83721,0.95652,1.0,0.0,F,L,L,
11,19.734,rayleigh,0.88372,0.95652,0.88372,1.0,L,L,L,
12,18.2,rayleigh,0.85714,0.93617,0.85714,1.0,L,L,L,
13,14.918,awgn,0.88372,0.95652,0.95652,0.0,L,L,L,
14,6.55,rayleigh,0.88372,0.93617,0.88372,1.0,L,L,L,
15,9.97,rayleigh,0.90909,0.93617,0.90909,1.0,L,L,L,
16,17.035,awgn,0.86364,0.91304,0.95652,0.0,F,L,L,
17,10.874,awgn,0.85714,0.95652,1.0,0.0,F,L,L,
18,11.607,rayleigh,0.91304,1.0,0.91304,1.0,L,L,L,
19,10.738,awgn,0.88372,0.95652,1.0,0.0,F,L,L,
20,18.805,awgn,0.95652,0.97872,1.0,0.0,F,L,L,
21,3.273,rayleigh,0.88889,0.97872,0.88889,1.0,L,L,L,
22,4.884,awgn,0.88889,1.0,0.88889,1.0,L,L,L,
23,17.724,rayleigh,0.95652,0.95833,0.95652,1.0,L,L,L,
24,10.504,rayleigh,0.93333,0.95833,0.93333,1.0,L,L,L,
25,6.509,rayleigh,0.93333,0.95833,0.93333,1.0,L,L,L,
26,16.865,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
27,15.007,awgn,0.95652,1.0,1.0,0.0,L,L,L,
28,7.353,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
29,15.399,awgn,0.95652,1.0,1.0,0.0,L,L,L,
30,2.177,rayleigh,0.95652,1.0,0.95652,1.0,L,L,L,
31,2.216,rayleigh,0.93333,0.97872,0.93333,1.0,L,L,L,
