frame,snr_db,channel,eff_E,eff_L,eff_F,bler_F,raw_oracle,frozen_lambda_clairvoyant,rf,e_class
0,13.841,rayleigh,0.7619,0.96,0.7619,1.0,L,L,L,
1,8.224,rayleigh,0.81818,0.92308,0.81818,1.0,L,L,L,
2,3.987,rayleigh,0.81818,0.92308,0.81818,1.0,L,L,L,
3,9.88,awgn,0.81818,0.88889,0.99563,0.02405,F,F,F,
4,18.64,rayleigh,0.72727,0.88889,0.72727,1.0,L,L,L,
5,9.932,awgn,0.7619,0.96,0.99676,0.01359,F,F,F,
6,17.965,rayleigh,0.7619,0.96,0.7619,1.0,L,L,L,
7,17.193,rayleigh,0.7619,0.96,0.7619,1.0,L,L,L,
8,1.175,awgn,0.7619,0.92308,0.7619,1.0,L,L,L,
9,18.197,rayleigh,0.81818,0.92308,0.81818,1.0,L,L,L,
10,13.67,awgn,0.78261,0.85714,0.96296,0.0,F,F,F,
11,19.734,awgn,0.8,0.92857,0.96296,0.0,F,F,F,
12,18.2,awgn,0.83333,0.96296,1.0,0.0,F,F,F,
13,14.918,rayleigh,0.83333,0.92857,0.83333,1.0,L,L,L,
14,6.55,awgn,0.83333,0.92857,0.83333,1.0,L,L,L,
15,9.97,rayleigh,0.83333,0.92857,0.83333,1.0,L,L,L,
16,17.035,awgn,0.83333,0.86667,1.0,0.0,F,F,F,
17,10.874,awgn,0.83333,0.89655,1.0,0.0,F,F,F,
18,11.607,rayleigh,0.83333,0.86667,0.83333,1.0,L,L,L,
19,10.738,awgn,0.83333,0.89655,1.0,0.0,F,F,F,
20,18.805,rayleigh,0.88,0.96296,0.88,1.0,L,L,L,
21,3.273,awgn,0.75,0.96296,0.75,1.0,L,L,L,
22,4.884,rayleigh,0.8,0.90323,0.8,1.0,L,L,L,
23,17.724,awgn,0.74074,0.96552,0.92857,0.0,L,L,L,
24,10.504,rayleigh,0.71429,0.93333,0.71429,1.0,L,L,L,
25,6.509,rayleigh,0.74074,0.93333,0.74074,1.0,L,L,L,
26,16.865,rayleigh,0.78571,0.96552,0.78571,1.0,L,L,L,
27,15.007,rayleigh,0.85714,0.9697,0.85714,1.0,L,L,L,
28,7.353,awgn,0.8,0.9697,0.82176,0.78916,L,L,L,
29,15.399,awgn,0.8,0.97143,0.875,0.0,L,L,L,
30,2.177,rayleigh,0.70588,0.92308,0.70588,1.0,L,L,L,
31,2.216,rayleigh,0.78788,0.94737,0.78788,1.0,L,L,L,
32,15.393,rayleigh,0.72222,0.9,0.72222,1.0,L,L,L,
33,9.931,awgn,0.75,1.0,0.93854,0.0138,L,L,L,
34,7.236,awgn,0.78788,0.97436,0.81395,0.85913,L,L,L,
