split,budget,e_class,oracle_E_cells,missed_by_rf,F1_cost_sum,F1_cost_per_framereal,payload_extra_sum,payload_extra_per_framereal
validate,0.1,strict,3300,7,-0.2662,-6.7e-07,6.93,1.8e-05
validate,0.1,tie,350,0,0.0,0.0,0.0,0.0
validate,0.1,cost-induced,0,0,0.0,0.0,0.0,0.0
validate,0.2,strict,3171,57,-0.8613,-2.17e-06,56.43,0.000143
validate,0.2,tie,344,0,0.0,0.0,0.0,0.0
validate,0.2,cost-induced,0,0,0.0,0.0,0.0,0.0
validate,0.3,strict,2660,1,-0.0,-0.0,0.99,2e-06
validate,0.3,tie,339,0,0.0,0.0,0.0,0.0
validate,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
test,0.1,strict,27407,27407,1302.6646,0.00300153,1295.33,0.002985
test,0.1,tie,34665,33660,8.5142,1.962e-05,1011.67,0.002331
test,0.1,cost-induced,0,0,0.0,0.0,0.0,0.0
test,0.2,strict,26095,26095,1232.0334,0.00283879,1231.96,0.002839
test,0.2,tie,33289,33076,21.2135,4.888e-05,1306.77,0.003011
test,0.2,cost-induced,0,0,0.0,0.0,0.0,0.0
test,0.3,strict,24794,24794,1190.9132,0.00274404,2074.97,0.004781
test,0.3,tie,32153,31805,124.1391,0.00028603,2712.71,0.00625
test,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
culver,0.1,strict,200,200,4.2424,3.857e-05,4.8,4.4e-05
culver,0.1,tie,10669,10669,0.0,0.0,256.06,0.002328
culver,0.1,cost-induced,0,0,0.0,0.0,0.0,0.0
culver,0.2,strict,139,139,2.9485,2.68e-05,3.34,3e-05
culver,0.2,tie,9971,9971,0.0,0.0,239.3,0.002175
culver,0.2,cost-induced,0,0,0.0,0.0,0.0,0.0
culver,0.3,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.3,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
