realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
0,0.9108451414458446,0.9074061637899122,0.06769090909090911,0.07278787878787879,0.0034389776559323737,-0.005096969696969683
1,0.911002487165315,0.9071973053631947,0.06915454545454547,0.06986060606060607,0.0038051818021203054,-0.000706060606060599
2,0.9109495067524952,0.9071969883232037,0.06475151515151517,0.0762030303030303,0.0037525184292914737,-0.01145151515151513
3,0.9102626695521325,0.9071982514750044,0.060848484848484846,0.06546969696969698,0.003064418077128095,-0.004621212121212137
4,0.9113557339643095,0.9072413140719584,0.07060606060606062,0.0723,0.004114419892351062,-0.0016939393939393865
5,0.9108809612485235,0.9073580797995577,0.07111818181818183,0.07034848484848485,0.003522881448965731,0.0007696969696969758
6,0.911585495016336,0.9070489572843902,0.07404545454545455,0.07522727272727274,0.004536537731945844,-0.0011818181818181867
7,0.9112115548678815,0.9073808668294233,0.06766666666666668,0.06937272727272728,0.0038306880384582076,-0.0017060606060605998
8,0.9111755817459025,0.9071934736888053,0.06915454545454547,0.07181212121212122,0.0039821080570972,-0.0026575757575757475
9,0.9120191412433043,0.9072530643911491,0.07843636363636364,0.06546969696969697,0.004766076852155243,0.012966666666666668
10,0.9111434123092556,0.9076579966250234,0.06916666666666668,0.07132424242424244,0.003485415684232107,-0.002157575757575761
11,0.9111357733313388,0.9071478384990214,0.06963030303030303,0.06546969696969697,0.003987934832317408,0.004160606060606059
12,0.9106579891537553,0.9071452983172165,0.0676909090909091,0.07522727272727273,0.003512690836538823,-0.007536363636363633
13,0.9112942391998485,0.9074291521668434,0.06964242424242424,0.07132424242424242,0.0038650870330051434,-0.0016818181818181732
14,0.9113427700755973,0.9075078156942572,0.07158181818181818,0.06986060606060607,0.003834954381340072,0.0017212121212121095
15,0.9112402216917858,0.9074721751889057,0.06866666666666667,0.06937272727272728,0.003768046502880096,-0.0007060606060606128
16,0.9115307605616847,0.9075195939574721,0.07258181818181819,0.0723,0.004011166604212635,0.00028181818181818863
17,0.9110030019258664,0.9071449222049383,0.06771515151515152,0.06839696969696969,0.0038580797209281092,-0.0006818181818181723
18,0.91055370417922,0.9073231744368189,0.06428787878787878,0.06790909090909092,0.0032305297424011226,-0.003621212121212136
19,0.9113060152363156,0.9072605433722272,0.0662030303030303,0.06644545454545456,0.004045471864088435,-0.0002424242424242523
20,0.9106513691146841,0.9074899488611955,0.06671515151515152,0.07473939393939394,0.003161420253488645,-0.00802424242424242
21,0.9109991094700669,0.9070047854860841,0.07060606060606062,0.06449393939393941,0.003994323983982806,0.006112121212121208
22,0.9112514694957285,0.9076992628830027,0.06913030303030303,0.07376363636363638,0.0035522066127258167,-0.00463333333333335
23,0.9115776078430946,0.9076182212501686,0.07306969696969697,0.06937272727272728,0.003959386592926051,0.0036969696969696847
24,0.9112090963395446,0.9073239657558122,0.06964242424242426,0.06839696969696969,0.00388513058373241,0.0012454545454545635
25,0.9108955203375277,0.9076119948387812,0.06625151515151514,0.08108181818181819,0.0032835254987465534,-0.014830303030303041
26,0.9110034697275448,0.9073744280183011,0.07060606060606062,0.0723,0.003629041709243608,-0.0016939393939393865
27,0.9112210464231413,0.9074474820067803,0.07110606060606062,0.0688848484848485,0.0037735644163610083,0.002221212121212124
28,0.9117082450272688,0.9077423781889119,0.07697272727272728,0.07132424242424242,0.0039658668383568685,0.005648484848484861
29,0.910754025812722,0.9069034845871269,0.0633,0.08108181818181819,0.003850541225595139,-0.01778181818181819
30,0.9113306846493521,0.9076968396768612,0.07206969696969699,0.07181212121212122,0.003633844972490863,0.0002575757575757759
31,0.9113351359751005,0.9073427458796351,0.06721515151515152,0.06693333333333334,0.00399239009546537,0.00028181818181817475
32,0.9117198267255149,0.9069520554169281,0.07256969696969696,0.07083636363636366,0.0047677713085867435,0.001733333333333309
33,0.9105761062795228,0.9072496607594878,0.06475151515151517,0.07132424242424243,0.0033264455200350262,-0.006572727272727258
34,0.9114254764541826,0.9072876710177993,0.07258181818181818,0.07327575757575758,0.004137805436383313,-0.0006939393939393995
35,0.9103139977561512,0.9070772368982737,0.060360606060606066,0.07083636363636366,0.0032367608578774965,-0.01047575757575759
36,0.9109868694841972,0.9073800127143258,0.06523939393939396,0.0766909090909091,0.0036068567698713805,-0.011451515151515143
37,0.9109907494536347,0.9072783859919346,0.07013030303030303,0.06888484848484848,0.003712363461700119,0.0012454545454545496
38,0.9114581521134572,0.9072748939079199,0.07205757575757576,0.0718121212121212,0.004183258205537221,0.0002454545454545626
39,0.9108795671581695,0.9074192570408918,0.06964242424242426,0.06986060606060607,0.003460310117277765,-0.00021818181818181182
40,0.9108167139235747,0.9072164847743694,0.06475151515151517,0.07132424242424243,0.003600229149205214,-0.006572727272727258
41,0.91102591253512,0.9071119225626448,0.06769090909090911,0.06400606060606061,0.0039139899724751626,0.003684848484848499
42,0.9111023033040397,0.9074075644142374,0.07011818181818182,0.0644939393939394,0.003694738889802318,0.0056242424242424205
43,0.9116969865505192,0.9075544694884149,0.07697272727272728,0.07278787878787879,0.004142517062104334,0.004184848484848486
44,0.911576543090053,0.9075536484440595,0.0715939393939394,0.06644545454545456,0.00402289464599348,0.005148484848484847
45,0.9116061492951214,0.9078631093187295,0.0754969696969697,0.07571515151515151,0.0037430399763919153,-0.00021818181818181182
46,0.9109949060894401,0.9073667164338465,0.06769090909090911,0.07522727272727273,0.003628189655593639,-0.007536363636363619
47,0.9110070239727274,0.9075885767023442,0.06719090909090909,0.0723,0.003418447270383207,-0.00510909090909091
48,0.9111028643736059,0.9073322996008601,0.06866666666666667,0.07132424242424242,0.0037705647727457325,-0.0026575757575757475
49,0.9113524711087725,0.9072415681583647,0.07404545454545455,0.06986060606060607,0.004110902950407835,0.004184848484848486
50,0.9111572447224724,0.9072227924110328,0.0686909090909091,0.08108181818181819,0.003934452311439629,-0.012390909090909091
