split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations
validate,-,Fixed-L,0.895,0.0,0.8902,0.0,0.836,0.0,1
validate,-,Feature-ceiling,0.921,0.0,0.9169,0.0,0.8675,0.0,1
validate,-,ego-only,0.6373,0.0,0.6116,0.0,0.536,0.0,1
validate,0.1,CA-TOSG-RF,0.8982,0.0005,0.8937,0.0005,0.8384,0.0005,200
validate,0.1,SNR-threshold,0.8955,0.0003,0.8907,0.0003,0.8366,0.0004,200
validate,0.2,CA-TOSG-RF,0.9005,0.0006,0.8959,0.0007,0.8397,0.0006,200
validate,0.2,SNR-threshold,0.8977,0.0006,0.893,0.0006,0.8395,0.0007,200
validate,0.3,CA-TOSG-RF,0.9014,0.0007,0.8971,0.0007,0.841,0.0008,200
validate,0.3,SNR-threshold,0.8969,0.0011,0.892,0.0011,0.8388,0.0012,200
test,-,Fixed-L,0.9234,0.0,0.9189,0.0,0.8687,0.0,1
test,-,Feature-ceiling,0.9237,0.0,0.9216,0.0,0.8672,0.0,1
test,-,ego-only,0.7431,0.0,0.735,0.0,0.6508,0.0,1
test,0.1,CA-TOSG-RF,0.9226,0.0003,0.9181,0.0003,0.8676,0.0005,200
test,0.1,SNR-threshold,0.9233,0.0004,0.9189,0.0004,0.8683,0.0006,200
test,0.2,CA-TOSG-RF,0.9227,0.0004,0.9182,0.0004,0.8672,0.0007,200
test,0.2,SNR-threshold,0.9231,0.0007,0.919,0.0007,0.8675,0.0011,200
test,0.3,CA-TOSG-RF,0.9229,0.0007,0.9187,0.0007,0.8669,0.0011,200
test,0.3,SNR-threshold,0.9213,0.001,0.9174,0.001,0.8651,0.0015,200
culver,-,Fixed-L,0.7951,0.0,0.7828,0.0,0.6975,0.0,1
culver,-,Feature-ceiling,0.879,0.0,0.872,0.0,0.7768,0.0,1
culver,-,ego-only,0.6324,0.0,0.6185,0.0,0.5312,0.0,1
culver,0.1,CA-TOSG-RF,0.7953,0.0002,0.7831,0.0002,0.6979,0.0003,200
culver,0.1,SNR-threshold,0.7992,0.0012,0.7872,0.0012,0.7006,0.0013,200
culver,0.2,CA-TOSG-RF,0.7971,0.0007,0.7848,0.0007,0.6987,0.0006,200
culver,0.2,SNR-threshold,0.812,0.0022,0.8008,0.0023,0.7114,0.0022,200
culver,0.3,CA-TOSG-RF,0.8118,0.0023,0.8001,0.0024,0.7105,0.0023,200
culver,0.3,SNR-threshold,0.8179,0.0027,0.8071,0.0028,0.7164,0.0028,200
