split,budget,snr_dist,policy,F1,F1_std,payload,rho_feature
validate,0.1,uniform,RF,0.91108,0.00037,0.06857,0.0464
validate,0.1,uniform,tau,0.90734,0.00022,0.07215,
validate,0.1,beta25_lowskew,RF,0.90824,0.00022,0.03768,0.0144
validate,0.1,beta25_lowskew,tau,0.90673,0.0,0.02403,
validate,0.1,truncgauss_10_5,RF,0.91125,0.00037,0.07134,0.0492
validate,0.1,truncgauss_10_5,tau,0.90694,0.00013,0.04014,
validate,0.2,uniform,RF,0.91172,0.00037,0.09986,0.0787
validate,0.2,uniform,tau,0.90927,0.00042,0.21663,
validate,0.2,beta25_lowskew,RF,0.90834,0.00022,0.04652,0.0236
validate,0.2,beta25_lowskew,tau,0.90697,0.00014,0.04416,
validate,0.2,truncgauss_10_5,RF,0.91188,0.00038,0.10435,0.0834
validate,0.2,truncgauss_10_5,tau,0.90887,0.00041,0.18631,
validate,0.3,uniform,RF,0.91307,0.00039,0.15781,0.1387
validate,0.3,uniform,tau,0.9087,0.00054,0.31267,
validate,0.3,beta25_lowskew,RF,0.90873,0.00024,0.06782,0.0456
validate,0.3,beta25_lowskew,tau,0.9057,0.00037,0.13708,
validate,0.3,truncgauss_10_5,RF,0.91329,0.00039,0.1671,0.1483
validate,0.3,truncgauss_10_5,tau,0.90796,0.00055,0.34287,
test,0.1,uniform,RF,0.90326,0.00063,0.06798,0.0456
test,0.1,uniform,tau,0.90271,0.00042,0.0724,
test,0.1,beta25_lowskew,RF,0.9013,0.00037,0.03623,0.0128
test,0.1,beta25_lowskew,tau,0.90113,1e-05,0.02403,
test,0.1,truncgauss_10_5,RF,0.90337,0.00062,0.06984,0.0476
test,0.1,truncgauss_10_5,tau,0.90168,0.00025,0.04007,
test,0.2,uniform,RF,0.90463,0.0006,0.09472,0.0732
test,0.2,uniform,tau,0.9074,0.00074,0.21679,
test,0.2,beta25_lowskew,RF,0.90213,0.00032,0.04448,0.0212
test,0.2,beta25_lowskew,tau,0.90175,0.00023,0.04385,
test,0.2,truncgauss_10_5,RF,0.90477,0.00062,0.09886,0.0775
test,0.2,truncgauss_10_5,tau,0.90639,0.0007,0.18646,
test,0.3,uniform,RF,0.90734,0.00074,0.18703,0.1688
test,0.3,uniform,tau,0.90937,0.00077,0.3125,
test,0.3,beta25_lowskew,RF,0.90284,0.00041,0.07205,0.0498
test,0.3,beta25_lowskew,tau,0.90328,0.00053,0.13675,
test,0.3,truncgauss_10_5,RF,0.90756,0.00074,0.19609,0.1782
test,0.3,truncgauss_10_5,tau,0.90967,0.00077,0.34262,
culver,0.1,uniform,RF,0.8723,0.0001,0.02832,0.0045
culver,0.1,uniform,tau,0.87491,0.00075,0.07176,
culver,0.1,beta25_lowskew,RF,0.87218,4e-05,0.025,0.001
culver,0.1,beta25_lowskew,tau,0.87216,1e-05,0.02402,
culver,0.1,truncgauss_10_5,RF,0.87229,0.0001,0.02845,0.0046
culver,0.1,truncgauss_10_5,tau,0.87308,0.00044,0.04018,
culver,0.2,uniform,RF,0.87355,0.00047,0.04228,0.0189
culver,0.2,uniform,tau,0.8834,0.00147,0.2174,
culver,0.2,beta25_lowskew,RF,0.87252,0.00026,0.02905,0.0052
culver,0.2,beta25_lowskew,tau,0.87331,0.00048,0.04408,
culver,0.2,truncgauss_10_5,RF,0.87362,0.00047,0.04348,0.0202
culver,0.2,truncgauss_10_5,tau,0.88155,0.00131,0.18686,
culver,0.3,uniform,RF,0.88286,0.00143,0.16008,0.1409
culver,0.3,uniform,tau,0.8874,0.00166,0.31463,
culver,0.3,beta25_lowskew,RF,0.87494,0.00069,0.06135,0.0387
culver,0.3,beta25_lowskew,tau,0.87649,0.00098,0.13663,
culver,0.3,truncgauss_10_5,RF,0.88319,0.00141,0.16553,0.1465
culver,0.3,truncgauss_10_5,tau,0.8882,0.00168,0.34516,
