split,budget,flip_p,policy,F1,F1_std,payload,rho_feature
validate,0.1,0.0,RF,0.91108,0.00037,0.06857,0.0464
validate,0.1,0.05,RF,0.91044,0.00041,0.06839,0.0462
validate,0.1,0.1,RF,0.90981,0.0005,0.06831,0.0461
validate,0.1,0.2,RF,0.90851,0.00059,0.06843,0.0462
validate,0.2,0.0,RF,0.91172,0.00037,0.09986,0.0787
validate,0.2,0.05,RF,0.91068,0.00047,0.09964,0.0785
validate,0.2,0.1,RF,0.90967,0.00056,0.09978,0.0787
validate,0.2,0.2,RF,0.90759,0.00077,0.10001,0.0789
validate,0.3,0.0,RF,0.91307,0.00039,0.15781,0.1387
validate,0.3,0.05,RF,0.91147,0.00053,0.1576,0.1385
validate,0.3,0.1,RF,0.90989,0.00064,0.15765,0.1385
validate,0.3,0.2,RF,0.90669,0.00086,0.15806,0.139
test,0.1,0.0,RF,0.90326,0.00063,0.06798,0.0456
test,0.1,0.05,RF,0.90285,0.00065,0.06801,0.0457
test,0.1,0.1,RF,0.90243,0.00072,0.06795,0.0456
test,0.1,0.2,RF,0.90159,0.00073,0.06795,0.0456
test,0.2,0.0,RF,0.90463,0.0006,0.09472,0.0732
test,0.2,0.05,RF,0.90403,0.00064,0.09472,0.0732
test,0.2,0.1,RF,0.90346,0.00072,0.09473,0.0732
test,0.2,0.2,RF,0.90229,0.00073,0.09476,0.0733
test,0.3,0.0,RF,0.90734,0.00074,0.18703,0.1688
test,0.3,0.05,RF,0.90617,0.00078,0.18708,0.1688
test,0.3,0.1,RF,0.90501,0.00086,0.18716,0.1689
test,0.3,0.2,RF,0.90275,0.0009,0.18716,0.1689
culver,0.1,0.0,RF,0.8723,0.0001,0.02832,0.0045
culver,0.1,0.05,RF,0.87226,0.00014,0.02834,0.0045
culver,0.1,0.1,RF,0.87222,0.00019,0.02834,0.0045
culver,0.1,0.2,RF,0.87216,0.00021,0.02812,0.0043
culver,0.2,0.0,RF,0.87355,0.00047,0.04228,0.0189
culver,0.2,0.05,RF,0.87343,0.00047,0.04229,0.0189
culver,0.2,0.1,RF,0.8733,0.0005,0.04232,0.019
culver,0.2,0.2,RF,0.87304,0.0005,0.04191,0.0185
culver,0.3,0.0,RF,0.88286,0.00143,0.16008,0.1409
culver,0.3,0.05,RF,0.88159,0.00152,0.16034,0.1411
culver,0.3,0.1,RF,0.88037,0.00157,0.16024,0.141
culver,0.3,0.2,RF,0.87787,0.00154,0.15935,0.1401
