split,budget,bler_L,policy,F1,F1_std,payload,rho_feature
validate,0.1,0.0,RF,0.91108,0.00037,0.06857,0.0464
validate,0.1,0.01,RF,0.90945,0.00037,0.06857,0.0464
validate,0.1,0.05,RF,0.90296,0.0004,0.06857,0.0464
validate,0.1,0.1,RF,0.89485,0.00044,0.06857,0.0464
validate,0.2,0.0,RF,0.91172,0.00037,0.09986,0.0787
validate,0.2,0.01,RF,0.91016,0.00038,0.09986,0.0787
validate,0.2,0.05,RF,0.90394,0.00042,0.09986,0.0787
validate,0.2,0.1,RF,0.89617,0.00046,0.09986,0.0787
validate,0.3,0.0,RF,0.91307,0.00039,0.15781,0.1387
validate,0.3,0.01,RF,0.91161,0.0004,0.15781,0.1387
validate,0.3,0.05,RF,0.90577,0.00044,0.15781,0.1387
validate,0.3,0.1,RF,0.89847,0.00049,0.15781,0.1387
test,0.1,0.0,RF,0.90326,0.00063,0.06798,0.0456
test,0.1,0.01,RF,0.90249,0.00063,0.06798,0.0456
test,0.1,0.05,RF,0.89938,0.00063,0.06798,0.0456
test,0.1,0.1,RF,0.89551,0.00064,0.06798,0.0456
test,0.2,0.0,RF,0.90463,0.0006,0.09472,0.0732
test,0.2,0.01,RF,0.90387,0.0006,0.09472,0.0732
test,0.2,0.05,RF,0.90085,0.00061,0.09472,0.0732
test,0.2,0.1,RF,0.89707,0.00061,0.09472,0.0732
test,0.3,0.0,RF,0.90734,0.00074,0.18703,0.1688
test,0.3,0.01,RF,0.90667,0.00074,0.18703,0.1688
test,0.3,0.05,RF,0.90398,0.00075,0.18703,0.1688
test,0.3,0.1,RF,0.90061,0.00076,0.18703,0.1688
culver,0.1,0.0,RF,0.8723,0.0001,0.02832,0.0045
culver,0.1,0.01,RF,0.87127,0.0001,0.02832,0.0045
culver,0.1,0.05,RF,0.86717,0.00011,0.02832,0.0045
culver,0.1,0.1,RF,0.86205,0.00013,0.02832,0.0045
culver,0.2,0.0,RF,0.87355,0.00047,0.04228,0.0189
culver,0.2,0.01,RF,0.87253,0.00047,0.04228,0.0189
culver,0.2,0.05,RF,0.86845,0.00048,0.04228,0.0189
culver,0.2,0.1,RF,0.86336,0.00048,0.04228,0.0189
culver,0.3,0.0,RF,0.88286,0.00143,0.16008,0.1409
culver,0.3,0.01,RF,0.88198,0.00144,0.16008,0.1409
culver,0.3,0.05,RF,0.87844,0.00148,0.16008,0.1409
culver,0.3,0.1,RF,0.87403,0.00153,0.16008,0.1409
