split,budget,rician_K,snr_db,feed,bler_F,F1,payload,rho_feature_request,note
validate,0.1,0.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,0.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,0.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,0.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,0.0,8.0,rayleigh=0,1.0,0.90688,0.0311,0.0076,bracketing variant / not deployed behavior
validate,0.1,0.0,10.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,0.0,12.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,0.0,14.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,0.0,16.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,0.0,18.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,0.0,20.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.2,0.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,0.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,0.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,0.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,0.0,8.0,rayleigh=0,1.0,0.90693,0.02717,0.0035,bracketing variant / not deployed behavior
validate,0.2,0.0,10.0,rayleigh=0,1.0,0.8502,0.29708,0.2828,bracketing variant / not deployed behavior
validate,0.2,0.0,12.0,rayleigh=0,1.0,0.84968,0.30001,0.2859,bracketing variant / not deployed behavior
validate,0.2,0.0,14.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,0.0,16.0,rayleigh=0,1.0,0.84953,0.30098,0.2869,bracketing variant / not deployed behavior
validate,0.2,0.0,18.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,0.0,20.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.3,0.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,0.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,0.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,0.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,0.0,8.0,rayleigh=0,1.0,0.90454,0.08444,0.0626,bracketing variant / not deployed behavior
validate,0.3,0.0,10.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,0.0,12.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,0.0,14.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,0.0,16.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,0.0,18.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,0.0,20.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.1,3.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,3.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,3.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,3.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,3.0,8.0,rayleigh=0,1.0,0.90688,0.0311,0.0076,bracketing variant / not deployed behavior
validate,0.1,3.0,10.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,3.0,12.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,3.0,14.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,3.0,16.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,3.0,18.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,3.0,20.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.2,3.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,3.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,3.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,3.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,3.0,8.0,rayleigh=0,1.0,0.90693,0.02717,0.0035,bracketing variant / not deployed behavior
validate,0.2,3.0,10.0,rayleigh=0,1.0,0.8502,0.29708,0.2828,bracketing variant / not deployed behavior
validate,0.2,3.0,12.0,rayleigh=0,1.0,0.84968,0.30001,0.2859,bracketing variant / not deployed behavior
validate,0.2,3.0,14.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,3.0,16.0,rayleigh=0,1.0,0.84953,0.30098,0.2869,bracketing variant / not deployed behavior
validate,0.2,3.0,18.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,3.0,20.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.3,3.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,3.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,3.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,3.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,3.0,8.0,rayleigh=0,1.0,0.90454,0.08444,0.0626,bracketing variant / not deployed behavior
validate,0.3,3.0,10.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,3.0,12.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,3.0,14.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,3.0,16.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,3.0,18.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,3.0,20.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.1,10.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,10.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,10.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,10.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.1,10.0,8.0,rayleigh=0,1.0,0.90688,0.0311,0.0076,bracketing variant / not deployed behavior
validate,0.1,10.0,10.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,10.0,12.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,10.0,14.0,rayleigh=0,1.0,0.87464,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,10.0,16.0,rayleigh=0,0.958,0.87662,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,10.0,18.0,rayleigh=0,0.7071,0.88842,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.1,10.0,20.0,rayleigh=0,0.3531,0.90506,0.18434,0.1662,bracketing variant / not deployed behavior
validate,0.2,10.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,10.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,10.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,10.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.2,10.0,8.0,rayleigh=0,1.0,0.90693,0.02717,0.0035,bracketing variant / not deployed behavior
validate,0.2,10.0,10.0,rayleigh=0,1.0,0.8502,0.29708,0.2828,bracketing variant / not deployed behavior
validate,0.2,10.0,12.0,rayleigh=0,1.0,0.84968,0.30001,0.2859,bracketing variant / not deployed behavior
validate,0.2,10.0,14.0,rayleigh=0,1.0,0.84966,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,10.0,16.0,rayleigh=0,0.958,0.85268,0.30098,0.2869,bracketing variant / not deployed behavior
validate,0.2,10.0,18.0,rayleigh=0,0.7071,0.87154,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.2,10.0,20.0,rayleigh=0,0.3531,0.89798,0.30049,0.2864,bracketing variant / not deployed behavior
validate,0.3,10.0,0.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,10.0,2.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,10.0,4.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,10.0,6.0,rayleigh=0,1.0,0.90715,0.02376,0.0,bracketing variant / not deployed behavior
validate,0.3,10.0,8.0,rayleigh=0,1.0,0.90454,0.08444,0.0626,bracketing variant / not deployed behavior
validate,0.3,10.0,10.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,10.0,12.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,10.0,14.0,rayleigh=0,1.0,0.81495,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,10.0,16.0,rayleigh=0,0.958,0.81976,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,10.0,18.0,rayleigh=0,0.7071,0.84849,0.50206,0.4949,bracketing variant / not deployed behavior
validate,0.3,10.0,20.0,rayleigh=0,0.3531,0.889,0.50206,0.4949,bracketing variant / not deployed behavior
test,0.1,0.0,0.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,0.0,2.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,0.0,4.0,rayleigh=0,1.0,0.90065,0.02385,0.0,bracketing variant / not deployed behavior
test,0.1,0.0,6.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,0.0,8.0,rayleigh=0,1.0,0.901,0.02388,0.0,bracketing variant / not deployed behavior
test,0.1,0.0,10.0,rayleigh=0,1.0,0.88482,0.15974,0.1406,bracketing variant / not deployed behavior
test,0.1,0.0,12.0,rayleigh=0,1.0,0.88054,0.18468,0.1664,bracketing variant / not deployed behavior
test,0.1,0.0,14.0,rayleigh=0,1.0,0.87942,0.19091,0.1728,bracketing variant / not deployed behavior
test,0.1,0.0,16.0,rayleigh=0,1.0,0.87963,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,0.0,18.0,rayleigh=0,1.0,0.87957,0.19047,0.1724,bracketing variant / not deployed behavior
test,0.1,0.0,20.0,rayleigh=0,1.0,0.8797,0.19002,0.1719,bracketing variant / not deployed behavior
test,0.2,0.0,0.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,0.0,2.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,0.0,4.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,0.0,6.0,rayleigh=0,1.0,0.90113,0.02398,0.0,bracketing variant / not deployed behavior
test,0.2,0.0,8.0,rayleigh=0,1.0,0.90113,0.024,0.0,bracketing variant / not deployed behavior
test,0.2,0.0,10.0,rayleigh=0,1.0,0.8732,0.27151,0.2562,bracketing variant / not deployed behavior
test,0.2,0.0,12.0,rayleigh=0,1.0,0.87171,0.28442,0.2696,bracketing variant / not deployed behavior
test,0.2,0.0,14.0,rayleigh=0,1.0,0.87121,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,0.0,16.0,rayleigh=0,1.0,0.87128,0.2862,0.2714,bracketing variant / not deployed behavior
test,0.2,0.0,18.0,rayleigh=0,1.0,0.87124,0.28531,0.2705,bracketing variant / not deployed behavior
test,0.2,0.0,20.0,rayleigh=0,1.0,0.87143,0.28486,0.27,bracketing variant / not deployed behavior
test,0.3,0.0,0.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,0.0,2.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,0.0,4.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,0.0,6.0,rayleigh=0,1.0,0.90113,0.02397,0.0,bracketing variant / not deployed behavior
test,0.3,0.0,8.0,rayleigh=0,1.0,0.90097,0.03023,0.0065,bracketing variant / not deployed behavior
test,0.3,0.0,10.0,rayleigh=0,1.0,0.8447,0.58579,0.5816,bracketing variant / not deployed behavior
test,0.3,0.0,12.0,rayleigh=0,1.0,0.84175,0.6174,0.6143,bracketing variant / not deployed behavior
test,0.3,0.0,14.0,rayleigh=0,1.0,0.84093,0.62675,0.624,bracketing variant / not deployed behavior
test,0.3,0.0,16.0,rayleigh=0,1.0,0.84098,0.62586,0.623,bracketing variant / not deployed behavior
test,0.3,0.0,18.0,rayleigh=0,1.0,0.8411,0.62363,0.6207,bracketing variant / not deployed behavior
test,0.3,0.0,20.0,rayleigh=0,1.0,0.84128,0.62408,0.6212,bracketing variant / not deployed behavior
