split,budget,rician_K,feed,policy,F1,F1_std,payload,rho_feature,note
validate,0.1,0.0,rayleigh=0,RF,0.88918,0.00099,0.11316,0.0925,bracketing variant / not deployed behavior
validate,0.2,0.0,rayleigh=0,RF,0.87548,0.0013,0.17636,0.1579,bracketing variant / not deployed behavior
validate,0.3,0.0,rayleigh=0,RF,0.85618,0.00154,0.29282,0.2784,bracketing variant / not deployed behavior
validate,0.1,3.0,rayleigh=0,RF,0.88918,0.00099,0.11316,0.0925,bracketing variant / not deployed behavior
validate,0.2,3.0,rayleigh=0,RF,0.87548,0.0013,0.17636,0.1579,bracketing variant / not deployed behavior
validate,0.3,3.0,rayleigh=0,RF,0.85618,0.00154,0.29282,0.2784,bracketing variant / not deployed behavior
validate,0.1,10.0,rayleigh=0,RF,0.89225,0.00096,0.11316,0.0925,bracketing variant / not deployed behavior
validate,0.2,10.0,rayleigh=0,RF,0.88033,0.00124,0.17636,0.1579,bracketing variant / not deployed behavior
validate,0.3,10.0,rayleigh=0,RF,0.86361,0.00147,0.29282,0.2784,bracketing variant / not deployed behavior
test,0.1,0.0,rayleigh=0,RF,0.8897,0.00101,0.11225,0.0914,bracketing variant / not deployed behavior
test,0.2,0.0,rayleigh=0,RF,0.885,0.00111,0.16606,0.1471,bracketing variant / not deployed behavior
test,0.3,0.0,rayleigh=0,RF,0.86857,0.00131,0.35117,0.3387,bracketing variant / not deployed behavior
test,0.1,3.0,rayleigh=0,RF,0.8897,0.00101,0.11225,0.0914,bracketing variant / not deployed behavior
test,0.2,3.0,rayleigh=0,RF,0.885,0.00111,0.16606,0.1471,bracketing variant / not deployed behavior
test,0.3,3.0,rayleigh=0,RF,0.86857,0.00131,0.35117,0.3387,bracketing variant / not deployed behavior
test,0.1,10.0,rayleigh=0,RF,0.89175,0.00092,0.11225,0.0914,bracketing variant / not deployed behavior
test,0.2,10.0,rayleigh=0,RF,0.88779,0.00105,0.16606,0.1471,bracketing variant / not deployed behavior
test,0.3,10.0,rayleigh=0,RF,0.87397,0.00125,0.35117,0.3387,bracketing variant / not deployed behavior
culver,0.1,0.0,rayleigh=0,RF,0.87094,0.00034,0.03219,0.0085,bracketing variant / not deployed behavior
culver,0.2,0.0,rayleigh=0,RF,0.86976,0.00057,0.05979,0.0371,bracketing variant / not deployed behavior
culver,0.3,0.0,rayleigh=0,RF,0.84265,0.00193,0.29424,0.2798,bracketing variant / not deployed behavior
culver,0.1,3.0,rayleigh=0,RF,0.87094,0.00034,0.03219,0.0085,bracketing variant / not deployed behavior
culver,0.2,3.0,rayleigh=0,RF,0.86976,0.00057,0.05979,0.0371,bracketing variant / not deployed behavior
culver,0.3,3.0,rayleigh=0,RF,0.84265,0.00193,0.29424,0.2798,bracketing variant / not deployed behavior
culver,0.1,10.0,rayleigh=0,RF,0.87114,0.00033,0.03219,0.0085,bracketing variant / not deployed behavior
culver,0.2,10.0,rayleigh=0,RF,0.87037,0.00053,0.05979,0.0371,bracketing variant / not deployed behavior
culver,0.3,10.0,rayleigh=0,RF,0.84893,0.00174,0.29424,0.2798,bracketing variant / not deployed behavior
