realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.8565173366373723,0.8722672574977729,0.8750269988741655,0.020945454545454545,0.02575636363636363,0.07669090909090907,-0.015749920860400612,-0.0048109090909090844,-0.01850966223679318,-0.05574545454545453
1,0.857421325302498,0.872248247686899,0.8750914140481976,0.021032727272727272,0.02751272727272727,0.07317818181818182,-0.014826922384400976,-0.006479999999999996,-0.01767008874569953,-0.05214545454545455
2,0.8565090332981152,0.8723024635448906,0.8763551292261658,0.021076363636363633,0.029269090909090908,0.09601090909090909,-0.015793430246775375,-0.008192727272727275,-0.019846095928050533,-0.07493454545454546
3,0.8570215172705825,0.8723209340217415,0.8743927412746282,0.021250909090909088,0.029269090909090908,0.06615272727272728,-0.015299416751158978,-0.00801818181818182,-0.01737122400404567,-0.044901818181818196
4,0.8573164580073409,0.8723603696908423,0.8746750428754209,0.021207272727272724,0.03102545454545454,0.08020363636363635,-0.015043911683501388,-0.009818181818181816,-0.01735858486807995,-0.058996363636363625
5,0.8557400878593742,0.872248247686899,0.8736864073239846,0.020901818181818178,0.02751272727272727,0.07142181818181818,-0.01650815982752485,-0.006610909090909091,-0.01794631946461045,-0.05052000000000001
6,0.8562990524629496,0.8721551354938296,0.8745184920060814,0.021032727272727272,0.023999999999999997,0.060883636363636355,-0.01585608303088004,-0.0029672727272727246,-0.018219439543131877,-0.03985090909090908
7,0.8566287783880894,0.8723070280038157,0.8752714004786503,0.021076363636363633,0.03102545454545454,0.08020363636363635,-0.01567824961572628,-0.009949090909090907,-0.01864262209056089,-0.05912727272727272
8,0.8567162524193453,0.8722234043896847,0.876585382271195,0.020901818181818178,0.02575636363636363,0.09249818181818183,-0.015507151970339361,-0.004854545454545452,-0.019869129851849632,-0.07159636363636365
9,0.8567680154030146,0.872223249198307,0.8748431821101562,0.021207272727272727,0.02575636363636363,0.08196,-0.015455233795292345,-0.004549090909090902,-0.0180751667071416,-0.06075272727272728
10,0.8562326354028813,0.8722590964517231,0.874465191471057,0.021207272727272724,0.02751272727272727,0.06264,-0.016026461048841756,-0.006305454545454545,-0.018232556068175643,-0.041432727272727274
11,0.8567200445872681,0.8723024635448906,0.8765900975274605,0.020945454545454545,0.029269090909090908,0.07844727272727273,-0.015582418957622468,-0.008323636363636363,-0.019870052940192395,-0.05750181818181818
12,0.8556643223672323,0.8721551354938296,0.8763115897074841,0.020814545454545454,0.023999999999999997,0.07142181818181817,-0.01649081312659728,-0.0031854545454545434,-0.020647267340251796,-0.050607272727272716
13,0.8568941129525135,0.8723235836716822,0.8750030471546613,0.021207272727272727,0.029269090909090908,0.0679090909090909,-0.01542947071916867,-0.00806181818181818,-0.018108934202147764,-0.04670181818181818
14,0.8562737015650708,0.8721969327770063,0.874702147894769,0.021032727272727272,0.02575636363636363,0.0679090909090909,-0.015923231211935507,-0.004723636363636357,-0.0184284463296982,-0.04687636363636363
15,0.8575278695027292,0.8721551354938296,0.874330491478813,0.021294545454545455,0.02575636363636363,0.06439636363636363,-0.014627265991100424,-0.0044618181818181744,-0.016802621976083842,-0.04310181818181817
16,0.8559135686545396,0.8722672574977729,0.8765831637445151,0.02103272727272727,0.02751272727272727,0.08371636363636364,-0.016353688843233294,-0.00648,-0.020669595089975457,-0.06268363636363637
17,0.8575742323623698,0.872368579080314,0.8756644353741115,0.021250909090909088,0.02751272727272727,0.06966545454545454,-0.014794346717944107,-0.006261818181818181,-0.01809020301174169,-0.04841454545454546
