realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.9068202929568265,0.9116981176099626,0.908963829288264,0.02362424242424243,0.10234242424242425,0.21036969696969698,-0.00487782465313602,-0.07871818181818183,-0.00214353633143749,-0.18674545454545455
1,0.9068587264673222,0.9117868384124771,0.9088970312054818,0.023636363636363643,0.10086666666666667,0.21378484848484847,-0.004928111945154856,-0.07723030303030304,-0.00203830473815958,-0.19014848484848482
2,0.9067070053439291,0.9114267521447065,0.9087887332477662,0.02362424242424243,0.08914545454545454,0.22207878787878788,-0.004719746800777358,-0.06552121212121212,-0.002081727903837094,-0.19845454545454544
3,0.9066737123626782,0.9112235787993119,0.9089680513834792,0.02362424242424243,0.09843939393939395,0.21720000000000003,-0.004549866436633687,-0.07481515151515153,-0.002294339020801006,-0.1935757575757576
4,0.9068683369493584,0.9121409617786761,0.9093935919500636,0.023612121212121216,0.10378181818181818,0.23086060606060607,-0.005272624829317674,-0.08016969696969697,-0.0025252550007052177,-0.20724848484848485
5,0.9067581344843031,0.9111076056271695,0.908968315853561,0.023612121212121216,0.09452424242424243,0.2147606060606061,-0.0043494711428664345,-0.0709121212121212,-0.0022101813692578798,-0.19114848484848487
6,0.9067804412578511,0.9121355311717692,0.9097161856475132,0.023600000000000003,0.1013909090909091,0.21183333333333332,-0.005355089913918087,-0.0777909090909091,-0.002935744389662154,-0.1882333333333333
7,0.9067991195162914,0.9118176921920569,0.9089694665532889,0.023600000000000003,0.09889090909090911,0.21622424242424243,-0.0050185726757654425,-0.0752909090909091,-0.0021703470369974776,-0.19262424242424242
8,0.9067700516442443,0.9116542460446727,0.9093752279648059,0.02408787878787879,0.09402424242424243,0.21768787878787882,-0.004884194400428421,-0.06993636363636363,-0.002605176320561564,-0.19360000000000002
9,0.9068144994661339,0.9122725479799827,0.9099859516888491,0.023636363636363643,0.09845151515151516,0.20793030303030302,-0.00545804851384879,-0.07481515151515153,-0.0031714522227151987,-0.18429393939393937
10,0.9067522265595482,0.9120893302742051,0.9097944023442622,0.023587878787878793,0.10822121212121213,0.22500606060606063,-0.005337103714656899,-0.08463333333333334,-0.0030421757847139963,-0.20141818181818183
11,0.9067748916339375,0.9118981552881886,0.9093387335608266,0.023600000000000003,0.10331818181818184,0.21866363636363637,-0.005123263654251087,-0.07971818181818183,-0.0025638419268890766,-0.19506363636363636
12,0.9068236988689826,0.9111989138259858,0.9086778714293009,0.02362424242424243,0.09892727272727274,0.23525151515151516,-0.004375214957003215,-0.07530303030303032,-0.001854172560318279,-0.21162727272727272
13,0.9067221362618686,0.9122267508925559,0.9098488720088755,0.023587878787878793,0.1042939393939394,0.2250060606060606,-0.005504614630687299,-0.0807060606060606,-0.003126735747006948,-0.2014181818181818
14,0.9068788741810183,0.9120032648568684,0.909503894255785,0.023660606060606063,0.10524545454545454,0.2162242424242424,-0.005124390675850132,-0.08158484848484848,-0.0026250200747667263,-0.19256363636363633
15,0.9068111186423691,0.9118774921248946,0.9097803442943704,0.023648484848484853,0.09942727272727274,0.21476060606060607,-0.005066373482525477,-0.07577878787878789,-0.002969225652001306,-0.1911121212121212
16,0.906853983030297,0.9123368465019214,0.9098176295276531,0.024124242424242427,0.10966060606060607,0.22256666666666666,-0.005482863471624411,-0.08553636363636365,-0.0029636464973561427,-0.19844242424242423
17,0.9066990335189025,0.9118959272413009,0.9094458691402441,0.023636363636363643,0.10625757575757576,0.21622424242424243,-0.005196893722398399,-0.08262121212121212,-0.0027468356213415923,-0.19258787878787878
18,0.9068118954882094,0.9113962781081458,0.9092085215341517,0.023648484848484853,0.09651212121212123,0.20793030303030302,-0.0045843826199364335,-0.07286363636363638,-0.002396626045942263,-0.18428181818181816
19,0.9068316762464685,0.9119038568520139,0.9094333673888824,0.023636363636363643,0.09841515151515151,0.22256666666666666,-0.005072180605545373,-0.07477878787878786,-0.00260169114241382,-0.198930303030303
20,0.9068553674725774,0.9109949942350216,0.9089298689573782,0.023636363636363643,0.09306060606060608,0.2176878787878788,-0.004139626762444171,-0.06942424242424244,-0.002074501484800706,-0.19405151515151514
21,0.9068059204901109,0.9115552596227589,0.9089633133389227,0.02357575757575758,0.09793939393939394,0.2211030303030303,-0.004749339132647967,-0.07436363636363635,-0.002157392848811779,-0.19752727272727272
22,0.9067767825278921,0.9120533965191127,0.9098287798542861,0.023636363636363643,0.10474545454545456,0.22207878787878788,-0.005276613991220591,-0.08110909090909091,-0.0030519973263940514,-0.19844242424242423
23,0.9068565929106892,0.9121588668645426,0.9094861217735792,0.02407575757575758,0.10380606060606061,0.21232121212121216,-0.005302273953853409,-0.07973030303030303,-0.0026295288628900293,-0.18824545454545458
24,0.9067443353787081,0.9120818660809867,0.909427281203944,0.023600000000000003,0.10770909090909092,0.21768787878787882,-0.005337530702278603,-0.08410909090909091,-0.0026829458252358718,-0.1940878787878788
25,0.9067426344589423,0.9118163785994606,0.909173731937144,0.02362424242424243,0.10284242424242425,0.2284212121212121,-0.00507374414051831,-0.07921818181818183,-0.0024310974782016936,-0.20479696969696967
26,0.906690460819381,0.9116039941025882,0.9095964785760634,0.023587878787878793,0.10281818181818182,0.21720000000000003,-0.004913533283207205,-0.07923030303030303,-0.002906017756682422,-0.19361212121212124
27,0.9067593526537474,0.9123514798569283,0.9094077611506161,0.023636363636363643,0.11356363636363637,0.22451818181818184,-0.005592127203180919,-0.08992727272727272,-0.0026484084968686483,-0.2008818181818182
28,0.9068353962477728,0.9125934461030552,0.9103970666629192,0.023660606060606063,0.11456363636363637,0.22061515151515151,-0.005758049855282388,-0.0909030303030303,-0.003561670415146434,-0.19695454545454544
29,0.9068455725536916,0.9114420681520793,0.9085468819524757,0.023636363636363643,0.09648787878787879,0.2137848484848485,-0.0045964955983877065,-0.07285151515151514,-0.001701309398784101,-0.19014848484848484
30,0.906788587755288,0.9117429011199437,0.9097013968282317,0.023648484848484853,0.09989090909090909,0.21378484848484847,-0.0049543133646556825,-0.07624242424242424,-0.0029128090729436673,-0.1901363636363636
31,0.906788587755288,0.9118401006228306,0.909198602152972,0.023648484848484853,0.09553636363636364,0.21232121212121213,-0.0050515128675425736,-0.07188787878787879,-0.002410014397683957,-0.18867272727272727
32,0.906754806533022,0.9122942790886095,0.9102326309414545,0.023600000000000003,0.1042939393939394,0.2215909090909091,-0.00553947255558751,-0.0806939393939394,-0.0034778244084324728,-0.19799090909090908
33,0.9067322521207,0.911431866784104,0.9086863502531838,0.023636363636363643,0.1033060606060606,0.2215909090909091,-0.0046996146634040725,-0.07966969696969695,-0.001954098132483817,-0.19795454545454544
34,0.9067960352541213,0.9120766456599152,0.9093429912217096,0.023648484848484853,0.10576969696969699,0.2211030303030303,-0.005280610405793862,-0.08212121212121214,-0.002546955967588249,-0.19745454545454544
35,0.906748970315505,0.9111566380476215,0.9087633677819936,0.02362424242424243,0.096,0.21524848484848486,-0.004407667732116427,-0.07237575757575757,-0.002014397466488571,-0.19162424242424242
