lam,payload,f1,frac_C256,frac_C16,frac_L
0.0,0.1378,0.8891,0.0,0.24151,0.75849
0.001,0.1276,0.8891,0.04085,0.20052,0.75864
0.00124,0.1275,0.8891,0.04087,0.20044,0.75869
0.00155,0.1275,0.8891,0.04092,0.20035,0.75873
0.00193,0.1274,0.8891,0.04104,0.20013,0.75884
0.0024,0.1272,0.8891,0.04115,0.19956,0.75929
0.00298,0.1271,0.8891,0.04131,0.19925,0.75945
0.00371,0.1268,0.8891,0.04138,0.19861,0.76001
0.00461,0.1261,0.8891,0.04148,0.197,0.76152
0.00574,0.1254,0.889,0.04168,0.19547,0.76285
0.00714,0.1249,0.889,0.0418,0.19444,0.76376
0.00888,0.1242,0.889,0.04188,0.19294,0.76518
0.01105,0.1236,0.889,0.04213,0.1915,0.76637
0.01374,0.1231,0.889,0.04237,0.19023,0.7674
0.0171,0.1218,0.889,0.04282,0.18735,0.76984
0.02127,0.1204,0.889,0.04319,0.18428,0.77253
0.02647,0.1179,0.8889,0.04393,0.1785,0.77757
0.03293,0.1155,0.8889,0.04482,0.17309,0.78209
0.04096,0.1125,0.8887,0.04528,0.1665,0.78822
0.05096,0.1057,0.8884,0.04541,0.15202,0.80257
0.0634,0.0997,0.8881,0.04558,0.13907,0.81535
0.07887,0.0951,0.8878,0.04551,0.12946,0.82503
0.09812,0.0861,0.887,0.04415,0.11092,0.84494
0.12207,0.075,0.8858,0.04096,0.08889,0.87015
0.15186,0.065,0.8844,0.03897,0.06859,0.89244
0.18892,0.0567,0.883,0.03566,0.05243,0.91191
0.23504,0.0493,0.8814,0.02979,0.03956,0.93065
0.2924,0.041,0.8792,0.02482,0.02441,0.95077
0.36377,0.0337,0.8769,0.01886,0.01168,0.96945
0.45255,0.0276,0.8744,0.01385,0.00108,0.98506
0.56301,0.026,0.8736,0.00906,0.0,0.99094
0.70042,0.025,0.873,0.0045,0.0,0.9955
0.87138,0.0243,0.8724,0.00119,0.0,0.99881
1.08406,0.024,0.8722,0.0,0.0,1.0
1.34865,0.024,0.8722,0.0,0.0,1.0
1.67781,0.024,0.8722,0.0,0.0,1.0
2.08732,0.024,0.8722,0.0,0.0,1.0
2.59677,0.024,0.8722,0.0,0.0,1.0
3.23057,0.024,0.8722,0.0,0.0,1.0
4.01906,0.024,0.8722,0.0,0.0,1.0
5.0,0.024,0.8722,0.0,0.0,1.0
