lam,payload,f1,frac_C256,frac_C16,frac_L
0.0,0.0886,0.9129,6e-05,0.13717,0.86277
0.001,0.0822,0.9129,0.02536,0.11164,0.863
0.00124,0.0822,0.9129,0.02538,0.11159,0.86303
0.00155,0.0819,0.9129,0.02542,0.11088,0.8637
0.00193,0.0816,0.9129,0.02543,0.11026,0.86432
0.0024,0.0814,0.9129,0.02545,0.10975,0.8648
0.00298,0.0808,0.9129,0.0254,0.10865,0.86595
0.00371,0.0804,0.9129,0.02535,0.1078,0.86685
0.00461,0.0802,0.9129,0.02532,0.10741,0.86728
0.00574,0.0795,0.9129,0.02507,0.10598,0.86895
0.00714,0.0792,0.9129,0.02501,0.10538,0.86961
0.00888,0.0788,0.9129,0.025,0.10458,0.87042
0.01105,0.0785,0.9129,0.02479,0.10391,0.8713
0.01374,0.0779,0.9129,0.02494,0.10259,0.87247
0.0171,0.0769,0.9129,0.02491,0.10041,0.87468
0.02127,0.0759,0.9129,0.02504,0.0984,0.87657
0.02647,0.0739,0.9128,0.02507,0.09395,0.88098
0.03293,0.0699,0.9127,0.025,0.08564,0.88937
0.04096,0.0665,0.9126,0.02491,0.0785,0.89659
0.05096,0.0633,0.9124,0.02469,0.0717,0.90361
0.0634,0.0582,0.9121,0.02358,0.06144,0.91497
0.07887,0.0515,0.9117,0.02161,0.04816,0.93023
0.09812,0.0462,0.9112,0.02065,0.03724,0.94211
0.12207,0.041,0.9106,0.01814,0.02748,0.95438
0.15186,0.0371,0.9101,0.01575,0.02042,0.96383
0.18892,0.0328,0.9094,0.01236,0.01283,0.97481
0.23504,0.0296,0.9087,0.00977,0.00717,0.98306
0.2924,0.0275,0.9081,0.00726,0.00398,0.98877
0.36377,0.0257,0.9075,0.00484,0.00122,0.99394
0.45255,0.0248,0.9072,0.00317,0.0001,0.99673
0.56301,0.0244,0.907,0.00174,0.0,0.99826
0.70042,0.0241,0.9068,0.00057,0.0,0.99943
0.87138,0.024,0.9068,0.00013,0.0,0.99987
1.08406,0.024,0.9067,0.0,0.0,1.0
1.34865,0.024,0.9067,0.0,0.0,1.0
1.67781,0.024,0.9067,0.0,0.0,1.0
2.08732,0.024,0.9067,0.0,0.0,1.0
2.59677,0.024,0.9067,0.0,0.0,1.0
3.23057,0.024,0.9067,0.0,0.0,1.0
4.01906,0.024,0.9067,0.0,0.0,1.0
5.0,0.024,0.9067,0.0,0.0,1.0
