split,tau,f1,payload
culver,0.0,0.8681,0.2603
culver,0.5,0.8694,0.2544
culver,1.0,0.8706,0.2486
culver,1.5,0.8719,0.2427
culver,2.0,0.8732,0.2366
culver,2.5,0.8745,0.2307
culver,3.0,0.8758,0.225
culver,3.5,0.877,0.2193
culver,4.0,0.8784,0.2132
culver,4.5,0.8796,0.2074
culver,5.0,0.8809,0.2017
culver,5.5,0.8822,0.1957
culver,6.0,0.8835,0.1897
culver,6.5,0.8847,0.1839
culver,7.0,0.886,0.1781
culver,7.5,0.887,0.1722
culver,8.0,0.8874,0.1661
culver,8.5,0.8874,0.1601
culver,9.0,0.8872,0.1543
culver,9.5,0.8868,0.1485
culver,10.0,0.8863,0.1426
culver,10.5,0.8855,0.1364
culver,11.0,0.8848,0.1306
culver,11.5,0.8841,0.1247
culver,12.0,0.8834,0.1189
culver,12.5,0.8827,0.1128
culver,13.0,0.882,0.107
culver,13.5,0.8812,0.1009
culver,14.0,0.8805,0.095
culver,14.5,0.8799,0.0892
culver,15.0,0.8792,0.0834
culver,15.5,0.8784,0.0773
culver,16.0,0.8778,0.0714
culver,16.5,0.877,0.0654
culver,17.0,0.8763,0.0596
culver,17.5,0.8756,0.0538
culver,18.0,0.8749,0.0477
culver,18.5,0.8742,0.0419
culver,19.0,0.8735,0.036
culver,19.5,0.8728,0.0299
culver,20.0,0.8722,0.024
