split,tau,f1,payload
validate,0.0,0.876,0.26
validate,0.5,0.8781,0.2542
validate,1.0,0.8803,0.2482
validate,1.5,0.8825,0.2422
validate,2.0,0.8846,0.2363
validate,2.5,0.8868,0.2304
validate,3.0,0.8889,0.2246
validate,3.5,0.891,0.2187
validate,4.0,0.8932,0.2128
validate,4.5,0.8953,0.2069
validate,5.0,0.8974,0.2011
validate,5.5,0.8995,0.1952
validate,6.0,0.9016,0.1894
validate,6.5,0.9038,0.1835
validate,7.0,0.9059,0.1777
validate,7.5,0.9076,0.1719
validate,8.0,0.9087,0.166
validate,8.5,0.9094,0.16
validate,9.0,0.9098,0.1541
validate,9.5,0.91,0.1481
validate,10.0,0.91,0.1423
validate,10.5,0.9098,0.1362
validate,11.0,0.9096,0.1304
validate,11.5,0.9095,0.1244
validate,12.0,0.9093,0.1186
validate,12.5,0.9091,0.1127
validate,13.0,0.909,0.1068
validate,13.5,0.9088,0.1009
validate,14.0,0.9087,0.095
validate,14.5,0.9085,0.0891
validate,15.0,0.9083,0.0831
validate,15.5,0.9082,0.0771
validate,16.0,0.908,0.0711
validate,16.5,0.9079,0.0651
validate,17.0,0.9077,0.0593
validate,17.5,0.9076,0.0534
validate,18.0,0.9074,0.0475
validate,18.5,0.9072,0.0417
validate,19.0,0.9071,0.0358
validate,19.5,0.9069,0.0299
validate,20.0,0.9067,0.024
