split,policy,channel,snr_db,ap30,ap50,ap70,rho_L,ap50_std
culver,Fixed-L,-,-,0.8238911308202913,0.8113704237029039,0.7240421050642621,,
culver,Feature-ceiling,-,-,0.8789690163233983,0.8720032133011364,0.7767751697395504,,
culver,CA-TOSG,awgn,0.0,0.8238911308202914,0.8113704237029038,0.7240421050642621,1.0,1.1102230246251565e-16
culver,CA-TOSG,awgn,8.0,0.8238911308202914,0.8113704237029038,0.7240421050642621,1.0,1.1102230246251565e-16
culver,CA-TOSG,awgn,12.0,0.8239913127936674,0.8115609771897037,0.7242305169005139,0.9654545454545455,1.2734563829885914e-05
culver,CA-TOSG,awgn,14.0,0.8734433989127023,0.8651424476206712,0.7707149536495677,0.19818181818181818,0.0006025619480069881
culver,CA-TOSG,awgn,16.0,0.8745484979974789,0.8663983289937462,0.771152367910975,0.2,0.0
culver,CA-TOSG,awgn,20.0,0.8673248439750469,0.8584430589045301,0.7629778804450892,0.34363636363636363,1.1102230246251565e-16
culver,CA-TOSG,rayleigh,0.0,0.8238911308202914,0.8113704237029038,0.7240421050642621,1.0,1.1102230246251565e-16
culver,CA-TOSG,rayleigh,10.0,0.8238911308202914,0.8113704237029038,0.7240421050642621,1.0,1.1102230246251565e-16
culver,CA-TOSG,rayleigh,20.0,0.8238911308202914,0.8113704237029038,0.7240421050642621,1.0,1.1102230246251565e-16
