split,policy,channel,snr_db,ap30,ap50,ap70,rho_L,ap50_std
culver,Fixed-L,-,-,0.7950789533994621,0.782832337566024,0.6975197899456598,,
culver,Feature-ceiling,-,-,0.8789690163233983,0.8720032133011364,0.7767751697395504,,
culver,ego-only,-,-,0.6324421676260453,0.618530268627966,0.5311825411896717,,
culver,CA-TOSG,awgn,0.0,0.7950789533994621,0.782832337566024,0.6975197899456598,1.0,0.0
culver,CA-TOSG,awgn,8.0,0.7950789533994621,0.782832337566024,0.6975197899456598,1.0,0.0
culver,CA-TOSG,awgn,12.0,0.8638949526492656,0.8534680037851835,0.7531320876339247,0.46,1.1102230246251565e-16
culver,CA-TOSG,awgn,14.0,0.865559720608173,0.8552156154100047,0.7544225499472699,0.44,1.1102230246251565e-16
culver,CA-TOSG,awgn,16.0,0.8670675337746057,0.8566589365597063,0.7559751398038845,0.43454545454545457,0.0
culver,CA-TOSG,awgn,20.0,0.8507329658782419,0.8401078759347425,0.7400456928773621,0.5690909090909091,1.1102230246251565e-16
culver,CA-TOSG,rayleigh,0.0,0.7950789533994621,0.782832337566024,0.6975197899456598,1.0,0.0
culver,CA-TOSG,rayleigh,10.0,0.7950789533994621,0.782832337566024,0.6975197899456598,1.0,0.0
culver,CA-TOSG,rayleigh,20.0,0.7950789533994621,0.782832337566024,0.6975197899456598,1.0,0.0
