split,policy,channel,snr_db,ap30,ap50,ap70,rho_L,ap50_std
validate,Fixed-L,-,-,0.895007418905229,0.8901631610914532,0.8359777658020692,,
validate,Feature-ceiling,-,-,0.9210133845395301,0.916865837650107,0.8675427069514974,,
validate,ego-only,-,-,0.6373213591781489,0.6115792724486525,0.5359632342577622,,
validate,CA-TOSG,awgn,0.0,0.895007418905229,0.8901631610914531,0.8359777658020692,1.0,1.1102230246251565e-16
validate,CA-TOSG,awgn,8.0,0.8944360249357126,0.8896315458765095,0.8352190966681874,0.9843434343434343,0.00039989181713494796
validate,CA-TOSG,awgn,12.0,0.920628669635262,0.9163661110675358,0.8570998427348007,0.38535353535353534,0.0
validate,CA-TOSG,awgn,14.0,0.9204454315259281,0.9162058055726469,0.8574447009517027,0.3702020202020202,0.0
validate,CA-TOSG,awgn,16.0,0.9204781551501316,0.9162734040578531,0.8576194255774523,0.37222222222222223,0.0
validate,CA-TOSG,awgn,20.0,0.9207414866788876,0.9165647783851446,0.8566259088950992,0.4393939393939394,0.0
validate,CA-TOSG,rayleigh,0.0,0.895007418905229,0.8901631610914531,0.8359777658020692,1.0,1.1102230246251565e-16
validate,CA-TOSG,rayleigh,10.0,0.895007418905229,0.8901631610914531,0.8359777658020692,1.0,1.1102230246251565e-16
validate,CA-TOSG,rayleigh,20.0,0.895007418905229,0.8901631610914531,0.8359777658020692,1.0,1.1102230246251565e-16
