split,policy,channel,snr_db,ap30,ap50,ap70,rho_L,ap50_std
validate,Fixed-L,-,-,0.8977058852999819,0.8928469909700679,0.8385634581354791,,
validate,Feature-ceiling,-,-,0.9210133845395301,0.916865837650107,0.8675427069514974,,
validate,CA-TOSG,awgn,0.0,0.8977058852999817,0.8928469909700679,0.838563458135479,1.0,0.0
validate,CA-TOSG,awgn,8.0,0.8977058852999817,0.8928469909700679,0.838563458135479,1.0,0.0
validate,CA-TOSG,awgn,12.0,0.8992379169971411,0.8947420360505751,0.8440665391486017,0.9085858585858586,5.23016492072201e-05
validate,CA-TOSG,awgn,14.0,0.9149380254235988,0.9110770177519326,0.8651742015424091,0.33131313131313134,0.00021727010998044046
validate,CA-TOSG,awgn,16.0,0.9161716005128575,0.9122930552655287,0.8662414966718636,0.32575757575757575,0.0
validate,CA-TOSG,awgn,20.0,0.9161959531087118,0.9123742480125598,0.8666544256653668,0.3621212121212121,0.0
validate,CA-TOSG,rayleigh,0.0,0.8977058852999817,0.8928469909700679,0.838563458135479,1.0,0.0
validate,CA-TOSG,rayleigh,10.0,0.8977058852999817,0.8928469909700679,0.838563458135479,1.0,0.0
validate,CA-TOSG,rayleigh,20.0,0.8977555974355879,0.8929037158954566,0.838680878214723,0.997979797979798,3.1054505600209545e-05
