tau,thr_f1,thr_rho
0.0,0.8614855384526452,1.0
1.0,0.8617364356798457,0.9493666666666668
2.0,0.8620052416406087,0.8994833333333331
3.0,0.8624171435690312,0.8504000000000002
4.0,0.8626861943007511,0.8013166666666663
5.0,0.8629758744162876,0.7515666666666669
6.0,0.8632917625036649,0.7007166666666665
7.0,0.8634725537700055,0.6512499999999997
8.0,0.8638384156467473,0.6012166666666668
9.0,0.8640976550137383,0.55055
10.0,0.8645231388521524,0.5015333333333334
11.0,0.8647228924683931,0.45270000000000044
12.0,0.8650387259812186,0.40218333333333334
13.0,0.8653919284302799,0.3513833333333334
14.0,0.8657435395173727,0.3016000000000001
15.0,0.866021877633451,0.2510166666666667
16.0,0.8663955327400396,0.19999999999999982
17.0,0.866811492498032,0.15073333333333333
18.0,0.8672210318282745,0.09991666666666661
19.0,0.8675042144831613,0.048966666666666686
20.0,0.8678981004804548,0.0
