bler_L,rep_cost,fixedL_f1,oracle_f1,oracle_payload,deployedRF_f1,deployedRF_payload,RF_gain_over_L
0.0,1,0.8867,0.8939,0.0737,0.8883,0.0813,0.0016
0.0,2,0.8867,0.8939,0.0952,0.8883,0.1024,0.0016
0.0,3,0.8867,0.8939,0.1166,0.8883,0.1235,0.0016
0.01,1,0.8841,0.8916,0.0856,0.8861,0.0813,0.002
0.01,2,0.8841,0.8916,0.1065,0.8861,0.1024,0.002
0.01,3,0.8841,0.8916,0.1274,0.8861,0.1235,0.002
0.05,1,0.8739,0.8825,0.093,0.8771,0.0813,0.0032
0.05,2,0.8739,0.8825,0.1135,0.8771,0.1024,0.0032
0.05,3,0.8739,0.8825,0.134,0.8771,0.1235,0.0032
0.1,1,0.861,0.8716,0.1073,0.8659,0.0813,0.0048
0.1,2,0.861,0.8716,0.1271,0.8659,0.1024,0.0048
0.1,3,0.861,0.8716,0.1469,0.8659,0.1235,0.0048
