feature,importance
est_snr_db,0.4049409235936143
channel_is_rayleigh,0.24473653892696978
pcd_mean_range,0.0329890252258565
pcd_std_range,0.02351755612440499
pcd_left_points,0.02120806137975911
pcd_max_range,0.02088571161184539
pcd_near_20m,0.020140342794399448
pcd_density_50_80,0.019534812042690905
pcd_mid_20_50m,0.019506514028828553
pcd_far_50_80m,0.019491669381171202
ego_num_objects,0.01949154228135207
pcd_front_far_50m,0.018848796706644255
pcd_density_0_20,0.01881552308697064
pcd_density_20_50,0.01846536618021356
pcd_front_points,0.017302248881550065
pcd_front_far_30m,0.016824200933068877
pcd_right_points,0.01649261279532835
pcd_back_points,0.015336137214215364
ego_origin_lidar_shape_0,0.013877553471848679
pcd_num_points,0.012700186757300816
num_cavs,0.0025468629932795567
pcd_very_far_80m,0.002347813588687553
ego_origin_lidar_shape_1,0.0
