feature,importance
pcd_mean_range,0.07620539976302845
pcd_max_range,0.07233249742086818
pcd_left_points,0.06059124885666384
pcd_front_far_30m,0.05924016837734028
pcd_std_range,0.058653976889600765
pcd_right_points,0.0578737119836854
pcd_density_50_80,0.05449612606918629
pcd_back_points,0.05359979022943658
pcd_far_50_80m,0.053415120091586235
pcd_near_20m,0.05318136334144235
pcd_front_points,0.05307538635652556
pcd_front_far_50m,0.05281081725148476
pcd_mid_20_50m,0.05258838554693636
pcd_density_20_50,0.05051447826750471
pcd_density_0_20,0.04952077228277791
ego_origin_lidar_shape_0,0.04403008612297624
pcd_num_points,0.04263372483269732
ego_num_objects,0.042464953597542154
pcd_very_far_80m,0.007934017369255555
num_cavs,0.004837975349461216
ego_origin_lidar_shape_1,0.0
