feature,importance
est_snr_db,0.5086827963912696
pcd_mean_range,0.039718462546166435
pcd_max_range,0.033789710516982006
pcd_left_points,0.030570974568657757
pcd_std_range,0.030200378999264543
pcd_front_far_30m,0.02862492031256922
pcd_near_20m,0.02787934815965236
pcd_mid_20_50m,0.027476009639402246
pcd_density_0_20,0.026426162224766913
pcd_front_points,0.02630872977909884
pcd_right_points,0.025440700407921985
pcd_back_points,0.025166757309517597
pcd_density_20_50,0.02492429440289063
pcd_front_far_50m,0.02484282254502397
pcd_far_50_80m,0.024022317004198535
ego_num_objects,0.023946709429099086
pcd_density_50_80,0.022188008562250443
pcd_num_points,0.021270808279865175
ego_origin_lidar_shape_0,0.021169281429845956
pcd_very_far_80m,0.004493270348639724
num_cavs,0.002857537142917026
ego_origin_lidar_shape_1,0.0
