snr_db,rf_frac_L,rf_AP,oracle_AP,jscc_AP,fixed_L_AP,rf_payload_Mbit
0.0,1.0,0.76,0.76,0.6977,0.76,0.024
2.0,1.0,0.76,0.76,0.7066666666666667,0.76,0.024
4.0,1.0,0.76,0.76,0.7156333333333333,0.76,0.024
6.0,1.0,0.76,0.76,0.7246,0.76,0.024
8.0,1.0,0.76,0.76,0.726,0.76,0.024
10.0,1.0,0.76,0.76,0.7274,0.76,0.024
12.0,1.0,0.76,0.76,0.7288,0.76,0.024
14.0,1.0,0.76,0.76,0.7287333333333333,0.76,0.024
16.0,0.9994949494949495,0.7599838888888889,0.76,0.7281,0.76,0.024987878787878687
18.0,0.9994949494949495,0.7599832828282828,0.76,0.7269,0.76,0.024987878787878687
20.0,0.997979797979798,0.7599341414141415,0.76,0.7274,0.76,0.02795151515151518
