sample_id,scene,snr_db,channel,a_star,pred_joint,pred_task_only,pred_channel_rule,p_E,p_L,p_F,q_F,q_L,Q_E,Q_L,Q_F,B_L_sym
0,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9132952751016338,0.08170472489836697,0.005,0.0,0.0,0.9523809523809524,0.9523809523809524,0.9523809523809524,1250.0
1,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9166242186993092,0.07837578130069117,0.005,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1500.0
2,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9196945254251669,0.0778054745748336,0.0025,0.0,0.0,0.9,0.9,0.9,1250.0
3,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9204396446087437,0.07456035539125672,0.005,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1500.0
4,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9209734391532923,0.07402656084670817,0.005,0.0,0.0,0.9,0.9,0.9,1500.0
5,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9257980722842227,0.06920192771577771,0.005,0.0,0.0,0.9,0.9,0.9,1250.0
6,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9119265306480275,0.08002971737913805,0.008043751972834873,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1250.0
7,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9165470084723425,0.0779092395548228,0.005543751972834873,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1250.0
8,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9273687561941929,0.06836738589360587,0.004263857912201491,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1250.0
9,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9270360078667724,0.07046399213322786,0.0025,0.0,0.0,0.8571428571428572,0.8571428571428572,0.8571428571428572,1250.0
10,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9197592196883729,0.07550696375347309,0.004733816558154173,0.0,0.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,1000.0
11,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9377618110295001,0.05750437241234619,0.004733816558154173,0.0,0.0,0.9230769230769232,0.9230769230769232,0.9230769230769232,1000.0
12,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9302838279435685,0.06611973152786256,0.003596440528569369,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1250.0
13,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9370901749411849,0.059313384530246316,0.003596440528569369,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1250.0
14,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.934992457728557,0.06141110174287426,0.003596440528569369,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1000.0
15,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9424928180515267,0.053910741419904734,0.003596440528569369,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1250.0
16,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9370355225834213,0.06160185344616406,0.0013626239704151958,0.0,0.0,0.8799999999999999,0.8799999999999999,0.8799999999999999,1000.0
17,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9387253768492064,0.05991199918037886,0.0013626239704151958,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1250.0
18,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9325796432099025,0.06492035679009817,0.0025,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1000.0
19,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9451595130647584,0.05484048693524216,0.0,0.0,0.0,0.96,0.96,0.96,1000.0
20,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9510332339815658,0.048966766018434686,0.0,0.0,0.0,0.96,0.96,0.96,1250.0
21,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9453235745449136,0.053138930493138954,0.0015374949619478887,0.0,0.0,0.9230769230769232,0.9230769230769232,0.9230769230769232,1250.0
22,2021_08_20_21_48_35,0,awgn,E,E,L,L,0.9492182126977446,0.04946182330873163,0.0013199639935240438,0.0,0.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,1000.0
