realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.8389458584196212,0.8466425612136569,0.8495948308418036,0.033676363636363636,0.023999999999999997,0.07669090909090907,-0.00769670279403567,0.00967636363636364,-0.010648972422182434,-0.04301454545454544
1,0.8392872389075162,0.8466425612136569,0.8498241608623333,0.04583999999999999,0.023999999999999997,0.07317818181818182,-0.007355322306140666,0.021839999999999995,-0.010536921954817036,-0.02733818181818183
2,0.8398869418277612,0.8466425612136569,0.8510281552630553,0.04241454545454544,0.023999999999999997,0.09601090909090909,-0.006755619385895639,0.018414545454545444,-0.011141213435294062,-0.05359636363636365
3,0.840713350968807,0.8466425612136569,0.8489650352036895,0.04105090909090909,0.023999999999999997,0.06615272727272728,-0.005929210244849936,0.017050909090909092,-0.00825168423488254,-0.02510181818181819
4,0.8393873517665619,0.8466425612136569,0.8494204607410318,0.03907636363636363,0.023999999999999997,0.08020363636363635,-0.007255209447095012,0.015076363636363634,-0.010033108974469962,-0.04112727272727272
5,0.8369676805198593,0.8466425612136569,0.8486284899749688,0.027796363636363633,0.023999999999999997,0.07142181818181818,-0.009674880693797627,0.003796363636363636,-0.0116608094551095,-0.04362545454545455
6,0.838323129396678,0.8466425612136569,0.8492978926055434,0.029814545454545448,0.023999999999999997,0.060883636363636355,-0.008319431816978917,0.005814545454545451,-0.010974763208865479,-0.031069090909090907
7,0.8381822742577628,0.8466425612136569,0.8497629783880455,0.04377818181818182,0.023999999999999997,0.08020363636363635,-0.00846028695589407,0.019778181818181823,-0.01158070413028267,-0.03642545454545453
8,0.8403731418445425,0.8466425612136569,0.8514720044177718,0.040701818181818186,0.023999999999999997,0.09249818181818183,-0.006269419369114404,0.01670181818181819,-0.01109886257322934,-0.05179636363636364
9,0.8386220635533318,0.8467227279604902,0.8495241812459211,0.036709090909090906,0.02575636363636363,0.08196,-0.008100664407158398,0.010952727272727277,-0.010902117692589308,-0.0452509090909091
10,0.8382679611015095,0.8466425612136569,0.8492984206341525,0.03666545454545454,0.023999999999999997,0.06264,-0.008374600112147412,0.012665454545454546,-0.011030459532643033,-0.02597454545454546
11,0.8386132943306407,0.8467926333637291,0.8513514920563483,0.040309090909090906,0.02575636363636363,0.07844727272727273,-0.008179339033088429,0.014552727272727276,-0.012738197725707612,-0.03813818181818182
12,0.8397194457246947,0.8467926333637291,0.8508084947604087,0.0529090909090909,0.02575636363636363,0.07142181818181817,-0.007073187639034417,0.02715272727272727,-0.01108904903571395,-0.01851272727272727
13,0.8388490306144407,0.8466425612136569,0.8498242862680294,0.03864,0.023999999999999997,0.0679090909090909,-0.00779353059921617,0.014640000000000004,-0.0109752556535887,-0.029269090909090904
14,0.8387212247059459,0.8467926333637291,0.8494511198357233,0.03675272727272727,0.02575636363636363,0.0679090909090909,-0.008071408657783219,0.010996363636363641,-0.0107298951297774,-0.031156363636363635
15,0.8387902207389779,0.8466425612136569,0.8490318301403369,0.03144,0.023999999999999997,0.06439636363636363,-0.007852340474678976,0.007440000000000006,-0.010241609401358986,-0.032956363636363624
16,0.8401521612526291,0.8466425612136569,0.8514584389826744,0.0423709090909091,0.023999999999999997,0.08371636363636364,-0.006490399961027737,0.0183709090909091,-0.011306277730045222,-0.041345454545454546
17,0.8401509613825157,0.8466425612136569,0.8505800403831122,0.05255999999999999,0.023999999999999997,0.06966545454545454,-0.006491599831141226,0.02855999999999999,-0.01042907900059653,-0.017105454545454556
18,0.8394980504660828,0.8466425612136569,0.8499260174253452,0.035170909090909086,0.023999999999999997,0.07669090909090909,-0.007144510747574051,0.011170909090909089,-0.010427966959262402,-0.04152
19,0.839286921655147,0.8467227279604902,0.8488017804087368,0.04746545454545453,0.02575636363636363,0.08020363636363635,-0.00743580630534324,0.021709090909090904,-0.009514858753589817,-0.03273818181818182
20,0.838526425866093,0.8466425612136569,0.8488635222971765,0.036796363636363634,0.023999999999999997,0.06966545454545454,-0.008116135347563835,0.012796363636363637,-0.010337096431083492,-0.03286909090909091
21,0.8389016067423423,0.8466425612136569,0.8484954626149421,0.03174545454545455,0.023999999999999997,0.05912727272727272,-0.0077409544713146206,0.007745454545454552,-0.009593855872599866,-0.027381818181818174
22,0.8392154732519229,0.8466425612136569,0.8503453031969181,0.037276363636363635,0.023999999999999997,0.08020363636363637,-0.007427087961733969,0.013276363636363638,-0.011129829944995229,-0.04292727272727273
23,0.8394666608351351,0.8466425612136569,0.8485615838720795,0.040527272727272724,0.023999999999999997,0.060883636363636355,-0.007175900378521782,0.016527272727272727,-0.009094923036944369,-0.02035636363636363
24,0.8388843937708376,0.8466425612136569,0.8499037764083694,0.04061454545454546,0.023999999999999997,0.07844727272727273,-0.007758167442819319,0.01661454545454546,-0.011019382637531883,-0.03783272727272727
25,0.8383328553687234,0.8467227279604902,0.8512517796072403,0.038465454545454546,0.02575636363636363,0.09074181818181819,-0.008389872591766823,0.012709090909090916,-0.012918924238516927,-0.05227636363636364
26,0.8393179211040638,0.8466425612136569,0.8483979026190629,0.03183272727272727,0.023999999999999997,0.06264,-0.007324640109593106,0.007832727272727272,-0.009079981514999114,-0.030807272727272732
27,0.8387947576870717,0.8466425612136569,0.8485292810825247,0.035083636363636365,0.023999999999999997,0.06264,-0.007847803526585206,0.011083636363636368,-0.009734523395452999,-0.027556363636363636
28,0.8371109979148877,0.8466425612136569,0.8486771662104633,0.02942181818181818,0.023999999999999997,0.06088363636363637,-0.009531563298769141,0.005421818181818184,-0.011566168295575552,-0.03146181818181819
29,0.8380932140307261,0.8466425612136569,0.8507265611794403,0.03337090909090909,0.023999999999999997,0.08195999999999999,-0.008549347182930767,0.009370909090909093,-0.012633347148714225,-0.0485890909090909
30,0.8393805901078014,0.8466425612136569,0.8496462794334173,0.03898909090909091,0.023999999999999997,0.07844727272727273,-0.007261971105855469,0.014989090909090914,-0.01026568932561589,-0.039458181818181816
31,0.8382419003822098,0.8466425612136569,0.8491490243128331,0.03512727272727273,0.023999999999999997,0.07142181818181817,-0.008400660831447082,0.011127272727272732,-0.01090712393062332,-0.03629454545454544
32,0.838691735070524,0.8466425612136569,0.8502727877793681,0.04035272727272727,0.023999999999999997,0.07493454545454545,-0.007950826143132916,0.016352727272727272,-0.01158105270884413,-0.03458181818181818
33,0.8379220484810819,0.8466425612136569,0.8488215435660161,0.03486545454545454,0.023999999999999997,0.06439636363636364,-0.008720512732575014,0.010865454545454543,-0.010899495084934263,-0.0295309090909091
34,0.8386099836150255,0.8466425612136569,0.8494573727144833,0.031789090909090906,0.023999999999999997,0.07493454545454545,-0.008032577598631407,0.007789090909090909,-0.010847389099457816,-0.04314545454545454
35,0.839246994786622,0.8466425612136569,0.8498805454696676,0.03354545454545455,0.023999999999999997,0.07844727272727273,-0.007395566427034872,0.009545454545454555,-0.010633550683045612,-0.044901818181818175
36,0.8392652249032558,0.8467926333637291,0.8497822212332183,0.03684,0.02575636363636363,0.0679090909090909,-0.007527408460473284,0.011083636363636368,-0.010516996329962502,-0.031069090909090907
37,0.837198810872279,0.8466425612136569,0.8495010994338146,0.025865454545454542,0.023999999999999997,0.0731781818181818,-0.009443750341377899,0.0018654545454545451,-0.01230228856153559,-0.047312727272727256
38,0.8388777906739293,0.8466425612136569,0.8499505909740852,0.03525818181818182,0.023999999999999997,0.08196,-0.007764770539727572,0.011258181818181823,-0.011072800300155894,-0.046701818181818185
39,0.8397880769098015,0.8466425612136569,0.8497916594386842,0.03859636363636364,0.023999999999999997,0.07317818181818182,-0.006854484303855379,0.01459636363636364,-0.01000358252888267,-0.034581818181818186
40,0.8388988749264293,0.8466425612136569,0.8500167957698449,0.03354545454545455,0.023999999999999997,0.07142181818181817,-0.007743686287227547,0.009545454545454555,-0.011117920843415563,-0.03787636363636362
41,0.8391251125623203,0.8467926333637291,0.8485082053161407,0.033327272727272726,0.02575636363636363,0.0573709090909091,-0.007667520801408867,0.007570909090909097,-0.009383092753820432,-0.02404363636363637
42,0.8381082122456315,0.8467227279604902,0.8487501866898617,0.03872727272727273,0.02575636363636363,0.07844727272727273,-0.008614515714858717,0.012970909090909099,-0.010641974444230207,-0.03972
43,0.8383790458712009,0.8466425612136569,0.8483096669590545,0.041847272727272726,0.023999999999999997,0.06615272727272728,-0.008263515342455952,0.01784727272727273,-0.009930621087853586,-0.024305454545454554
44,0.8386329258500798,0.8466425612136569,0.8482730982494424,0.02805818181818182,0.023999999999999997,0.04858909090909091,-0.008009635363577128,0.004058181818181822,-0.009640172399362656,-0.02053090909090909
45,0.8395337361659678,0.8467926333637291,0.8503479131581764,0.038683636363636364,0.02575636363636363,0.07493454545454545,-0.007258897197761294,0.012927272727272735,-0.010814176992208546,-0.036250909090909084
46,0.8393643658603503,0.8466425612136569,0.8493455154908254,0.036927272727272725,0.023999999999999997,0.06264,-0.007278195353306538,0.012927272727272728,-0.009981149630475028,-0.025712727272727276
47,0.8389540192248468,0.8466425612136569,0.8489254070297627,0.03183272727272727,0.023999999999999997,0.0573709090909091,-0.0076885419888100826,0.007832727272727272,-0.00997138780491591,-0.025538181818181828
48,0.8392756735590297,0.8466425612136569,0.8492688618663281,0.038683636363636364,0.023999999999999997,0.07142181818181817,-0.00736688765462723,0.014683636363636367,-0.00999318830729845,-0.032738181818181805
49,0.8395346992430731,0.8466425612136569,0.8488895495417277,0.04206545454545454,0.023999999999999997,0.0679090909090909,-0.007107861970583773,0.01806545454545454,-0.009354850298654571,-0.025843636363636367
50,0.8395404397144575,0.8466425612136569,0.8485214449031776,0.03350181818181819,0.023999999999999997,0.06439636363636364,-0.007102121499199421,0.009501818181818191,-0.008981005188720137,-0.030894545454545452
51,0.8384765135839315,0.8466425612136569,0.8487043598693981,0.03345818181818181,0.023999999999999997,0.05385818181818182,-0.008166047629725393,0.009458181818181813,-0.01022784628546658,-0.02040000000000001
52,0.8388933350828852,0.8466425612136569,0.85056517572913,0.031658181818181814,0.023999999999999997,0.07317818181818182,-0.007749226130771669,0.0076581818181818175,-0.011671840646244824,-0.04152000000000001
53,0.837004814637776,0.8466425612136569,0.8507098335787432,0.026039999999999997,0.023999999999999997,0.07317818181818181,-0.009637746575880901,0.00204,-0.013705018940967206,-0.047138181818181815
54,0.8393843126991698,0.8466425612136569,0.8497854857341515,0.038683636363636364,0.023999999999999997,0.07669090909090907,-0.007258248514487087,0.014683636363636367,-0.01040117303498167,-0.03800727272727271
55,0.8368932172099074,0.8466425612136569,0.8490562673760232,0.03636,0.023999999999999997,0.06263999999999999,-0.009749344003749494,0.012360000000000006,-0.012163050166115852,-0.026279999999999984
56,0.8393078457834712,0.8466425612136569,0.8485175476947802,0.03178909090909091,0.023999999999999997,0.06264,-0.007334715430185712,0.007789090909090916,-0.009209701911308987,-0.03085090909090909
57,0.8378260933818746,0.8466425612136569,0.8490011255567708,0.041585454545454544,0.023999999999999997,0.07142181818181817,-0.008816467831782249,0.017585454545454546,-0.011175032174896127,-0.029836363636363626
58,0.8393989685568438,0.8466425612136569,0.8493775817048366,0.03732,0.023999999999999997,0.07844727272727273,-0.007243592656813069,0.013320000000000002,-0.009978613147992754,-0.04112727272727273
59,0.8381559600529602,0.8466425612136569,0.8494104607508828,0.031701818181818185,0.023999999999999997,0.06088363636363637,-0.00848660116069666,0.007701818181818188,-0.011254500697922554,-0.029181818181818184
60,0.8386701108419271,0.8466425612136569,0.8509310197611673,0.04224,0.023999999999999997,0.08898545454545453,-0.007972450371729778,0.018240000000000003,-0.012260908919240143,-0.046745454545454534
61,0.8378250707267301,0.8467227279604902,0.8489673259099136,0.03662181818181818,0.02575636363636363,0.06966545454545454,-0.008897657233760126,0.01086545454545455,-0.01114225518318357,-0.033043636363636365
62,0.8380261957420047,0.8466425612136569,0.8490157520340854,0.03148363636363636,0.023999999999999997,0.06264,-0.008616365471652232,0.0074836363636363624,-0.01098955629208076,-0.031156363636363642
63,0.8382109146136532,0.8466425612136569,0.8490159380078253,0.04382181818181817,0.023999999999999997,0.07493454545454545,-0.008431646600003728,0.019821818181818173,-0.010805023394172109,-0.031112727272727278
64,0.8389118269175964,0.8466425612136569,0.8493360482361081,0.03512727272727273,0.023999999999999997,0.060883636363636355,-0.007730734296060526,0.011127272727272732,-0.010424221318511728,-0.025756363636363626
65,0.838288558836605,0.8466425612136569,0.8495078260747417,0.041890909090909076,0.023999999999999997,0.07142181818181817,-0.008354002377051861,0.01789090909090908,-0.01121926723813671,-0.029530909090909094
66,0.8373780105528997,0.8466425612136569,0.8495597109220544,0.03477818181818182,0.023999999999999997,0.07493454545454545,-0.009264550660757154,0.010778181818181822,-0.012181700369154669,-0.04015636363636363
67,0.8376204774795901,0.8466425612136569,0.8479372518086604,0.036578181818181815,0.023999999999999997,0.05034545454545454,-0.009022083734066766,0.012578181818181818,-0.0103167743290703,-0.013767272727272725
68,0.8372333765622011,0.8467926333637291,0.8494754546407016,0.035039999999999995,0.02575636363636363,0.07317818181818181,-0.009559256801528027,0.009283636363636365,-0.012242078078500529,-0.038138181818181814
69,0.8383743534781914,0.8466425612136569,0.8488143690283694,0.03499636363636363,0.023999999999999997,0.06264,-0.008268207735465438,0.010996363636363634,-0.010440015550177928,-0.02764363636363637
70,0.8389665101309588,0.8466425612136569,0.8490724207141619,0.03350181818181818,0.023999999999999997,0.06439636363636364,-0.007676051082698088,0.009501818181818184,-0.010105910583203093,-0.03089454545454546
71,0.8389159514456953,0.8466425612136569,0.8505190279617268,0.02990181818181818,0.023999999999999997,0.08371636363636363,-0.007726609767961579,0.005901818181818182,-0.01160307651603154,-0.05381454545454545
72,0.8397378854042755,0.8466425612136569,0.8489440285005512,0.04737818181818182,0.023999999999999997,0.06439636363636364,-0.0069046758093813665,0.023378181818181822,-0.009206143096275654,-0.01701818181818182
73,0.8382796067494869,0.8466425612136569,0.8489662133238721,0.03499636363636363,0.023999999999999997,0.06966545454545453,-0.008362954464170014,0.010996363636363634,-0.010686606574385249,-0.0346690909090909
74,0.8390870348253898,0.8467926333637291,0.8495437171562726,0.04224,0.02575636363636363,0.06966545454545454,-0.007705598538339298,0.01648363636363637,-0.010456682330882816,-0.027425454545454545
75,0.8385145577290399,0.8466425612136569,0.8485183621925012,0.03328363636363636,0.023999999999999997,0.06439636363636365,-0.008128003484616952,0.009283636363636365,-0.010003804463461274,-0.031112727272727292
76,0.8381202444090265,0.8466425612136569,0.8487283683684301,0.03490909090909091,0.023999999999999997,0.06966545454545453,-0.008522316804630337,0.010909090909090913,-0.010608123959403581,-0.03475636363636362
77,0.8390075965435152,0.8466425612136569,0.8486312950864237,0.03350181818181819,0.023999999999999997,0.06439636363636363,-0.007634964670141686,0.009501818181818191,-0.009623698542908454,-0.03089454545454544
78,0.8398220049391953,0.8466425612136569,0.8502101802564843,0.04597090909090909,0.023999999999999997,0.08722909090909091,-0.006820556274461542,0.021970909090909093,-0.010388175317288972,-0.04125818181818182
79,0.8390773885790253,0.8467227279604902,0.8489659518726591,0.031570909090909094,0.02575636363636363,0.06439636363636365,-0.007645339381464944,0.005814545454545465,-0.009888563293633856,-0.03282545454545456
80,0.8396595114743529,0.8466425612136569,0.8490595429694169,0.033545454545454545,0.023999999999999997,0.06615272727272728,-0.00698304973930397,0.009545454545454548,-0.009400031495063965,-0.032607272727272735
81,0.8397184079690455,0.8467227279604902,0.8484240198010969,0.03521454545454546,0.02575636363636363,0.06264,-0.007004319991444685,0.009458181818181827,-0.00870561183205143,-0.027425454545454545
82,0.8394064928782035,0.8466425612136569,0.8525094560885242,0.042152727272727265,0.023999999999999997,0.10303636363636362,-0.007236068335453427,0.01815272727272727,-0.013102963210320784,-0.060883636363636355
83,0.8386745439456696,0.8467227279604902,0.8493294597433152,0.03675272727272727,0.02575636363636363,0.0679090909090909,-0.008048184014820547,0.010996363636363641,-0.010654915797645548,-0.031156363636363635
84,0.8382301131646728,0.8466425612136569,0.849731772802006,0.029814545454545455,0.023999999999999997,0.07844727272727273,-0.008412448048984111,0.005814545454545458,-0.011501659637333184,-0.04863272727272727
85,0.8384332591406697,0.8466425612136569,0.8489949907863371,0.031701818181818185,0.023999999999999997,0.06264,-0.008209302072987201,0.007701818181818188,-0.010561731645667427,-0.030938181818181816
86,0.8384691382243338,0.8466425612136569,0.8491340600177743,0.036796363636363634,0.023999999999999997,0.06264,-0.00817342298932311,0.012796363636363637,-0.010664921793440474,-0.025843636363636367
87,0.8388344083801393,0.8466425612136569,0.8481409945079145,0.038683636363636364,0.023999999999999997,0.05737090909090909,-0.007808152833517545,0.014683636363636367,-0.00930658612777513,-0.018687272727272726
88,0.8387444668669701,0.8467227279604902,0.8499221918376493,0.040265454545454535,0.02575636363636363,0.07142181818181818,-0.007978261093520067,0.014509090909090906,-0.011177724970679148,-0.03115636363636365
89,0.8395241692822824,0.8466425612136569,0.8494982637548291,0.03727636363636364,0.023999999999999997,0.07142181818181817,-0.007118391931374535,0.013276363636363645,-0.009974094472546713,-0.03414545454545453
90,0.8372902306569734,0.8466425612136569,0.8499982049452756,0.02762181818181818,0.023999999999999997,0.06615272727272728,-0.009352330556683497,0.0036218181818181844,-0.01270797428830217,-0.0385309090909091
91,0.8387106409292794,0.8466425612136569,0.8504625252408784,0.03675272727272727,0.023999999999999997,0.07317818181818182,-0.007931920284377503,0.012752727272727273,-0.011751884311599015,-0.03642545454545455
92,0.8393619447580534,0.8467227279604902,0.8497865167790021,0.03517090909090909,0.02575636363636363,0.06264,-0.007360783202436827,0.009414545454545464,-0.010424572020948708,-0.02746909090909091
93,0.8392568040680488,0.8466425612136569,0.8517223428929943,0.02818909090909091,0.023999999999999997,0.09952363636363637,-0.007385757145608074,0.004189090909090913,-0.012465538824945499,-0.07133454545454546
94,0.839434638014858,0.8466425612136569,0.8490941229523623,0.03864,0.023999999999999997,0.060883636363636355,-0.007207923198798927,0.014640000000000004,-0.009659484937504348,-0.022243636363636354
95,0.8388306555143001,0.8466425612136569,0.8511938015338281,0.03688363636363637,0.023999999999999997,0.07844727272727273,-0.007811905699356747,0.012883636363636371,-0.012363146019527926,-0.04156363636363636
96,0.8386811600715585,0.8466425612136569,0.8487052107324881,0.031701818181818185,0.023999999999999997,0.07493454545454545,-0.007961401142098423,0.007701818181818188,-0.010024050660929595,-0.04323272727272726
97,0.8397313617470372,0.8466425612136569,0.8492555781073549,0.03345818181818182,0.023999999999999997,0.06615272727272728,-0.006911199466619666,0.00945818181818182,-0.009524216360317639,-0.03269454545454546
98,0.8375524407663333,0.8466425612136569,0.8503334316539541,0.028145454545454546,0.023999999999999997,0.08547272727272727,-0.009090120447323602,0.004145454545454549,-0.012780990887620858,-0.05732727272727273
99,0.8375039869692631,0.8467926333637291,0.8486096317175963,0.03161454545454545,0.02575636363636363,0.07669090909090909,-0.009288646394466027,0.005858181818181821,-0.011105644748333199,-0.04507636363636364
100,0.8382798001638837,0.8466425612136569,0.8488309475486333,0.03525818181818182,0.023999999999999997,0.07317818181818181,-0.008362761049773182,0.011258181818181823,-0.010551147384749604,-0.03791999999999999
101,0.839276658675968,0.8467227279604902,0.8500989233837343,0.0439090909090909,0.02575636363636363,0.06966545454545454,-0.007446069284522183,0.01815272727272727,-0.01082226470776626,-0.025756363636363647
102,0.8397397654248826,0.8466425612136569,0.8501460556397185,0.04605818181818182,0.023999999999999997,0.07317818181818181,-0.006902795788774285,0.02205818181818182,-0.010406290214835856,-0.02711999999999999
103,0.8387544785003628,0.8466425612136569,0.8484916947852215,0.026563636363636362,0.023999999999999997,0.06615272727272728,-0.007888082713294109,0.002563636363636365,-0.009737216284858685,-0.03958909090909092
104,0.8387674313859802,0.8466425612136569,0.8495619216811433,0.030032727272727273,0.023999999999999997,0.07493454545454545,-0.007875129827676686,0.006032727272727276,-0.010794490295163106,-0.044901818181818175
105,0.8391298887026338,0.8467227279604902,0.8514219419861018,0.03859636363636364,0.02575636363636363,0.09425454545454547,-0.007592839257856365,0.012840000000000008,-0.01229205328346794,-0.05565818181818183
106,0.8385553767625573,0.8466425612136569,0.8506381927761371,0.03486545454545454,0.023999999999999997,0.08020363636363635,-0.008087184451099572,0.010865454545454543,-0.012082816013579745,-0.04533818181818181
107,0.8368559251566896,0.8466425612136569,0.8502724442305989,0.034734545454545455,0.023999999999999997,0.07669090909090907,-0.00978663605696728,0.010734545454545458,-0.013416519073909283,-0.04195636363636362
108,0.838360191379299,0.8467926333637291,0.8493385643181125,0.03530181818181818,0.02575636363636363,0.06439636363636364,-0.008432441984430161,0.009545454545454548,-0.010978372938813541,-0.029094545454545463
109,0.8375321795595803,0.8466425612136569,0.8501077485525809,0.04009090909090909,0.023999999999999997,0.08722909090909091,-0.009110381654076627,0.01609090909090909,-0.012575568993000608,-0.04713818181818182
110,0.8387949533298229,0.8466425612136569,0.8499842933155337,0.04544727272727272,0.023999999999999997,0.06439636363636364,-0.007847607883833985,0.02144727272727272,-0.011189339985710811,-0.018949090909090922
111,0.8389549066759651,0.8466425612136569,0.8500594513382573,0.029770909090909094,0.023999999999999997,0.07669090909090907,-0.007687654537691824,0.005770909090909097,-0.01110454466229227,-0.046919999999999976
112,0.8389097706762135,0.8466425612136569,0.8487060366783624,0.04043999999999998,0.023999999999999997,0.05737090909090909,-0.007732790537443357,0.016439999999999986,-0.00979626600214889,-0.016930909090909108
113,0.8373757027892957,0.8466425612136569,0.8496194776585299,0.027752727272727273,0.023999999999999997,0.07669090909090909,-0.009266858424361146,0.0037527272727272756,-0.012243774869234114,-0.04893818181818181
114,0.8388943236727134,0.8466425612136569,0.8482106115276747,0.03701454545454545,0.023999999999999997,0.06439636363636365,-0.007748237540943448,0.013014545454545456,-0.009316287854961303,-0.0273818181818182
115,0.8380121635022769,0.8466425612136569,0.8491499192312015,0.042065454545454545,0.023999999999999997,0.06439636363636365,-0.008630397711379967,0.018065454545454548,-0.011137755728924614,-0.02233090909090911
116,0.8389892384362883,0.8468728001105625,0.8496134140208633,0.04562181818181818,0.02751272727272727,0.06615272727272728,-0.007883561674274286,0.01810909090909091,-0.010624175584575068,-0.0205309090909091
117,0.8384580810657403,0.8466425612136569,0.8495478620009408,0.033327272727272726,0.023999999999999997,0.06088363636363637,-0.008184480147916617,0.00932727272727273,-0.011089780935200522,-0.027556363636363643
118,0.839658367308414,0.8467926333637291,0.8495606130533297,0.043647272727272715,0.02575636363636363,0.08722909090909091,-0.007134266055315086,0.017890909090909086,-0.009902245744915716,-0.043581818181818194
119,0.8386184764698743,0.8466425612136569,0.8496244012045546,0.04215272727272727,0.023999999999999997,0.08371636363636363,-0.008024084743782578,0.018152727272727275,-0.011005924734680317,-0.04156363636363636
120,0.8399469338969521,0.8466425612136569,0.8490436595693026,0.03718909090909091,0.023999999999999997,0.05912727272727272,-0.006695627316704811,0.01318909090909091,-0.009096725672350536,-0.021938181818181815
121,0.8396671568361658,0.8466425612136569,0.8504895195165957,0.042021818181818174,0.023999999999999997,0.08195999999999999,-0.006975404377491112,0.018021818181818177,-0.010822362680429909,-0.03993818181818182
122,0.8388764320291843,0.8467926333637291,0.8494173308923147,0.035083636363636365,0.02575636363636363,0.06966545454545454,-0.007916201334544848,0.009327272727272736,-0.010540898863130477,-0.03458181818181818
123,0.8395303083211993,0.8467926333637291,0.8497381749908579,0.03358909090909091,0.02575636363636363,0.08195999999999999,-0.007262325042529771,0.00783272727272728,-0.01020786666965856,-0.04837090909090908
124,0.8387952581391019,0.8467926333637291,0.8492569749558603,0.036883636363636355,0.02575636363636363,0.06615272727272728,-0.007997375224627179,0.011127272727272725,-0.010461716816758337,-0.029269090909090925
125,0.8377396615211637,0.8466425612136569,0.851352657675997,0.02608363636363636,0.023999999999999997,0.10128,-0.008902899692493138,0.002083636363636364,-0.013612996154833246,-0.07519636363636363
126,0.8386270400956931,0.8466425612136569,0.8494971298291218,0.040265454545454535,0.023999999999999997,0.060883636363636355,-0.008015521117963775,0.016265454545454538,-0.010870089733428734,-0.02061818181818182
127,0.8380523018932472,0.8466425612136569,0.8500424209094439,0.035083636363636365,0.023999999999999997,0.07844727272727273,-0.008590259320409688,0.011083636363636368,-0.011990119016196732,-0.04336363636363636
128,0.8396784106361417,0.8466425612136569,0.8503065553795395,0.03898909090909091,0.023999999999999997,0.08020363636363635,-0.006964150577515205,0.014989090909090914,-0.010628144743397794,-0.04121454545454544
129,0.8397248396144857,0.8466425612136569,0.8487924487244901,0.03898909090909091,0.023999999999999997,0.06439636363636364,-0.006917721599171145,0.014989090909090914,-0.009067609110004371,-0.02540727272727273
130,0.838411718241685,0.8466425612136569,0.8495001536024074,0.03521454545454545,0.023999999999999997,0.08195999999999999,-0.008230842971971852,0.011214545454545453,-0.011088435360722348,-0.04674545454545454
131,0.8369924774006433,0.8467227279604902,0.8491110491798879,0.02937818181818182,0.02575636363636363,0.06966545454545454,-0.009730250559846887,0.0036218181818181913,-0.01211857177924458,-0.04028727272727273
