realisation,F1_RL,F1_RF,F1_tau,B_RL,B_RF,B_tau,dF_RL_RF,dB_RL_RF,dF_RL_tau,dB_RL_tau
0,0.9068202929568265,0.912878057365246,0.9079646602637343,0.02362424242424243,0.15602121212121214,0.32111818181818186,-0.00605776440841943,-0.1323969696969697,-0.001144367306907812,-0.2974939393939394
1,0.9068587264673222,0.9130574754415268,0.9091104375722915,0.023636363636363643,0.1609,0.31477575757575754,-0.006198748974204582,-0.13726363636363634,-0.002251711104969245,-0.2911393939393939
2,0.9067070053439291,0.9127640612438487,0.9079840988909615,0.02362424242424243,0.14723939393939395,0.3128242424242424,-0.006057055899919561,-0.12361515151515151,-0.0012770935470324263,-0.28919999999999996
3,0.9066737123626782,0.9124445101805444,0.9081672972909755,0.02362424242424243,0.1575090909090909,0.3025787878787879,-0.005770797817866158,-0.13388484848484847,-0.0014935849282972091,-0.27895454545454546
4,0.9068683369493584,0.9133650875997649,0.9089661408865841,0.023612121212121216,0.1574969696969697,0.323069696969697,-0.0064967506504064465,-0.13388484848484847,-0.002097803937225695,-0.2994575757575758
5,0.9067581344843031,0.9127748804332593,0.9083045547362952,0.023612121212121216,0.15700909090909093,0.31965454545454547,-0.006016745948956181,-0.1333969696969697,-0.0015464202519921422,-0.2960424242424243
6,0.9067804412578511,0.9133905741352453,0.9087386635668178,0.023600000000000003,0.15408181818181818,0.3084333333333334,-0.006610132877394204,-0.13048181818181817,-0.001958222308966695,-0.2848333333333334
7,0.9067991195162914,0.9129905171175148,0.9081534244190071,0.023600000000000003,0.15503333333333333,0.3147757575757576,-0.006191397601223336,-0.13143333333333332,-0.0013543049027157084,-0.2911757575757576
8,0.9067700516442443,0.9130241228639936,0.9084064847195332,0.02408787878787879,0.14771515151515152,0.3006272727272727,-0.006254071219749302,-0.12362727272727272,-0.0016364330752889344,-0.2765393939393939
9,0.9068144994661339,0.9140259224702454,0.9102531604185661,0.023636363636363643,0.1633757575757576,0.3118484848484849,-0.0072114230041114835,-0.13973939393939394,-0.003438660952432171,-0.28821212121212125
10,0.9067522265595482,0.9133259562984766,0.908994345433008,0.023587878787878793,0.17119393939393943,0.3216060606060607,-0.0065737297389283356,-0.14760606060606063,-0.0022421188734598196,-0.2980181818181819
11,0.9067748916339375,0.9132136744416649,0.9091365048622291,0.023600000000000003,0.16043636363636363,0.31623939393939393,-0.006438782807727361,-0.13683636363636362,-0.002361613228291537,-0.2926393939393939
12,0.9068236988689826,0.912854133660415,0.9078125125066057,0.02362424242424243,0.16432727272727277,0.3367303030303031,-0.006030434791432393,-0.14070303030303033,-0.0009888136376230428,-0.31310606060606067
13,0.9067221362618686,0.9133200296015856,0.909195377245826,0.023587878787878793,0.16629090909090907,0.31623939393939393,-0.006597893339717054,-0.14270303030303028,-0.002473240983957403,-0.29265151515151516
14,0.9068788741810183,0.9133604255307834,0.9086935447115968,0.023660606060606063,0.16236363636363638,0.31526363636363636,-0.006481551349765136,-0.13870303030303033,-0.0018146705305784883,-0.2916030303030303
15,0.9068111186423691,0.9130546838614092,0.9084519147175846,0.023648484848484853,0.15164242424242425,0.30843333333333334,-0.006243565219040126,-0.12799393939393938,-0.0016407960752155004,-0.2847848484848485
16,0.906853983030297,0.9136118451754359,0.9087761849726854,0.024124242424242427,0.16726666666666665,0.32599696969696973,-0.00675786214513896,-0.1431424242424242,-0.0019222019423884573,-0.3018727272727273
17,0.9066990335189025,0.9132646581283449,0.9091549304521633,0.023636363636363643,0.15702121212121214,0.3157515151515152,-0.006565624609442433,-0.1333848484848485,-0.0024558969332608704,-0.2921151515151516
18,0.9068118954882094,0.9125720487198182,0.9083273263305163,0.023648484848484853,0.15269090909090907,0.3059939393939395,-0.005760153231608833,-0.1290424242424242,-0.0015154308423068752,-0.2823454545454546
19,0.9068316762464685,0.9133265899536734,0.9086983835592902,0.023636363636363643,0.15941212121212123,0.3181909090909091,-0.006494913707204897,-0.13577575757575758,-0.0018667073128216805,-0.29455454545454546
