channel,split,snr_db,n,scomcp_f1,ap30,ap50,ap70,com_rate
awgn,validate,0,1980,0.8319,0.7387,0.7262,0.6174,0.004972
awgn,validate,2,1980,0.8319,0.7386,0.7262,0.6174,0.004972
awgn,validate,4,1980,0.8318,0.7386,0.7261,0.6173,0.004972
awgn,validate,6,1980,0.8318,0.7386,0.7261,0.6173,0.004972
awgn,validate,8,1980,0.8318,0.7386,0.7261,0.6173,0.004972
awgn,validate,10,1980,0.8318,0.7386,0.7261,0.6173,0.004972
awgn,validate,12,1980,0.8319,0.7386,0.7262,0.6174,0.004972
awgn,validate,14,1980,0.8318,0.7386,0.7261,0.6173,0.004972
awgn,validate,16,1980,0.8318,0.7386,0.7262,0.6174,0.004972
awgn,validate,18,1980,0.8318,0.7386,0.7261,0.6175,0.004972
awgn,validate,20,1980,0.8319,0.7386,0.7262,0.6173,0.004972
rayleigh,validate,0,1980,0.8318,0.7386,0.7261,0.6174,0.004972
rayleigh,validate,2,1980,0.8318,0.7385,0.7261,0.6173,0.004972
rayleigh,validate,4,1980,0.8319,0.7386,0.7262,0.6174,0.004972
rayleigh,validate,6,1980,0.8318,0.7385,0.7261,0.6172,0.004972
rayleigh,validate,8,1980,0.8318,0.7386,0.7262,0.6173,0.004972
rayleigh,validate,10,1980,0.8318,0.7386,0.7262,0.6173,0.004972
rayleigh,validate,12,1980,0.8318,0.7387,0.7262,0.6174,0.004972
rayleigh,validate,14,1980,0.8318,0.7386,0.7261,0.6174,0.004972
rayleigh,validate,16,1980,0.8318,0.7385,0.7261,0.6172,0.004972
rayleigh,validate,18,1980,0.8319,0.7386,0.7262,0.6174,0.004972
rayleigh,validate,20,1980,0.8319,0.7386,0.7262,0.6174,0.004972
awgn,test,0,2170,0.8374,0.7323,0.7009,0.4912,0.004699
awgn,test,2,2170,0.8375,0.7325,0.7011,0.4915,0.004699
awgn,test,4,2170,0.8374,0.7324,0.701,0.4913,0.004699
awgn,test,6,2170,0.8374,0.7324,0.7009,0.4914,0.004699
awgn,test,8,2170,0.8376,0.7324,0.701,0.4914,0.004699
awgn,test,10,2170,0.8374,0.7324,0.701,0.4916,0.004699
awgn,test,12,2170,0.8374,0.7323,0.7009,0.4913,0.004699
awgn,test,14,2170,0.8375,0.7323,0.701,0.4913,0.004699
awgn,test,16,2170,0.8373,0.7323,0.7008,0.4913,0.004699
awgn,test,18,2170,0.8374,0.7323,0.7009,0.4914,0.004699
awgn,test,20,2170,0.8373,0.7323,0.7009,0.4914,0.004699
rayleigh,test,0,2170,0.8375,0.7326,0.7011,0.4917,0.004699
rayleigh,test,2,2170,0.8375,0.7325,0.7011,0.4916,0.004699
rayleigh,test,4,2170,0.8374,0.7324,0.701,0.4914,0.004699
rayleigh,test,6,2170,0.8373,0.7323,0.7008,0.4913,0.004699
rayleigh,test,8,2170,0.8373,0.7323,0.7009,0.4912,0.004699
rayleigh,test,10,2170,0.8373,0.7323,0.7008,0.4914,0.004699
rayleigh,test,12,2170,0.8373,0.7323,0.7008,0.4911,0.004699
rayleigh,test,14,2170,0.8376,0.7325,0.701,0.4916,0.004699
rayleigh,test,16,2170,0.8376,0.7324,0.701,0.4914,0.004699
rayleigh,test,18,2170,0.8376,0.7323,0.7009,0.4914,0.004699
rayleigh,test,20,2170,0.8374,0.7324,0.701,0.4913,0.004699
