split,budget,policy,arm,rho_E,rho_L,rho_F,gain_per_F_frame,gain_all_cells
validate,0.1,two_gate,two_gate,0.0,1.0,0.0,,0.02889
validate,0.1,RF,two_gate,0.01072,0.92999,0.05929,0.08974,0.02889
validate,0.1,tau,two_gate,0.0,0.95016,0.04984,0.02896,0.02889
validate,0.2,two_gate,two_gate,0.0,1.0,0.0,,0.02889
validate,0.2,RF,two_gate,0.01117,0.85702,0.13181,0.0679,0.02889
validate,0.2,tau,two_gate,0.0,0.80059,0.19941,0.02914,0.02889
validate,0.3,two_gate,two_gate,0.0,0.70147,0.29853,0.02906,0.02889
validate,0.3,RF,two_gate,0.01197,0.8018,0.18622,0.06078,0.02889
validate,0.3,tau,two_gate,0.0,0.70117,0.29883,0.02906,0.02889
test,0.1,two_gate,two_gate,0.0,1.0,0.0,,0.03042
test,0.1,RF,two_gate,0.00043,0.98631,0.01326,0.04071,0.03042
test,0.1,tau,two_gate,0.0,0.9499,0.0501,0.03031,0.03042
test,0.2,two_gate,two_gate,0.0,1.0,0.0,,0.03042
test,0.2,RF,two_gate,0.00115,0.87728,0.12157,0.05022,0.03042
test,0.2,tau,two_gate,0.0,0.80042,0.19958,0.03038,0.03042
test,0.3,two_gate,two_gate,0.0,0.70161,0.29839,0.03047,0.03042
test,0.3,RF,two_gate,0.00102,0.80438,0.19461,0.03786,0.03042
test,0.3,tau,two_gate,0.0,0.70135,0.29865,0.03048,0.03042
culver,0.1,two_gate,two_gate,0.0,1.0,0.0,,0.05926
culver,0.1,RF,two_gate,0.0,0.99962,0.00038,0.06148,0.05926
culver,0.1,tau,two_gate,0.0,0.95056,0.04944,0.05904,0.05926
culver,0.2,two_gate,two_gate,0.0,1.0,0.0,,0.05926
culver,0.2,RF,two_gate,0.0,0.95495,0.04505,0.07008,0.05926
culver,0.2,tau,two_gate,0.0,0.79979,0.20021,0.05961,0.05926
culver,0.3,two_gate,two_gate,0.0,0.69939,0.30061,0.05959,0.05926
culver,0.3,RF,two_gate,0.0,0.83617,0.16383,0.07913,0.05926
culver,0.3,tau,two_gate,0.0,0.69915,0.30085,0.0596,0.05926
