split,budget,policy,arm,rho_E,rho_L,rho_F
validate,0.1,two_gate,dgate,0.0,0.92534,0.07466
validate,0.1,RF,dgate,0.01072,0.92999,0.05929
validate,0.1,tau,dgate,0.0,0.95016,0.04984
validate,0.2,two_gate,dgate,0.0,0.82126,0.17874
validate,0.2,RF,dgate,0.01117,0.85702,0.13181
validate,0.2,tau,dgate,0.0,0.80059,0.19941
validate,0.3,two_gate,dgate,0.0,0.72582,0.27418
validate,0.3,RF,dgate,0.01197,0.8018,0.18622
validate,0.3,tau,dgate,0.0,0.70117,0.29883
test,0.1,two_gate,dgate,0.0,0.92743,0.07257
test,0.1,RF,dgate,0.00043,0.98631,0.01326
test,0.1,tau,dgate,0.0,0.9499,0.0501
test,0.2,two_gate,dgate,0.0,0.81884,0.18116
test,0.2,RF,dgate,0.00115,0.87728,0.12157
test,0.2,tau,dgate,0.0,0.80042,0.19958
test,0.3,two_gate,dgate,0.0,0.76172,0.23828
test,0.3,RF,dgate,0.00102,0.80438,0.19461
test,0.3,tau,dgate,0.0,0.70135,0.29865
culver,0.1,two_gate,dgate,0.0,0.93568,0.06432
culver,0.1,RF,dgate,0.0,0.99962,0.00038
culver,0.1,tau,dgate,0.0,0.95056,0.04944
culver,0.2,two_gate,dgate,0.0,0.84192,0.15808
culver,0.2,RF,dgate,0.0,0.95495,0.04505
culver,0.2,tau,dgate,0.0,0.79979,0.20021
culver,0.3,two_gate,dgate,0.0,0.69939,0.30061
culver,0.3,RF,dgate,0.0,0.83617,0.16383
culver,0.3,tau,dgate,0.0,0.69915,0.30085
