realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
0,0.8507259127932552,0.8466425612136569,0.8495948308418036,0.08196,0.023999999999999997,0.07669090909090907,0.004083351579598271,0.05796000000000001,0.001131081951451507,0.005269090909090932
1,0.8515329646747136,0.8466425612136569,0.8498241608623333,0.0960109090909091,0.023999999999999997,0.07317818181818182,0.004890403461056736,0.07201090909090911,0.0017088038123803662,0.022832727272727282
2,0.852815464588569,0.8466425612136569,0.8510281552630553,0.11006181818181819,0.023999999999999997,0.09601090909090909,0.006172903374912164,0.0860618181818182,0.0017873093255137418,0.0140509090909091
3,0.8518955734901986,0.8466425612136569,0.8489650352036895,0.08898545454545452,0.023999999999999997,0.06615272727272728,0.005253012276541735,0.06498545454545453,0.0029305382865091323,0.02283272727272724
4,0.851007826836803,0.8466425612136569,0.8494204607410318,0.09601090909090909,0.023999999999999997,0.08020363636363635,0.004365265623146097,0.0720109090909091,0.0015873660957711477,0.01580727272727274
5,0.850249057992075,0.8466425612136569,0.8486284899749688,0.0766909090909091,0.023999999999999997,0.07142181818181818,0.003606496778418067,0.05269090909090911,0.0016205680171061942,0.005269090909090918
6,0.8516209403909769,0.8466425612136569,0.8492978926055434,0.08898545454545453,0.023999999999999997,0.060883636363636355,0.004978379177320025,0.06498545454545454,0.002323047785433463,0.02810181818181818
7,0.8509378604673061,0.8466425612136569,0.8497629783880455,0.08547272727272728,0.023999999999999997,0.08020363636363635,0.004295299253649243,0.06147272727272729,0.0011748820792606418,0.005269090909090932
8,0.8520390631292635,0.8466425612136569,0.8514720044177718,0.09952363636363637,0.023999999999999997,0.09249818181818183,0.0053965019156065885,0.07552363636363638,0.0005670587114916525,0.007025454545454543
9,0.8502627358247685,0.8467227279604902,0.8495241812459211,0.0766909090909091,0.02575636363636363,0.08196,0.0035400078642783273,0.05093454545454547,0.0007385545788474168,-0.005269090909090904
10,0.8506507678781575,0.8466425612136569,0.8492984206341525,0.08371636363636366,0.023999999999999997,0.06264,0.004008206664500635,0.059716363636363665,0.0013523472440050144,0.021076363636363657
11,0.8512311758665283,0.8467926333637291,0.8513514920563483,0.08371636363636363,0.02575636363636363,0.07844727272727273,0.004438542502799181,0.05796,-0.00012031618982000225,0.005269090909090904
12,0.8520290952149419,0.8467926333637291,0.8508084947604087,0.09425454545454544,0.02575636363636363,0.07142181818181817,0.005236461851212737,0.0684981818181818,0.001220600454533205,0.02283272727272727
13,0.8525965931905992,0.8466425612136569,0.8498242862680294,0.09601090909090909,0.023999999999999997,0.0679090909090909,0.005954031976942331,0.0720109090909091,0.0027723069225698005,0.028101818181818186
14,0.8504732919715547,0.8467926333637291,0.8494511198357233,0.07844727272727273,0.02575636363636363,0.0679090909090909,0.0036806586078256265,0.052690909090909094,0.001022172135831445,0.010538181818181822
15,0.851683915480069,0.8466425612136569,0.8490318301403369,0.08898545454545455,0.023999999999999997,0.06439636363636363,0.005041354266412168,0.06498545454545455,0.0026520853397321575,0.02458909090909092
16,0.8506983758757988,0.8466425612136569,0.8514584389826744,0.0731781818181818,0.023999999999999997,0.08371636363636364,0.004055814662141888,0.0491781818181818,-0.000760063106875597,-0.01053818181818185
17,0.8531416150378963,0.8466425612136569,0.8505800403831122,0.09776727272727272,0.023999999999999997,0.06966545454545454,0.006499053824239431,0.07376727272727272,0.0025615746547841267,0.028101818181818172
18,0.851146629078734,0.8466425612136569,0.8499260174253452,0.08371636363636363,0.023999999999999997,0.07669090909090909,0.004504067865077066,0.05971636363636364,0.0012206116533887146,0.007025454545454543
19,0.8499984408409795,0.8467227279604902,0.8488017804087368,0.08371636363636363,0.02575636363636363,0.08020363636363635,0.0032757128804893343,0.05796,0.0011966604322427576,0.0035127272727272785
20,0.8519083187045398,0.8466425612136569,0.8488635222971765,0.08898545454545456,0.023999999999999997,0.06966545454545454,0.005265757490882872,0.06498545454545457,0.003044796407363215,0.019320000000000018
21,0.8521950581111271,0.8466425612136569,0.8484954626149421,0.09074181818181819,0.023999999999999997,0.05912727272727272,0.005552496897470172,0.0667418181818182,0.0036995954961849264,0.031614545454545465
22,0.8511199324633024,0.8466425612136569,0.8503453031969181,0.08371636363636363,0.023999999999999997,0.08020363636363637,0.004477371249645534,0.05971636363636364,0.0007746292663842747,0.0035127272727272646
23,0.8508543013388912,0.8466425612136569,0.8485615838720795,0.08371636363636364,0.023999999999999997,0.060883636363636355,0.004211740125234287,0.05971636363636365,0.0022927174668117,0.02283272727272729
24,0.8511496754760127,0.8466425612136569,0.8499037764083694,0.08371636363636364,0.023999999999999997,0.07844727272727273,0.004507114262355838,0.05971636363636365,0.0012458990676432746,0.005269090909090918
25,0.8511452749402805,0.8467227279604902,0.8512517796072403,0.09074181818181819,0.02575636363636363,0.09074181818181819,0.004422546979790276,0.06498545454545455,-0.00010650466695982796,0.0
26,0.8518691560186725,0.8466425612136569,0.8483979026190629,0.08547272727272727,0.023999999999999997,0.06264,0.0052265948050156386,0.061472727272727276,0.0034712533996096306,0.02283272727272727
27,0.8500965602330831,0.8466425612136569,0.8485292810825247,0.07317818181818181,0.023999999999999997,0.06264,0.0034539990194262238,0.049178181818181815,0.0015672791505584316,0.010538181818181808
28,0.8499895601908946,0.8466425612136569,0.8486771662104633,0.06966545454545454,0.023999999999999997,0.06088363636363637,0.0033469989772376696,0.04566545454545455,0.001312393980431259,0.008781818181818175
29,0.8511290807525922,0.8466425612136569,0.8507265611794403,0.07669090909090909,0.023999999999999997,0.08195999999999999,0.004486519538935307,0.052690909090909094,0.0004025195731518494,-0.005269090909090904
30,0.8506972311682163,0.8466425612136569,0.8496462794334173,0.07844727272727273,0.023999999999999997,0.07844727272727273,0.004054669954559387,0.05444727272727273,0.001050951734798966,0.0
31,0.8508324721063516,0.8466425612136569,0.8491490243128331,0.08722909090909091,0.023999999999999997,0.07142181818181817,0.004189910892694715,0.06322909090909092,0.0016834477935184777,0.01580727272727274
32,0.8532028043605473,0.8466425612136569,0.8502727877793681,0.10128000000000001,0.023999999999999997,0.07493454545454545,0.00656024314689041,0.07728000000000002,0.0029300165811791956,0.02634545454545456
33,0.8503535674468347,0.8466425612136569,0.8488215435660161,0.07669090909090909,0.023999999999999997,0.06439636363636364,0.0037110062331777716,0.052690909090909094,0.0015320238808185227,0.012294545454545447
34,0.8517484899450541,0.8466425612136569,0.8494573727144833,0.09249818181818181,0.023999999999999997,0.07493454545454545,0.005105928731397258,0.06849818181818182,0.0022911172305708494,0.017563636363636365
35,0.8523295802920751,0.8466425612136569,0.8498805454696676,0.09952363636363634,0.023999999999999997,0.07844727272727273,0.005687019078418176,0.07552363636363635,0.0024490348224074365,0.021076363636363615
36,0.8521678292344551,0.8467926333637291,0.8497822212332183,0.09249818181818183,0.02575636363636363,0.0679090909090909,0.005375195870725991,0.0667418181818182,0.002385608001236772,0.02458909090909092
37,0.8514383058946486,0.8466425612136569,0.8495010994338146,0.09249818181818181,0.023999999999999997,0.0731781818181818,0.004795744680991754,0.06849818181818182,0.0019372064608340622,0.019320000000000018
