realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
0,0.8557043520791408,0.8608280904017169,0.8567865412292448,0.10157272727272727,0.0817909090909091,0.07278787878787879,-0.005123738322576177,0.019781818181818178,-0.0010821891501040515,0.028784848484848483
1,0.8558207860075225,0.8605948814307881,0.8567059278979888,0.09815757575757576,0.07838787878787878,0.06986060606060607,-0.0047740954232655675,0.01976969696969698,-0.00088514189046629,0.028296969696969695
2,0.8552138442074119,0.8605623443251611,0.8570470094307011,0.09230303030303032,0.07692424242424242,0.0762030303030303,-0.005348500117749233,0.015378787878787895,-0.001833165223289246,0.016100000000000017
3,0.8554072494229163,0.8608384425291534,0.8564747499406024,0.08498484848484851,0.08179090909090911,0.06546969696969698,-0.0054311931062370755,0.0031939393939394017,-0.0010675005176860042,0.019515151515151527
4,0.8553420836971813,0.861126462479173,0.8567562578897356,0.1010848484848485,0.08081515151515152,0.0723,-0.0057843787819916725,0.02026969696969698,-0.001414174192554296,0.028784848484848496
5,0.8557284652348631,0.8605265971925862,0.8569378372335007,0.10157272727272729,0.07837575757575757,0.07034848484848485,-0.004798131957723051,0.023196969696969716,-0.0012093719986375762,0.031224242424242432
6,0.8554685382526337,0.8608817886663757,0.8567580533015033,0.0927909090909091,0.08276666666666667,0.07522727272727274,-0.005413250413741966,0.010024242424242436,-0.0012895150488696494,0.017563636363636365
7,0.8557559759872322,0.8609212444789217,0.8570454558069459,0.09425454545454547,0.0802909090909091,0.06937272727272728,-0.005165268491689523,0.013963636363636373,-0.0012894798197137236,0.024881818181818185
8,0.8558800024313244,0.8604118841275182,0.8564568884314497,0.09327878787878788,0.07446060606060607,0.07181212121212122,-0.004531881696193785,0.018818181818181803,-0.0005768860001252873,0.02146666666666666
9,0.8565248341771953,0.8606974037054704,0.8566363002353472,0.10010909090909091,0.07594848484848483,0.06546969696969697,-0.004172569528275161,0.024160606060606077,-0.00011146605815193222,0.03463939393939394
10,0.8563163974495742,0.8618739325157122,0.8571392286267969,0.1005969696969697,0.0905848484848485,0.07132424242424244,-0.005557535066137986,0.010012121212121194,-0.0008228311772227048,0.029272727272727256
11,0.856223866863537,0.8612402341927138,0.8563384851207596,0.09766969696969698,0.08275454545454546,0.06546969696969697,-0.005016367329176763,0.01491515151515152,-0.00011461825722258734,0.032200000000000006
12,0.8551150698922694,0.8607659448641398,0.856749899145033,0.1005969696969697,0.07937575757575759,0.07522727272727273,-0.005650874971870445,0.021221212121212113,-0.0016348292527635921,0.025369696969696973
13,0.8558585743813699,0.8612003521095959,0.8566939675584613,0.09815757575757578,0.08277878787878787,0.07132424242424242,-0.0053417777282259715,0.015378787878787908,-0.0008353931770913592,0.026833333333333362
14,0.8558577541266074,0.8610688899564535,0.8571136186240741,0.09718181818181819,0.08131515151515152,0.06986060606060607,-0.005211135829846114,0.015866666666666668,-0.00125586449746673,0.02732121212121212
15,0.8559214563883585,0.8607515945810017,0.8568210648206499,0.09913333333333332,0.07646060606060606,0.06937272727272728,-0.0048301381926432185,0.02267272727272726,-0.0008996084322914211,0.029760606060606043
16,0.8560419626084035,0.8616370203986384,0.856993822605332,0.08644848484848486,0.08819393939393941,0.0723,-0.005595057790234947,-0.00174545454545455,-0.0009518599969284836,0.014148484848484855
17,0.8561693805634767,0.8616896763504339,0.85682925616301,0.09376666666666668,0.08668181818181818,0.06839696969696969,-0.00552029578695723,0.007084848484848499,-0.0006598755995332883,0.025369696969696987
18,0.8556307898109058,0.8611987674603873,0.8565081894288807,0.08840000000000002,0.08081515151515152,0.06790909090909092,-0.00556797764948147,0.0075848484848485,-0.0008773996179749499,0.0204909090909091
19,0.8552597608418401,0.8612497320564111,0.8568548352754611,0.10157272727272729,0.08325454545454547,0.06644545454545456,-0.0059899712145710104,0.018318181818181817,-0.0015950744336210576,0.03512727272727273
20,0.8561395089593428,0.861096304377493,0.8572481926702622,0.0927909090909091,0.08424242424242424,0.07473939393939394,-0.004956795418150195,0.00854848484848486,-0.0011086837109194336,0.018051515151515166
21,0.8558664001110816,0.8613897357182752,0.8564679589621902,0.0962060606060606,0.08621818181818183,0.06449393939393941,-0.005523335607193536,0.009987878787878768,-0.0006015588511085745,0.03171212121212119
