realisation,F1_2G,F1_RF,F1_tau,B_2G,B_RF,B_tau,dF_2G_RF,dB_2G_RF,dF_2G_tau,dB_2G_tau
0,0.8553843390405904,0.86446937692179,0.8607812180144612,0.024000000000000004,0.15838787878787883,0.21036969696969698,-0.009085037881199631,-0.13438787878787883,-0.005396878973870756,-0.186369696969697
1,0.8553843390405904,0.8638981627635491,0.8602499051569492,0.024000000000000004,0.1456909090909091,0.21378484848484847,-0.008513823722958724,-0.12169090909090909,-0.004865566116358799,-0.18978484848484847
2,0.8553843390405904,0.8641627098563155,0.8608428429754645,0.024000000000000004,0.1466909090909091,0.22207878787878788,-0.008778370815725078,-0.12269090909090909,-0.005458503934874126,-0.19807878787878788
3,0.8553843390405904,0.8639650013235329,0.8612095221048345,0.024000000000000004,0.15250909090909093,0.21720000000000003,-0.00858066228294252,-0.12850909090909093,-0.005825183064244066,-0.19320000000000004
4,0.8553843390405904,0.8646577076094113,0.8615862207364298,0.024000000000000004,0.15347272727272726,0.23086060606060607,-0.009273368568820883,-0.12947272727272727,-0.006201881695839351,-0.20686060606060608
5,0.8553843390405904,0.8639440799735743,0.8605055167320269,0.024000000000000004,0.1486060606060606,0.2147606060606061,-0.00855974093298384,-0.1246060606060606,-0.005121177691436496,-0.1907606060606061
6,0.8553843390405904,0.8643946832219457,0.8609707291043658,0.024000000000000004,0.150569696969697,0.21183333333333332,-0.009010344181355268,-0.126569696969697,-0.0055863900637753705,-0.18783333333333332
7,0.8553843390405904,0.8643274674457021,0.8613532399456628,0.024000000000000004,0.15347272727272726,0.21622424242424243,-0.008943128405111689,-0.12947272727272727,-0.005968900905072405,-0.19222424242424244
8,0.8553843390405904,0.863446658800357,0.860834219403331,0.024000000000000004,0.1412878787878788,0.21768787878787882,-0.008062319759766567,-0.11728787878787879,-0.005449880362740633,-0.19368787878787883
9,0.8553843390405904,0.8642848609426256,0.8617974833138673,0.024000000000000004,0.14619090909090907,0.20793030303030302,-0.008900521902035163,-0.12219090909090906,-0.006413144273276883,-0.18393030303030303
10,0.8553843390405904,0.8654284204139123,0.862423768583127,0.024000000000000004,0.16764545454545454,0.22500606060606063,-0.010044081373321911,-0.14364545454545455,-0.007039429542536557,-0.20100606060606063
11,0.8553843390405904,0.8644114398771283,0.8609369475912585,0.024000000000000004,0.14765454545454545,0.21866363636363637,-0.009027100836537905,-0.12365454545454545,-0.005552608550668081,-0.19466363636363637
12,0.8553843390405904,0.8637703215448346,0.8607471356100207,0.024000000000000004,0.1462030303030303,0.23525151515151516,-0.00838598250424416,-0.1222030303030303,-0.005362796569430284,-0.21125151515151516
13,0.8553843390405904,0.8649721786310325,0.8616104658675924,0.024000000000000004,0.15399696969696972,0.2250060606060606,-0.009587839590442071,-0.12999696969696972,-0.006226126827001965,-0.2010060606060606
14,0.8553843390405904,0.8645170007615186,0.8611605897770119,0.024000000000000004,0.1491060606060606,0.2162242424242424,-0.009132661720928192,-0.1251060606060606,-0.005776250736421518,-0.1922242424242424
