split,threshold,comm_rate,ap_50,ap_70,payload_msym
culver,0.0,1.0,0.84139,0.71694,N/A
culver,0.01,0.485078,0.84118,0.71832,N/A
culver,0.011,0.43314,0.84035,0.71761,N/A
culver,0.012,0.382536,0.83927,0.7177,N/A
culver,0.013,0.311724,0.83764,0.71664,N/A
culver,0.015,0.126359,0.83419,0.71643,N/A
culver,0.02,0.090778,0.83195,0.71588,N/A
culver,0.025,0.07297,0.83116,0.71523,N/A
culver,0.03,0.0608,0.82918,0.71432,N/A
culver,0.04,0.046342,0.82578,0.71057,N/A
culver,0.05,0.037854,0.82119,0.70771,N/A
culver,1.1,0.0,0.69374,0.58007,N/A
test,0.0,1.0,0.92095,0.8302,N/A
test,0.01,0.46483,0.92004,0.8317,N/A
test,0.011,0.422182,0.91954,0.83177,N/A
test,0.012,0.378591,0.91936,0.83162,N/A
test,0.013,0.313043,0.91877,0.83116,N/A
test,0.015,0.08021,0.91808,0.83076,N/A
test,0.02,0.052057,0.91708,0.82989,N/A
test,0.025,0.039238,0.91511,0.82861,N/A
test,0.03,0.031412,0.91405,0.82904,N/A
test,0.04,0.022739,0.91121,0.82588,N/A
test,0.05,0.017895,0.90799,0.8236,N/A
test,1.1,0.0,0.79757,0.68224,N/A
