split,threshold,rate,B_w2c_msym,share_declared,share_bottleneck
culver,0.0,1.0,0.99422,1.0043,2.9382
culver,0.01,0.4851,0.48444,0.4893,1.4317
culver,0.015,0.1264,0.12932,0.1306,0.3822
culver,0.02,0.0908,0.09409,0.095,0.2781
culver,0.025,0.073,0.07646,0.0772,0.226
culver,0.03,0.0608,0.06379,0.0644,0.1885
culver,0.04,0.0463,0.04862,0.0491,0.1437
culver,0.05,0.0379,0.03971,0.0401,0.1174
test,0.0,1.0,0.99422,1.0043,2.9382
test,0.01,0.4648,0.4644,0.4691,1.3724
test,0.015,0.0802,0.08363,0.0845,0.2472
test,0.02,0.0521,0.05462,0.0552,0.1614
test,0.025,0.0392,0.04116,0.0416,0.1217
test,0.03,0.0314,0.03295,0.0333,0.0974
test,0.04,0.0227,0.02386,0.0241,0.0705
test,0.05,0.0179,0.01877,0.019,0.0555
validate,0.0,1.0,0.99422,1.0043,2.9382
validate,0.01,0.4839,0.48324,0.4881,1.4281
validate,0.015,0.1204,0.12345,0.1247,0.3648
validate,0.02,0.0831,0.08654,0.0874,0.2557
validate,0.025,0.0654,0.0686,0.0693,0.2027
validate,0.03,0.054,0.05661,0.0572,0.1673
validate,0.04,0.0402,0.04216,0.0426,0.1246
validate,0.05,0.0319,0.0335,0.0338,0.099
validate,0.1,0.0099,0.01036,0.0105,0.0306
