qam,channel,esno_db,ebno_db,bler_cw,n_cw,n_err,bler_frame
16,ofdm,0.0,-3.01,0.9925,2000,1985,1.0
16,ofdm,3.0,-0.01,0.9265,2000,1853,1.0
16,ofdm,3.5,0.49,0.898,2000,1796,1.0
16,ofdm,4.0,0.99,0.859,2000,1718,1.0
16,ofdm,4.5,1.49,0.835,2000,1670,1.0
16,ofdm,5.0,1.99,0.7955,2000,1591,1.0
16,ofdm,5.5,2.49,0.751,2000,1502,1.0
16,ofdm,6.0,2.99,0.706,2000,1412,1.0
16,ofdm,6.5,3.49,0.676,2000,1352,1.0
16,ofdm,7.0,3.99,0.604,2000,1208,1.0
16,ofdm,7.5,4.49,0.569,2000,1138,1.0
16,ofdm,8.0,4.99,0.5065,2000,1013,1.0
16,ofdm,8.5,5.49,0.481,2000,962,1.0
16,ofdm,9.0,5.99,0.443,2000,886,1.0
16,ofdm,9.5,6.49,0.3965,2000,793,1.0
16,ofdm,10.0,6.99,0.3475,2000,695,1.0
16,ofdm,10.5,7.49,0.3235,2000,647,1.0
16,ofdm,11.0,7.99,0.284,2000,568,1.0
16,ofdm,11.5,8.49,0.2565,2000,513,1.0
16,ofdm,12.0,8.99,0.205,2000,410,1.0
16,ofdm,12.5,9.49,0.1905,2000,381,1.0
16,ofdm,13.0,9.99,0.1605,2000,321,1.0
16,ofdm,13.5,10.49,0.1445,2000,289,1.0
16,ofdm,14.0,10.99,0.109,2000,218,1.0
16,ofdm,14.5,11.49,0.0915,2000,183,1.0
16,ofdm,15.0,11.99,0.0805,2000,161,1.0
16,ofdm,15.5,12.49,0.064,2000,128,1.0
16,ofdm,16.0,12.99,0.0585,2000,117,1.0
16,ofdm,16.5,13.49,0.04825,4000,193,1.0
16,ofdm,17.0,13.99,0.03775,4000,151,1.0
16,ofdm,17.5,14.49,0.0285,4000,114,1.0
16,ofdm,18.0,14.99,0.021166666666666667,6000,127,1.0
16,ofdm,18.5,15.49,0.021,6000,126,1.0
16,ofdm,19.0,15.99,0.0165,8000,132,1.0
16,ofdm,19.5,16.49,0.01275,8000,102,1.0
16,ofdm,20.0,16.99,0.009083333333333334,12000,109,0.9999999999999998
16,ofdm,20.5,17.49,0.00875,12000,105,0.9999999999999992
16,ofdm,21.0,17.99,0.007,16000,112,0.9999999999991701
16,ofdm,21.5,18.49,0.004545454545454545,22000,100,0.9999999853823113
16,ofdm,22.0,18.99,0.0035714285714285713,28000,100,0.9999992971852811
16,ofdm,22.5,19.49,0.0029705882352941177,34000,101,0.9999923517706321
16,ofdm,23.0,19.99,0.002625,40000,105,0.9999698301465
16,ofdm,23.5,20.49,0.0022727272727272726,44000,100,0.9998778478055307
16,ofdm,24.0,20.99,0.0015303030303030303,66000,101,0.9976764092531679
16,ofdm,24.5,21.49,0.0011222222222222222,90000,101,0.988280433046958
16,ofdm,25.0,21.99,0.00078,100000,78,0.9544982848793045
16,ofdm,28.0,24.99,0.00015,100000,15,0.44791019430169865
256,ofdm,6.0,-0.02,1.0,2000,2000,1.0
256,ofdm,10.0,3.98,0.9685,2000,1937,1.0
256,ofdm,13.0,6.98,0.839,2000,1678,1.0
256,ofdm,13.5,7.48,0.777,2000,1554,1.0
256,ofdm,14.0,7.98,0.7405,2000,1481,1.0
256,ofdm,14.5,8.48,0.7085,2000,1417,1.0
256,ofdm,15.0,8.98,0.6795,2000,1359,1.0
256,ofdm,15.5,9.48,0.6375,2000,1275,1.0
256,ofdm,16.0,9.98,0.5645,2000,1129,1.0
256,ofdm,16.5,10.48,0.5125,2000,1025,1.0
256,ofdm,17.0,10.98,0.487,2000,974,1.0
256,ofdm,17.5,11.48,0.4345,2000,869,1.0
256,ofdm,18.0,11.98,0.397,2000,794,1.0
256,ofdm,18.5,12.48,0.356,2000,712,1.0
256,ofdm,19.0,12.98,0.308,2000,616,1.0
256,ofdm,19.5,13.48,0.2725,2000,545,1.0
256,ofdm,20.0,13.98,0.2395,2000,479,1.0
256,ofdm,20.5,14.48,0.2075,2000,415,1.0
256,ofdm,21.0,14.98,0.187,2000,374,1.0
256,ofdm,21.5,15.48,0.148,2000,296,1.0
256,ofdm,22.0,15.98,0.1275,2000,255,1.0
256,ofdm,22.5,16.48,0.1055,2000,211,1.0
256,ofdm,23.0,16.98,0.094,2000,188,1.0
256,ofdm,23.5,17.48,0.082,2000,164,1.0
256,ofdm,24.0,17.98,0.069,2000,138,1.0
256,ofdm,24.5,18.48,0.053,4000,212,1.0
256,ofdm,25.0,18.98,0.0465,4000,186,1.0
256,ofdm,25.5,19.48,0.037,4000,148,1.0
256,ofdm,26.0,19.98,0.027,4000,108,1.0
256,ofdm,26.5,20.48,0.023166666666666665,6000,139,1.0
256,ofdm,27.0,20.98,0.021166666666666667,6000,127,1.0
256,ofdm,27.5,21.48,0.017333333333333333,6000,104,1.0
256,ofdm,28.0,21.98,0.0124,10000,124,1.0
256,ofdm,28.5,22.48,0.009583333333333333,12000,115,1.0
256,ofdm,29.0,22.98,0.007,16000,112,0.9999999999991701
256,ofdm,29.5,23.48,0.005555555555555556,18000,100,0.9999999997376492
256,ofdm,30.0,23.98,0.005611111111111111,18000,101,0.9999999997897184
256,ofdm,30.5,24.48,0.003923076923076923,26000,102,0.9999998263002849
256,ofdm,31.0,24.98,0.00315625,32000,101,0.9999963417153386
256,ofdm,34.0,27.98,0.0005,100000,50,0.8619991128278197
