qam,channel,rician_k,esno_db,ebno_db,bler_cw,n_cw,n_err,bler_frame
16,rician,0.0,0.0,-3.01,0.9815,2000,1963,1.0
16,rician,0.0,2.0,-1.01,0.9245,2000,1849,1.0
16,rician,0.0,3.0,-0.01,0.882,2000,1764,1.0
16,rician,0.0,3.5,0.49,0.855,2000,1710,1.0
16,rician,0.0,4.0,0.99,0.8055,2000,1611,1.0
16,rician,0.0,4.5,1.49,0.78,2000,1560,1.0
16,rician,0.0,5.0,1.99,0.7355,2000,1471,1.0
16,rician,0.0,5.5,2.49,0.699,2000,1398,1.0
16,rician,0.0,6.0,2.99,0.652,2000,1304,1.0
16,rician,0.0,6.5,3.49,0.6085,2000,1217,1.0
16,rician,0.0,7.0,3.99,0.565,2000,1130,1.0
16,rician,0.0,7.5,4.49,0.534,2000,1068,1.0
16,rician,0.0,8.0,4.99,0.4835,2000,967,1.0
16,rician,0.0,8.5,5.49,0.4505,2000,901,1.0
16,rician,0.0,9.0,5.99,0.404,2000,808,1.0
16,rician,0.0,9.5,6.49,0.3825,2000,765,1.0
16,rician,0.0,10.0,6.99,0.3625,2000,725,1.0
16,rician,0.0,10.5,7.49,0.3205,2000,641,1.0
16,rician,0.0,11.0,7.99,0.2825,2000,565,1.0
16,rician,0.0,11.5,8.49,0.262,2000,524,1.0
16,rician,0.0,12.0,8.99,0.256,2000,512,1.0
16,rician,0.0,12.5,9.49,0.1985,2000,397,1.0
16,rician,0.0,13.0,9.99,0.1865,2000,373,1.0
16,rician,0.0,13.5,10.49,0.184,2000,368,1.0
16,rician,0.0,14.0,10.99,0.161,2000,322,1.0
16,rician,0.0,14.5,11.49,0.134,2000,268,1.0
16,rician,0.0,15.0,11.99,0.132,2000,264,1.0
16,rician,0.0,15.5,12.49,0.1065,2000,213,1.0
16,rician,0.0,16.0,12.99,0.1065,2000,213,1.0
16,rician,0.0,16.5,13.49,0.1035,2000,207,1.0
16,rician,0.0,17.0,13.99,0.0835,2000,167,1.0
16,rician,0.0,17.5,14.49,0.0685,2000,137,1.0
16,rician,0.0,18.0,14.99,0.0665,2000,133,1.0
16,rician,0.0,18.5,15.49,0.0535,2000,107,1.0
16,rician,0.0,19.0,15.99,0.0535,2000,107,1.0
16,rician,0.0,19.5,16.49,0.04875,4000,195,1.0
16,rician,0.0,20.0,16.99,0.045,4000,180,1.0
16,rician,0.0,20.5,17.49,0.0395,4000,158,1.0
16,rician,0.0,21.0,17.99,0.027,4000,108,1.0
16,rician,0.0,21.5,18.49,0.026833333333333334,6000,161,1.0
16,rician,0.0,22.0,18.99,0.0265,4000,106,1.0
16,rician,0.0,22.5,19.49,0.0205,6000,123,1.0
16,rician,0.0,23.0,19.99,0.02033333333333333,6000,122,1.0
16,rician,0.0,23.5,20.49,0.018666666666666668,6000,112,1.0
16,rician,0.0,24.0,20.99,0.017833333333333333,6000,107,1.0
16,rician,0.0,24.5,21.49,0.01575,8000,126,1.0
16,rician,0.0,25.0,21.99,0.01375,8000,110,1.0
16,rician,0.0,25.5,22.49,0.0108,10000,108,1.0
16,rician,0.0,26.0,22.99,0.012875,8000,103,1.0
16,rician,0.0,26.5,23.49,0.0101,10000,101,1.0
16,rician,0.0,27.0,23.99,0.008333333333333333,12000,100,0.9999999999999959
16,rician,0.0,27.5,24.49,0.007,16000,112,0.9999999999991701
16,rician,0.0,28.0,24.99,0.005833333333333334,18000,105,0.9999999999132194
16,rician,0.0,28.5,25.49,0.007142857142857143,14000,100,0.9999999999995306
16,rician,0.0,29.0,25.99,0.00505,20000,101,0.999999998036752
256,rician,0.0,6.0,-0.02,0.9985,2000,1997,1.0
256,rician,0.0,8.0,1.98,0.99,2000,1980,1.0
256,rician,0.0,10.0,3.98,0.948,2000,1896,1.0
256,rician,0.0,11.0,4.98,0.913,2000,1826,1.0
256,rician,0.0,11.5,5.48,0.869,2000,1738,1.0
256,rician,0.0,12.0,5.98,0.851,2000,1702,1.0
256,rician,0.0,12.5,6.48,0.813,2000,1626,1.0
256,rician,0.0,13.0,6.98,0.7835,2000,1567,1.0
256,rician,0.0,13.5,7.48,0.759,2000,1518,1.0
256,rician,0.0,14.0,7.98,0.687,2000,1374,1.0
256,rician,0.0,14.5,8.48,0.662,2000,1324,1.0
256,rician,0.0,15.0,8.98,0.614,2000,1228,1.0
256,rician,0.0,15.5,9.48,0.5825,2000,1165,1.0
256,rician,0.0,16.0,9.98,0.534,2000,1068,1.0
256,rician,0.0,16.5,10.48,0.4915,2000,983,1.0
256,rician,0.0,17.0,10.98,0.4405,2000,881,1.0
256,rician,0.0,17.5,11.48,0.4145,2000,829,1.0
256,rician,0.0,18.0,11.98,0.388,2000,776,1.0
256,rician,0.0,18.5,12.48,0.36,2000,720,1.0
256,rician,0.0,19.0,12.98,0.3125,2000,625,1.0
256,rician,0.0,19.5,13.48,0.279,2000,558,1.0
256,rician,0.0,20.0,13.98,0.259,2000,518,1.0
256,rician,0.0,20.5,14.48,0.25,2000,500,1.0
256,rician,0.0,21.0,14.98,0.2055,2000,411,1.0
256,rician,0.0,21.5,15.48,0.183,2000,366,1.0
256,rician,0.0,22.0,15.98,0.1635,2000,327,1.0
256,rician,0.0,22.5,16.48,0.152,2000,304,1.0
256,rician,0.0,23.0,16.98,0.1455,2000,291,1.0
256,rician,0.0,23.5,17.48,0.134,2000,268,1.0
256,rician,0.0,24.0,17.98,0.101,2000,202,1.0
256,rician,0.0,24.5,18.48,0.0905,2000,181,1.0
256,rician,0.0,25.0,18.98,0.102,2000,204,1.0
256,rician,0.0,25.5,19.48,0.0785,2000,157,1.0
256,rician,0.0,26.0,19.98,0.066,2000,132,1.0
256,rician,0.0,26.5,20.48,0.0635,2000,127,1.0
256,rician,0.0,27.0,20.98,0.051,2000,102,1.0
256,rician,0.0,27.5,21.48,0.0485,4000,194,1.0
256,rician,0.0,28.0,21.98,0.044,4000,176,1.0
256,rician,0.0,28.5,22.48,0.04175,4000,167,1.0
256,rician,0.0,29.0,22.98,0.03275,4000,131,1.0
256,rician,0.0,29.5,23.48,0.03525,4000,141,1.0
256,rician,0.0,30.0,23.98,0.0315,4000,126,1.0
256,rician,0.0,30.5,24.48,0.02675,4000,107,1.0
256,rician,0.0,31.0,24.98,0.021833333333333333,6000,131,1.0
256,rician,0.0,31.5,25.48,0.0205,6000,123,1.0
256,rician,0.0,32.0,25.98,0.017333333333333333,6000,104,1.0
256,rician,0.0,32.5,26.48,0.016375,8000,131,1.0
256,rician,0.0,33.0,26.98,0.015,8000,120,1.0
16,rician,3.0,0.0,-3.01,1.0,2000,2000,1.0
16,rician,3.0,2.0,-1.01,0.9755,2000,1951,1.0
16,rician,3.0,3.0,-0.01,0.931,2000,1862,1.0
16,rician,3.0,3.5,0.49,0.9115,2000,1823,1.0
16,rician,3.0,4.0,0.99,0.8605,2000,1721,1.0
16,rician,3.0,4.5,1.49,0.7915,2000,1583,1.0
16,rician,3.0,5.0,1.99,0.737,2000,1474,1.0
16,rician,3.0,5.5,2.49,0.6845,2000,1369,1.0
16,rician,3.0,6.0,2.99,0.6015,2000,1203,1.0
16,rician,3.0,6.5,3.49,0.5465,2000,1093,1.0
16,rician,3.0,7.0,3.99,0.4785,2000,957,1.0
16,rician,3.0,7.5,4.49,0.4305,2000,861,1.0
16,rician,3.0,8.0,4.99,0.3595,2000,719,1.0
16,rician,3.0,8.5,5.49,0.3025,2000,605,1.0
16,rician,3.0,9.0,5.99,0.261,2000,522,1.0
16,rician,3.0,9.5,6.49,0.243,2000,486,1.0
16,rician,3.0,10.0,6.99,0.1885,2000,377,1.0
16,rician,3.0,10.5,7.49,0.1755,2000,351,1.0
16,rician,3.0,11.0,7.99,0.152,2000,304,1.0
16,rician,3.0,11.5,8.49,0.1155,2000,231,1.0
16,rician,3.0,12.0,8.99,0.094,2000,188,1.0
16,rician,3.0,12.5,9.49,0.079,2000,158,1.0
16,rician,3.0,13.0,9.99,0.0755,2000,151,1.0
16,rician,3.0,13.5,10.49,0.0675,2000,135,1.0
16,rician,3.0,14.0,10.99,0.052,2000,104,1.0
16,rician,3.0,14.5,11.49,0.0445,4000,178,1.0
16,rician,3.0,15.0,11.99,0.0415,4000,166,1.0
16,rician,3.0,15.5,12.49,0.03225,4000,129,1.0
16,rician,3.0,16.0,12.99,0.03175,4000,127,1.0
16,rician,3.0,16.5,13.49,0.024166666666666666,6000,145,1.0
16,rician,3.0,17.0,13.99,0.025333333333333333,6000,152,1.0
16,rician,3.0,17.5,14.49,0.02033333333333333,6000,122,1.0
16,rician,3.0,18.0,14.99,0.0185,6000,111,1.0
16,rician,3.0,18.5,15.49,0.018166666666666668,6000,109,1.0
16,rician,3.0,19.0,15.99,0.0135,8000,108,1.0
16,rician,3.0,19.5,16.49,0.009166666666666667,12000,110,0.9999999999999999
16,rician,3.0,20.0,16.99,0.0102,10000,102,1.0
16,rician,3.0,20.5,17.49,0.007571428571428572,14000,106,0.9999999999999151
16,rician,3.0,21.0,17.99,0.007642857142857143,14000,107,0.9999999999999362
16,rician,3.0,21.5,18.49,0.0063125,16000,101,0.9999999999871378
16,rician,3.0,22.0,18.99,0.0065625,16000,105,0.9999999999952512
16,rician,3.0,22.5,19.49,0.00525,20000,105,0.9999999991144086
16,rician,3.0,23.0,19.99,0.004333333333333333,24000,104,0.9999999660130007
16,rician,3.0,23.5,20.49,0.004333333333333333,24000,104,0.9999999660130007
16,rician,3.0,24.0,20.99,0.003533333333333333,30000,106,0.9999991823059418
16,rician,3.0,24.5,21.49,0.003,36000,108,0.9999931950190439
16,rician,3.0,25.0,21.99,0.0025,40000,100,0.9999504434275772
16,rician,3.0,25.5,22.49,0.0025,40000,100,0.9999504434275772
16,rician,3.0,26.0,22.99,0.0021875,48000,105,0.9998286818920485
16,rician,3.0,26.5,23.49,0.0024047619047619048,42000,101,0.9999276739098718
16,rician,3.0,27.0,23.99,0.0018214285714285715,56000,102,0.9992677832507298
16,rician,3.0,27.5,24.49,0.001282051282051282,78000,100,0.9937812123265969
16,rician,3.0,28.0,24.99,0.0014166666666666668,72000,102,0.9963534636494575
16,rician,3.0,28.5,25.49,0.0014852941176470588,68000,101,0.9972223141089434
16,rician,3.0,29.0,25.99,0.0011666666666666668,90000,105,0.9901737420907553
256,rician,3.0,6.0,-0.02,1.0,2000,2000,1.0
256,rician,3.0,8.0,1.98,0.9995,2000,1999,1.0
256,rician,3.0,10.0,3.98,0.986,2000,1972,1.0
256,rician,3.0,11.0,4.98,0.958,2000,1916,1.0
256,rician,3.0,11.5,5.48,0.935,2000,1870,1.0
256,rician,3.0,12.0,5.98,0.895,2000,1790,1.0
256,rician,3.0,12.5,6.48,0.837,2000,1674,1.0
256,rician,3.0,13.0,6.98,0.805,2000,1610,1.0
256,rician,3.0,13.5,7.48,0.7375,2000,1475,1.0
256,rician,3.0,14.0,7.98,0.678,2000,1356,1.0
256,rician,3.0,14.5,8.48,0.6155,2000,1231,1.0
256,rician,3.0,15.0,8.98,0.539,2000,1078,1.0
256,rician,3.0,15.5,9.48,0.47,2000,940,1.0
256,rician,3.0,16.0,9.98,0.418,2000,836,1.0
256,rician,3.0,16.5,10.48,0.3465,2000,693,1.0
256,rician,3.0,17.0,10.98,0.2855,2000,571,1.0
256,rician,3.0,17.5,11.48,0.285,2000,570,1.0
256,rician,3.0,18.0,11.98,0.2295,2000,459,1.0
256,rician,3.0,18.5,12.48,0.201,2000,402,1.0
256,rician,3.0,19.0,12.98,0.1715,2000,343,1.0
256,rician,3.0,19.5,13.48,0.1425,2000,285,1.0
256,rician,3.0,20.0,13.98,0.1195,2000,239,1.0
256,rician,3.0,20.5,14.48,0.1105,2000,221,1.0
256,rician,3.0,21.0,14.98,0.098,2000,196,1.0
256,rician,3.0,21.5,15.48,0.0665,2000,133,1.0
256,rician,3.0,22.0,15.98,0.061,2000,122,1.0
256,rician,3.0,22.5,16.48,0.0565,2000,113,1.0
256,rician,3.0,23.0,16.98,0.04925,4000,197,1.0
256,rician,3.0,23.5,17.48,0.03775,4000,151,1.0
256,rician,3.0,24.0,17.98,0.03675,4000,147,1.0
256,rician,3.0,24.5,18.48,0.02725,4000,109,1.0
256,rician,3.0,25.0,18.98,0.02675,4000,107,1.0
256,rician,3.0,25.5,19.48,0.022166666666666668,6000,133,1.0
256,rician,3.0,26.0,19.98,0.019833333333333335,6000,119,1.0
256,rician,3.0,26.5,20.48,0.013125,8000,105,1.0
256,rician,3.0,27.0,20.98,0.014625,8000,117,1.0
256,rician,3.0,27.5,21.48,0.01375,8000,110,1.0
256,rician,3.0,28.0,21.98,0.011,10000,110,1.0
256,rician,3.0,28.5,22.48,0.0104,10000,104,1.0
256,rician,3.0,29.0,22.98,0.008583333333333333,12000,103,0.9999999999999986
256,rician,3.0,29.5,23.48,0.0074285714285714285,14000,104,0.9999999999998498
256,rician,3.0,30.0,23.98,0.00625,16000,100,0.9999999999835001
256,rician,3.0,30.5,24.48,0.0053,20000,106,0.99999999927425
256,rician,3.0,31.0,24.98,0.005888888888888889,18000,106,0.9999999999304472
256,rician,3.0,31.5,25.48,0.004192307692307692,26000,109,0.9999999404491583
