split,budget,anchor,rho_E,rho_L,rho_F,B_F_msym,policy_msym,policy_over_fixedF
culver,010,declared_anchor,0.0,0.9981818181818182,0.0018181818181818182,0.99,0.025756363636363636,0.026016528925619835
culver,010,paper_reanchor_2p16Mbit,0.0,0.9981818181818182,0.0018181818181818182,1.08,0.02592,0.023999999999999997
culver,010,deployed_tensor,0.0,0.9981818181818182,0.0018181818181818182,1.8046875,0.027237613636363636,0.015092703659976387
culver,020,declared_anchor,0.0,0.990909090909091,0.00909090909090909,0.99,0.03278181818181818,0.033112947658402204
culver,020,paper_reanchor_2p16Mbit,0.0,0.990909090909091,0.00909090909090909,1.08,0.033600000000000005,0.031111111111111114
culver,020,deployed_tensor,0.0,0.990909090909091,0.00909090909090909,1.8046875,0.040188068181818186,0.022268713105076745
culver,030,declared_anchor,0.0,0.88,0.12,0.99,0.13992,0.1413333333333333
culver,030,paper_reanchor_2p16Mbit,0.0,0.88,0.12,1.08,0.15072,0.13955555555555554
culver,030,deployed_tensor,0.0,0.88,0.12,1.8046875,0.2376825,0.13170285714285715
test,010,declared_anchor,0.005069124423963134,0.947926267281106,0.047004608294930875,0.99,0.06928479262672811,0.06998463901689708
test,010,paper_reanchor_2p16Mbit,0.005069124423963134,0.947926267281106,0.047004608294930875,1.08,0.07351520737327188,0.06806963645673322
test,010,deployed_tensor,0.005069124423963134,0.947926267281106,0.047004608294930875,1.8046875,0.1075788594470046,0.05961079657669519
test,020,declared_anchor,0.0004608294930875576,0.9244239631336405,0.07511520737327189,0.99,0.09655023041474654,0.09752548526742075
test,020,paper_reanchor_2p16Mbit,0.0004608294930875576,0.9244239631336405,0.07511520737327189,1.08,0.10331059907834102,0.09565796210957501
test,020,deployed_tensor,0.0004608294930875576,0.9244239631336405,0.07511520737327189,1.8046875,0.157745650921659,0.08740884553234783
test,030,declared_anchor,0.0009216589861751152,0.8317972350230415,0.1672811059907834,0.99,0.18557142857142858,0.18744588744588747
test,030,paper_reanchor_2p16Mbit,0.0009216589861751152,0.8317972350230415,0.1672811059907834,1.08,0.2006267281105991,0.18576548899129544
test,030,deployed_tensor,0.0009216589861751152,0.8317972350230415,0.1672811059907834,1.8046875,0.32185325460829495,0.1783429289604405
validate,010,declared_anchor,0.00909090909090909,0.9454545454545454,0.045454545454545456,0.99,0.0676909090909091,0.06837465564738292
validate,010,paper_reanchor_2p16Mbit,0.00909090909090909,0.9454545454545454,0.045454545454545456,1.08,0.07178181818181818,0.06646464646464646
validate,010,deployed_tensor,0.00909090909090909,0.9454545454545454,0.045454545454545456,1.8046875,0.1047221590909091,0.05802786304604487
validate,020,declared_anchor,0.008585858585858586,0.9101010101010101,0.08131313131313131,0.99,0.10234242424242425,0.10337618610345883
validate,020,paper_reanchor_2p16Mbit,0.008585858585858586,0.9101010101010101,0.08131313131313131,1.08,0.10966060606060607,0.10153759820426488
validate,020,deployed_tensor,0.008585858585858586,0.9101010101010101,0.08131313131313131,1.8046875,0.1685872159090909,0.09341629279811098
validate,030,declared_anchor,0.00808080808080808,0.8550505050505051,0.13686868686868686,0.99,0.15602121212121212,0.15759718396082031
validate,030,paper_reanchor_2p16Mbit,0.00808080808080808,0.8550505050505051,0.13686868686868686,1.08,0.16833939393939396,0.15586980920314253
validate,030,deployed_tensor,0.00808080808080808,0.8550505050505051,0.13686868686868686,1.8046875,0.26752642045454544,0.1482397481306572
