split,budget,policy,ap50_mean_frozen,ap50_mean_crop,d_ap50,ap70_mean_frozen,ap70_mean_crop,d_ap70,gt_dropped_pct
culver,0.1,CA-TOSG-RF,0.7299,0.8826,0.1527,0.6464,0.787,0.1406,20.476
culver,0.2,CA-TOSG-RF,0.7347,0.8833,0.1486,0.6485,0.7871,0.1386,20.476
culver,0.3,CA-TOSG-RF,0.7504,0.8861,0.1357,0.6611,0.7901,0.129,20.476
culver,-,Feature-ceiling,0.8269,0.9077,0.0808,0.7276,0.8169,0.0893,20.476
culver,-,Fixed-L,0.7299,0.8825,0.1526,0.6463,0.787,0.1407,20.476
culver,-,ego-only,0.6185,0.7775,0.159,0.5312,0.6678,0.1366,20.476
test,0.1,CA-TOSG-RF,0.8697,0.9427,0.073,0.8036,0.8742,0.0706,9.94
test,0.2,CA-TOSG-RF,0.8742,0.9428,0.0686,0.8058,0.8738,0.068,9.94
test,0.3,CA-TOSG-RF,0.8742,0.9414,0.0672,0.8038,0.8706,0.0668,9.94
test,-,Feature-ceiling,0.8931,0.9368,0.0437,0.8185,0.8679,0.0494,9.94
test,-,Fixed-L,0.8691,0.9429,0.0738,0.8027,0.8741,0.0714,9.94
test,-,ego-only,0.735,0.8162,0.0812,0.6508,0.7226,0.0718,9.94
validate,0.1,CA-TOSG-RF,0.7887,0.9062,0.1175,0.7044,0.8159,0.1115,18.887
validate,0.2,CA-TOSG-RF,0.7926,0.9067,0.1141,0.7067,0.8159,0.1092,18.887
validate,0.3,CA-TOSG-RF,0.7936,0.906,0.1124,0.7075,0.8156,0.1081,18.887
validate,-,Feature-ceiling,0.8369,0.9181,0.0812,0.7441,0.8347,0.0906,18.887
validate,-,Fixed-L,0.7819,0.9064,0.1245,0.7045,0.8207,0.1162,18.887
validate,-,ego-only,0.6116,0.7539,0.1423,0.536,0.6607,0.1247,18.887
