split,budget,channel,snr_db,rf_E,rf_L,rf_F,or_E,or_L,or_F
validate,0.1,awgn,0,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,awgn,2,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,awgn,4,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,awgn,6,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,awgn,8,0.0091,0.9833,0.0076,0.0025,0.9227,0.0747
validate,0.1,awgn,10,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,awgn,12,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,awgn,14,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,awgn,16,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,awgn,18,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,awgn,20,0.0071,0.8268,0.1662,0.0025,0.5025,0.4949
validate,0.1,rayleigh,0,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,2,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,4,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,6,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,8,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,10,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,12,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,14,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,16,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,18,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.1,rayleigh,20,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.2,awgn,0,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.2,awgn,2,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.2,awgn,4,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.2,awgn,6,0.0101,0.9899,0.0,0.0101,0.9899,0.0
validate,0.2,awgn,8,0.0101,0.9864,0.0035,0.0025,0.9227,0.0747
