feature,importance
channel_is_rayleigh,0.3490933412783501
est_snr_db,0.27537326684850266
pcd_mean_range,0.0360428351297051
pcd_mid_20_50m,0.026162272742769
pcd_density_20_50,0.02517013036684007
pcd_max_range,0.024327790747374747
num_cavs,0.022847770541703585
pcd_front_far_30m,0.022689692360928847
pcd_std_range,0.021530455659629074
pcd_left_points,0.020704924317102868
pcd_front_points,0.01973224596599707
pcd_near_20m,0.016600930064774477
ego_num_objects,0.016507815829187634
pcd_num_points,0.016282481626736622
pcd_density_0_20,0.015742110787589796
pcd_far_50_80m,0.015421771902200046
ego_origin_lidar_shape_0,0.0151098266053264
pcd_density_50_80,0.014924408216630089
pcd_front_far_50m,0.014894094811523248
pcd_right_points,0.014709809071365635
pcd_back_points,0.013680000509618997
pcd_very_far_80m,0.0024520246161438843
ego_origin_lidar_shape_1,0.0
