rank,feature,gini_importance,percent,side,selector
1,channel_is_rayleigh,0.341824133308523,34.1824,channel,data/p2/selector_B020.pkl
2,est_snr_db,0.27478627097593955,27.4786,channel,data/p2/selector_B020.pkl
3,pcd_mean_range,0.03025642771189069,3.0256,perception,data/p2/selector_B020.pkl
4,pcd_left_points,0.027907522112196013,2.7908,perception,data/p2/selector_B020.pkl
5,ego_num_objects,0.025392058062436045,2.5392,perception,data/p2/selector_B020.pkl
6,pcd_std_range,0.022669776833554922,2.267,perception,data/p2/selector_B020.pkl
7,pcd_front_far_30m,0.021386586740908348,2.1387,perception,data/p2/selector_B020.pkl
8,pcd_mid_20_50m,0.020746649223457966,2.0747,perception,data/p2/selector_B020.pkl
9,pcd_density_20_50,0.020075101256026816,2.0075,perception,data/p2/selector_B020.pkl
10,ego_origin_lidar_shape_0,0.019816203677861105,1.9816,perception,data/p2/selector_B020.pkl
11,pcd_front_points,0.019300576802601128,1.9301,perception,data/p2/selector_B020.pkl
12,pcd_num_points,0.019160924052974863,1.9161,perception,data/p2/selector_B020.pkl
13,pcd_back_points,0.019000889305357326,1.9001,perception,data/p2/selector_B020.pkl
14,pcd_right_points,0.01864203485162296,1.8642,perception,data/p2/selector_B020.pkl
15,pcd_max_range,0.01781064854635451,1.7811,perception,data/p2/selector_B020.pkl
16,pcd_density_0_20,0.016395762287250454,1.6396,perception,data/p2/selector_B020.pkl
17,pcd_front_far_50m,0.016250316288206227,1.625,perception,data/p2/selector_B020.pkl
18,pcd_density_50_80,0.01580426178201881,1.5804,perception,data/p2/selector_B020.pkl
19,num_cavs,0.015793975243759403,1.5794,perception,data/p2/selector_B020.pkl
20,pcd_near_20m,0.015360127182382407,1.536,perception,data/p2/selector_B020.pkl
21,pcd_far_50_80m,0.014873624724911964,1.4874,perception,data/p2/selector_B020.pkl
22,pcd_very_far_80m,0.006746129029765567,0.6746,perception,data/p2/selector_B020.pkl
23,ego_origin_lidar_shape_1,0.0,0.0,perception,data/p2/selector_B020.pkl
