split,policy,F1,F1_std,payload_msym,n_realisations
validate,Fixed-L,0.90673,0.0,0.024,200
validate,Fixed-F,0.79021,0.00206,0.99,200
validate,Fixed-C256,0.74967,0.00122,0.495,200
validate,oracle,0.91316,0.00039,0.15464,200
test,Fixed-L,0.90113,0.0,0.024,200
test,Fixed-F,0.85157,0.00158,0.99,200
test,Fixed-C256,0.82637,0.00089,0.495,200
test,oracle,0.91651,0.0007,0.1706,200
culver,Fixed-L,0.87216,0.0,0.024,200
culver,Fixed-F,0.81646,0.00327,0.99,200
culver,Fixed-C256,0.78106,0.00212,0.495,200
culver,oracle,0.88907,0.00158,0.25423,200
