split,budget,channel,snr_db,policy,f1,payload_msym,n_frames,bler_F,lambda_star,rho_E,rho_L,rho_F
validate,0.1,awgn,0.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,awgn,0.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,0.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,0.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,awgn,0.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,awgn,0.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,awgn,2.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,awgn,2.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,2.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,2.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,awgn,2.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,awgn,2.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,awgn,4.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,awgn,4.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,4.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,4.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,awgn,4.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,awgn,4.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,awgn,6.0,fixed_L,0.855384348989899,0.024000000000000004,1980,1.0,0.05,,,
validate,0.1,awgn,6.0,fixed_F,0.7358345641414141,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,6.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,1.0,0.05,,,
validate,0.1,awgn,6.0,oracle_masked,0.8558609717171717,0.023612121212121213,1980,1.0,0.05,0.01616161616161616,0.9838383838383838,0.0
validate,0.1,awgn,6.0,oracle_lambda,0.855860807070707,0.0236,1980,1.0,0.05,0.016666666666666666,0.9833333333333333,0.0
validate,0.1,awgn,6.0,catosg,0.8558080656565655,0.023721212121212122,1980,1.0,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,awgn,8.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.4024,0.05,,,
validate,0.1,awgn,8.0,fixed_F,0.7888468126359596,0.9900000000000001,1980,0.4024,0.05,,,
validate,0.1,awgn,8.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.4024,0.05,,,
validate,0.1,awgn,8.0,oracle_masked,0.8571035937430302,0.10246363636363637,1980,0.4024,0.05,0.0035353535353535356,0.9151515151515152,0.08131313131313131
validate,0.1,awgn,8.0,oracle_lambda,0.8558917029907072,0.024100000000000003,1980,0.4024,0.05,0.01616161616161616,0.9833333333333333,0.000505050505050505
validate,0.1,awgn,8.0,catosg,0.8558080656565655,0.023721212121212122,1980,0.4024,0.05,0.011616161616161616,0.9883838383838384,0.0
validate,0.1,awgn,10.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.0,0.05,,,
validate,0.1,awgn,10.0,fixed_F,0.8842759984848485,0.9900000000000001,1980,0.0,0.05,,,
validate,0.1,awgn,10.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.0,0.05,,,
validate,0.1,awgn,10.0,oracle_masked,0.8926514813131312,0.634739393939394,1980,0.0,0.05,0.0035353535353535356,0.36414141414141415,0.6323232323232323
validate,0.1,awgn,10.0,oracle_lambda,0.8846861146464647,0.35113636363636364,1980,0.0,0.05,0.009595959595959595,0.6515151515151515,0.3388888888888889
validate,0.1,awgn,10.0,catosg,0.8751115439393939,0.23265454545454547,1980,0.0,0.05,0.0065656565656565654,0.7772727272727272,0.21616161616161617
validate,0.1,awgn,12.0,fixed_L,0.855384348989899,0.024000000000000004,1980,0.0,0.05,,,
validate,0.1,awgn,12.0,fixed_F,0.8842759984848485,0.9900000000000001,1980,0.0,0.05,,,
validate,0.1,awgn,12.0,feature_ceiling,0.8842759977560152,0.9900000000000001,1980,0.0,0.05,,,
validate,0.1,awgn,12.0,oracle_masked,0.8926514813131312,0.634739393939394,1980,0.0,0.05,0.0035353535353535356,0.36414141414141415,0.6323232323232323
validate,0.1,awgn,12.0,oracle_lambda,0.8846861146464647,0.35113636363636364,1980,0.0,0.05,0.009595959595959595,0.6515151515151515,0.3388888888888889
