split,budget,e_class,clairvoyant_E_cells,missed_by_rf,F1_cost_sum,F1_cost_per_framereal,payload_extra_sum,payload_extra_per_framereal
validate,0.1,strict,2605,0,0.0,0.0,0.0,0.0
validate,0.1,tie,397,0,0.0,0.0,0.0,0.0
validate,0.1,cost-induced,648,7,-0.2662,-6.7e-07,6.93,1.8e-05
validate,0.2,strict,2605,0,0.0,0.0,0.0,0.0
validate,0.2,tie,397,0,0.0,0.0,0.0,0.0
validate,0.2,cost-induced,513,57,-0.8613,-2.17e-06,56.43,0.000143
validate,0.3,strict,2605,1,-0.0,-0.0,0.99,2e-06
validate,0.3,tie,394,0,0.0,0.0,0.0,0.0
validate,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
test,0.1,strict,23833,23833,1153.5065,0.00265785,735.25,0.001694
test,0.1,tie,33430,32446,48.4393,0.00011161,1205.68,0.002778
test,0.1,cost-induced,4809,4788,109.233,0.00025169,366.07,0.000843
test,0.2,strict,23833,23833,1153.5065,0.00265785,684.05,0.001576
test,0.2,tie,33430,33217,53.1893,0.00012256,1589.33,0.003662
test,0.2,cost-induced,2121,2121,46.5511,0.00010726,265.36,0.000611
test,0.3,strict,23833,23833,1173.8748,0.00270478,1431.73,0.003299
test,0.3,tie,33114,32766,141.1775,0.00032529,3355.94,0.007733
test,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
culver,0.1,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.1,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.1,cost-induced,1035,1035,1.3788,1.253e-05,24.84,0.000226
culver,0.2,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.2,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.2,cost-induced,276,276,0.0848,7.7e-07,6.62,6e-05
culver,0.3,strict,135,135,2.8636,2.603e-05,3.24,2.9e-05
culver,0.3,tie,9699,9699,0.0,0.0,232.78,0.002116
culver,0.3,cost-induced,0,0,0.0,0.0,0.0,0.0
