realisation,F1_RF,F1_tau,B_RF,B_tau,dF,dB
0,0.8814719009210813,0.8857259099407493,0.13992000000000002,0.2979927272727273,-0.0042540090196679925,-0.15807272727272728
1,0.8846016417017571,0.8879710042240485,0.18558545454545458,0.34190181818181814,-0.0033693625222913637,-0.15631636363636356
2,0.8846153139840993,0.8879916278630452,0.18207272727272727,0.3419018181818182,-0.00337631387894588,-0.15982909090909092
3,0.8839004144514533,0.888198204612936,0.1838290909090909,0.33663272727272725,-0.004297790161482684,-0.15280363636363636
4,0.8821384513370062,0.8871598200072079,0.15748363636363633,0.31204363636363636,-0.0050213686702017535,-0.15456000000000003
5,0.879660716734649,0.8840902048935321,0.13289454545454546,0.30677454545454547,-0.00442948815888311,-0.17388
6,0.8836693444012815,0.8881003460892458,0.15572727272727274,0.30677454545454547,-0.004431001687964287,-0.15104727272727272
7,0.8822306990903618,0.8852470316127078,0.1627527272727273,0.3120436363636364,-0.0030163325223460102,-0.1492909090909091
8,0.8840250098777199,0.8887535397185145,0.17856000000000002,0.3366327272727273,-0.004728529840794526,-0.15807272727272728
9,0.8818395652985126,0.885541622858347,0.14694545454545455,0.3015054545454546,-0.0037020575598344374,-0.15456000000000003
10,0.8832485700107282,0.8863535931313785,0.1732909090909091,0.30677454545454547,-0.0031050231206503076,-0.13348363636363636
11,0.8847931448762378,0.8893426116809662,0.1645090909090909,0.3208254545454546,-0.0045494668047283415,-0.15631636363636367
12,0.8849795961795338,0.8885665604194047,0.17153454545454547,0.3085309090909091,-0.0035869642398709267,-0.1369963636363636
13,0.8844929770481327,0.8889129294876137,0.16275272727272727,0.30326181818181813,-0.004419952439481012,-0.14050909090909086
14,0.8814741130699167,0.8852998182147223,0.14694545454545455,0.27516,-0.0038257051448055135,-0.12821454545454547
15,0.8844104881322691,0.8888345368283882,0.1680218181818182,0.31555636363636363,-0.0044240486961191205,-0.14753454545454545
16,0.8821108834097677,0.8876869026837292,0.15572727272727271,0.31731272727272725,-0.005576019273961452,-0.16158545454545453
17,0.8870300863181857,0.8903913625235911,0.18207272727272725,0.3190690909090909,-0.0033612762054053835,-0.13699636363636367
18,0.8811836912015748,0.8874723850550502,0.15397090909090907,0.3225818181818182,-0.006288693853475413,-0.16861090909090912
19,0.880579614106375,0.885920661762107,0.1451890909090909,0.31731272727272725,-0.005341047655732067,-0.17212363636363634
20,0.8835911534259417,0.8896439971291689,0.17153454545454544,0.31379999999999997,-0.006052843703227118,-0.14226545454545453
21,0.8841731950481023,0.8905351992103734,0.16802181818181816,0.31731272727272725,-0.006362004162271062,-0.14929090909090909
22,0.8824246440790081,0.8864510101857542,0.15221454545454546,0.2804290909090909,-0.004026366106746115,-0.12821454545454544
23,0.8820291850566067,0.8863476781034623,0.16626545454545455,0.3208254545454546,-0.004318493046855609,-0.15456000000000003
24,0.8822875428977661,0.8870403260381617,0.15572727272727274,0.30677454545454547,-0.004752783140395622,-0.15104727272727272
25,0.8840473761510109,0.8883044340562732,0.1680218181818182,0.31555636363636363,-0.004257057905262318,-0.14753454545454545
26,0.8826738315910339,0.8871187302752801,0.1539709090909091,0.31028727272727274,-0.004444898684246246,-0.15631636363636364
27,0.8817841013136196,0.8863488443070501,0.1311381818181818,0.2839418181818182,-0.0045647429934304595,-0.1528036363636364
28,0.882406686543155,0.886421268755787,0.14694545454545455,0.2821854545454545,-0.004014582212631956,-0.13523999999999997
29,0.8834277145912448,0.8883140408483785,0.15748363636363635,0.30326181818181813,-0.0048863262571337,-0.14577818181818178
30,0.8827850928847805,0.8874843470196766,0.16099636363636363,0.2997490909090909,-0.004699254134896136,-0.13875272727272728
31,0.8823675233744243,0.8885639978810432,0.1697781818181818,0.3296072727272727,-0.006196474506618976,-0.1598290909090909
32,0.8862542991173651,0.8915044387930281,0.18734181818181816,0.3594654545454546,-0.0052501396756630125,-0.17212363636363642
33,0.881178932061897,0.8867093174961515,0.16099636363636363,0.2892109090909091,-0.005530385434254437,-0.12821454545454544
34,0.8817765358837077,0.8863878819597496,0.15221454545454544,0.3225818181818182,-0.004611346076041856,-0.17036727272727276
35,0.8833999400781677,0.8889599330427802,0.16626545454545455,0.3190690909090909,-0.005559992964612515,-0.15280363636363636
36,0.8827361888566915,0.888810255070832,0.1627527272727273,0.3296072727272727,-0.006074066214140528,-0.1668545454545454
37,0.8816449991428907,0.8872310082144471,0.15748363636363635,0.33136363636363636,-0.005586009071556375,-0.17388
38,0.8840391237976148,0.8882802119939732,0.15397090909090907,0.31028727272727274,-0.004241088196358378,-0.15631636363636367
39,0.8830588172487523,0.8883205707665434,0.15748363636363633,0.33487636363636364,-0.005261753517791012,-0.1773927272727273
40,0.8839722100274496,0.8881441043579619,0.17504727272727275,0.35068363636363636,-0.004171894330512238,-0.17563636363636362
41,0.8854930261115785,0.8903361841110896,0.17680363636363639,0.3296072727272727,-0.004843157999511072,-0.1528036363636363
42,0.8805871055718693,0.8865539377526741,0.14518909090909088,0.3120436363636364,-0.0059668321808048486,-0.16685454545454553
43,0.8813217300802444,0.8854083895628159,0.15572727272727274,0.31555636363636363,-0.004086659482571475,-0.1598290909090909
