split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations
validate,-,Fixed-L,0.8039,0.0,0.7819,0.0,0.7045,0.0,1
validate,-,Feature-ceiling,0.8424,0.0,0.8369,0.0,0.7441,0.0,1
validate,-,ego-only,0.6373,0.0,0.6116,0.0,0.536,0.0,1
validate,0.1,CA-TOSG-RF,0.8084,0.0005,0.7887,0.0007,0.7044,0.0005,200
validate,0.1,SNR-threshold,0.8047,0.0003,0.7835,0.0004,0.7044,0.0004,200
validate,0.2,CA-TOSG-RF,0.8107,0.0007,0.7926,0.0008,0.7067,0.0007,200
validate,0.2,SNR-threshold,0.8082,0.0006,0.7896,0.0007,0.7066,0.0008,200
validate,0.3,CA-TOSG-RF,0.8107,0.0008,0.7936,0.001,0.7075,0.0009,200
validate,0.3,SNR-threshold,0.8092,0.0009,0.792,0.0011,0.7074,0.001,200
test,-,Fixed-L,0.8749,0.0,0.8691,0.0,0.8027,0.0,1
test,-,Feature-ceiling,0.8969,0.0,0.8931,0.0,0.8185,0.0,1
test,-,ego-only,0.7431,0.0,0.735,0.0,0.6508,0.0,1
test,0.1,CA-TOSG-RF,0.8755,0.0002,0.8697,0.0002,0.8036,0.0004,200
test,0.1,SNR-threshold,0.8758,0.0005,0.8702,0.0005,0.8031,0.0007,200
test,0.2,CA-TOSG-RF,0.8799,0.0008,0.8742,0.0008,0.8058,0.0012,200
test,0.2,SNR-threshold,0.8789,0.0009,0.8735,0.0009,0.8045,0.0013,200
test,0.3,CA-TOSG-RF,0.8797,0.001,0.8742,0.001,0.8038,0.0014,200
test,0.3,SNR-threshold,0.8795,0.0011,0.8742,0.0011,0.8042,0.0015,200
culver,-,Fixed-L,0.741,0.0,0.7299,0.0,0.6463,0.0,1
culver,-,Feature-ceiling,0.8351,0.0,0.8269,0.0,0.7276,0.0,1
culver,-,ego-only,0.6324,0.0,0.6185,0.0,0.5312,0.0,1
culver,0.1,CA-TOSG-RF,0.741,0.0001,0.7299,0.0001,0.6464,0.0001,200
culver,0.1,SNR-threshold,0.7456,0.0012,0.7346,0.0013,0.6494,0.0012,200
culver,0.2,CA-TOSG-RF,0.7459,0.0011,0.7347,0.0011,0.6485,0.0009,200
culver,0.2,SNR-threshold,0.7599,0.0023,0.7493,0.0024,0.6604,0.0023,200
culver,0.3,CA-TOSG-RF,0.7611,0.0025,0.7504,0.0026,0.6611,0.0023,200
culver,0.3,SNR-threshold,0.7673,0.0026,0.757,0.0027,0.6662,0.0027,200
