split,budget,policy,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std,n_realisations,snr_db,channel,rho_E,rho_L,rho_F,bler_F
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,0.0,awgn,0.0064516129032258064,0.9935483870967742,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,awgn,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,awgn,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,awgn,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,2.0,awgn,0.0064516129032258064,0.9935483870967742,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,awgn,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,awgn,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,awgn,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,4.0,awgn,0.0064516129032258064,0.9935483870967742,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,awgn,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,awgn,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,awgn,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,6.0,awgn,0.005069124423963134,0.9949308755760369,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,awgn,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,awgn,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,awgn,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,8.0,awgn,0.005069124423963134,0.9949308755760369,0.0,0.4023998922746115
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
test,0.3,CA-TOSG-RF,0.9236,0.0001,0.919,0.0001,0.8688,0.0001,200,8.0,awgn,0.0,0.9935483870967742,0.0064516129032258064,0.4023998922746115
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,awgn,0.0,1.0,0.0,0.4023998922746115
test,0.1,CA-TOSG-RF,0.9214,0.0,0.9171,0.0,0.866,0.0,200,10.0,awgn,0.0013824884792626728,0.8580645161290322,0.14055299539170507,0.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,awgn,0.0,1.0,0.0,0.0
test,0.2,CA-TOSG-RF,0.9212,0.0,0.9168,0.0,0.8636,0.0,200,10.0,awgn,0.0,0.743778801843318,0.25622119815668204,0.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,awgn,0.0,1.0,0.0,0.0
test,0.3,CA-TOSG-RF,0.9229,0.0,0.9198,0.0,0.8662,0.0,200,10.0,awgn,0.0,0.4184331797235023,0.5815668202764976,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,10.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.9208,0.0,0.9165,0.0,0.8648,0.0,200,12.0,awgn,0.0009216589861751152,0.8327188940092166,0.1663594470046083,0.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,12.0,awgn,0.0,1.0,0.0,0.0
test,0.2,CA-TOSG-RF,0.9213,0.0,0.9169,0.0,0.8637,0.0,200,12.0,awgn,0.0,0.7304147465437788,0.2695852534562212,0.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,12.0,awgn,0.0,1.0,0.0,0.0
test,0.3,CA-TOSG-RF,0.9233,0.0,0.9203,0.0,0.8662,0.0,200,12.0,awgn,0.0,0.38571428571428573,0.6142857142857143,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,12.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.921,0.0,0.9167,0.0,0.8653,0.0,200,14.0,awgn,0.0009216589861751152,0.8262672811059908,0.1728110599078341,0.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,14.0,awgn,0.0,1.0,0.0,0.0
test,0.2,CA-TOSG-RF,0.9212,0.0,0.9168,0.0,0.8637,0.0,200,14.0,awgn,0.0,0.7285714285714285,0.2714285714285714,0.0
test,0.2,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,14.0,awgn,0.0,0.0,1.0,0.0
test,0.3,CA-TOSG-RF,0.9232,0.0,0.9203,0.0,0.8658,0.0,200,14.0,awgn,0.0,0.376036866359447,0.623963133640553,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,14.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.9209,0.0,0.9167,0.0,0.8652,0.0,200,16.0,awgn,0.0009216589861751152,0.8267281105990784,0.17235023041474654,0.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,16.0,awgn,0.0,1.0,0.0,0.0
test,0.2,CA-TOSG-RF,0.9212,0.0,0.9169,0.0,0.8635,0.0,200,16.0,awgn,0.0,0.7285714285714285,0.2714285714285714,0.0
test,0.2,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,16.0,awgn,0.0,0.0,1.0,0.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9205,0.0,0.8662,0.0,200,16.0,awgn,0.0,0.37695852534562213,0.6230414746543779,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,16.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.9208,0.0,0.9166,0.0,0.8651,0.0,200,18.0,awgn,0.0009216589861751152,0.8267281105990784,0.17235023041474654,0.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,18.0,awgn,0.0,1.0,0.0,0.0
test,0.2,CA-TOSG-RF,0.9213,0.0,0.917,0.0,0.8639,0.0,200,18.0,awgn,0.0,0.7294930875576037,0.27050691244239633,0.0
test,0.2,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,18.0,awgn,0.0,0.0,1.0,0.0
test,0.3,CA-TOSG-RF,0.9233,0.0,0.9203,0.0,0.8663,0.0,200,18.0,awgn,0.0,0.3792626728110599,0.6207373271889401,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,18.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.9208,0.0,0.9166,0.0,0.865,0.0,200,20.0,awgn,0.0009216589861751152,0.8271889400921659,0.171889400921659,0.0
test,0.1,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,20.0,awgn,0.0,0.0,1.0,0.0
test,0.2,CA-TOSG-RF,0.9214,0.0,0.9171,0.0,0.864,0.0,200,20.0,awgn,0.0,0.7299539170506912,0.27004608294930876,0.0
test,0.2,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,20.0,awgn,0.0,0.0,1.0,0.0
test,0.3,CA-TOSG-RF,0.9235,0.0,0.9205,0.0,0.8663,0.0,200,20.0,awgn,0.0,0.37880184331797234,0.6211981566820276,0.0
test,0.3,SNR-threshold,0.9237,0.0,0.9216,0.0,0.8672,0.0,200,20.0,awgn,0.0,0.0,1.0,0.0
test,0.1,CA-TOSG-RF,0.9232,0.0,0.9186,0.0,0.8685,0.0,200,0.0,rayleigh,0.0069124423963133645,0.9930875576036866,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,0.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9232,0.0,0.9186,0.0,0.8685,0.0,200,2.0,rayleigh,0.0069124423963133645,0.9930875576036866,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,2.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9232,0.0,0.9186,0.0,0.8685,0.0,200,4.0,rayleigh,0.0069124423963133645,0.9930875576036866,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,4.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9232,0.0,0.9186,0.0,0.8685,0.0,200,6.0,rayleigh,0.0069124423963133645,0.9930875576036866,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,6.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9232,0.0,0.9186,0.0,0.8685,0.0,200,8.0,rayleigh,0.0069124423963133645,0.9930875576036866,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,rayleigh,0.0009216589861751152,0.9990783410138249,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,8.0,rayleigh,0.0,1.0,0.0,1.0
test,0.1,CA-TOSG-RF,0.9233,0.0,0.9187,0.0,0.8685,0.0,200,10.0,rayleigh,0.005990783410138249,0.9940092165898617,0.0,1.0
test,0.1,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,rayleigh,0.0,1.0,0.0,1.0
test,0.2,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,rayleigh,0.0004608294930875576,0.9995391705069124,0.0,1.0
test,0.2,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,rayleigh,0.0,1.0,0.0,1.0
test,0.3,CA-TOSG-RF,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,rayleigh,0.0013824884792626728,0.9986175115207373,0.0,1.0
test,0.3,SNR-threshold,0.9234,0.0,0.9189,0.0,0.8687,0.0,200,10.0,rayleigh,0.0,1.0,0.0,1.0
